Emissions_tCO2_coal_dispatched,Emissions_tCO2_cogen_gas,Emissions_tCO2_cogen_wood,Emissions_tCO2_diesel_dispatched,Emissions_tCO2_gas_ccgt_dispatched,Emissions_tCO2_gas_ocgt_dispatched,Emissions_tCO2_geothermal_dispatched,kWh_coal_dispatched,kWh_cogen_gas,kWh_cogen_wood,kWh_diesel_dispatched,kWh_gas_ccgt_dispatched,kWh_gas_ocgt_dispatched,kWh_geothermal_dispatched,kWh_hydro_dispatched,kWh_solar_dispatched,kWh_wind_dispatched,Total_Emissions_tCO2_,Total_kWh_,EF_tCO2_per_MWh_
0.0,54.986845624415835,10.08439796,0.0,0.0,169.7624084735363,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,0.0,298877.4797069302,1025807.72,1927254.26,0.0,588098.037167,301.80833548347476,3959565.5961331897,0.07622258759350092
0.0,54.986845624415835,10.08439796,0.0,0.0,231.24678944403448,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,0.0,407124.62930287764,1025807.72,1676983.84,0.0,560833.93915,363.2927164539729,3790278.2277121367,0.09584856166964326
0.0,54.986845624415835,10.08439796,0.0,0.0,147.42993675139607,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,0.0,259559.74780175363,1025807.72,1744741.23,0.0,473552.599287,279.4758637613345,3623189.396348013,0.07713531730994568
0.0,54.986845624415835,10.08439796,0.0,0.0,99.7547657087477,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,0.0,175624.5875154009,1025807.72,1786363.13,0.0,422428.026061,231.80069271868615,3529751.56283566,0.06567054043102875
0.0,54.986845624415835,10.08439796,0.0,0.0,98.33114736010619,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,0.0,173118.21718328557,1025807.72,1779468.67,0.0,413141.289261,230.37707437004462,3511063.9957035445,0.0656146041917649
0.0,54.986845624415835,10.08439796,0.0,0.0,191.1844550030714,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,0.0,336592.3503575201,1025807.72,1699529.11,17113.703316353978,441144.738458,323.23038201300983,3639715.721391134,0.08880649115350912
0.0,54.986845624415835,10.08439796,0.0,0.0,167.2176221599938,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,0.0,294397.2221126651,1025807.72,1662142.8,165744.12556122855,527248.237175,299.2635491699322,3794868.204108153,0.0788600639268481
0.0,54.986845624415835,10.08439796,0.0,0.0,74.23081803189565,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,0.0,130688.05991530925,1025807.72,1952141.73,370883.2461397004,417672.630145,206.2767450418341,4016721.4854592686,0.05135450535681056
0.0,54.986845624415835,10.08439796,0.0,0.0,7.702330866590317,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,0.0,13560.44166653225,1025807.72,2185918.36,522039.49929715914,398661.607369,139.74825787652875,4265515.72759195,0.03276233562393219
0.0,0.0,0.0,0.0,19.85743280175794,0.0,66.9746834255226,0.0,0.0,0.0,0.0,49643.58200439485,0.0,1025807.72,2504587.33,630435.6058444041,330319.182104,86.83211622728054,4540793.4199528,0.019122674871252594
0.0,0.0,0.0,0.0,54.64441413493827,0.0,66.9746834255226,0.0,0.0,0.0,0.0,136611.03533734567,0.0,1025807.72,2368496.11,650505.3038497388,399720.696961,121.61909756046087,4581140.866148084,0.0265477751315516
