Emissions_tCO2_coal_dispatched,Emissions_tCO2_cogen_gas,Emissions_tCO2_cogen_wood,Emissions_tCO2_gas_ccgt_dispatched,Emissions_tCO2_gas_ocgt_dispatched,Emissions_tCO2_geothermal_dispatched,kWh_coal_dispatched,kWh_cogen_gas,kWh_cogen_wood,kWh_gas_ccgt_dispatched,kWh_gas_ocgt_dispatched,kWh_geothermal_dispatched,kWh_hydro_dispatched,kWh_solar_dispatched,kWh_wind_dispatched,Total_Emissions_tCO2_,Total_kWh_,EF_tCO2_per_MWh_
0.0,54.986845624415835,10.08439796,0.0,216.90615432903044,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,381877.0322694198,1025807.72,1946787.47,0.0,828206.5528,348.95208133896887,4302206.8743286785,0.08111001900470437
0.0,54.986845624415835,10.08439796,0.0,246.85111601698472,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,434597.0352411703,1025807.72,1676063.58,0.0,862273.7771000001,378.89704302692314,4118270.21160043,0.09200392969835684
0.0,54.986845624415835,10.08439796,0.0,115.7988322350948,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,203871.18351249088,1025807.72,1790375.36,0.0,797139.9745,247.84475924503323,3936722.3372717504,0.06295713489836725
0.0,54.986845624415835,10.08439796,0.0,143.71788529129046,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,253024.44593537055,1025807.72,1673321.41,0.0,763517.1798,275.7638123012289,3835198.8549946295,0.07190339346865889
0.0,54.986845624415835,10.08439796,0.0,131.00194762575103,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,230637.2317354772,1025807.72,1661364.31,0.0,777556.7969,263.0478746356895,3814894.1578947366,0.0689528631066539
0.0,54.986845624415835,10.08439796,0.0,109.3340455031736,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,192489.51673093945,1025807.72,1790104.31,26267.237772353976,800136.1747,241.37997251311202,3954333.0584625523,0.0610418922595662
0.0,54.986845624415835,10.08439796,0.0,62.7479045631209,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,110471.66296324103,1025807.72,1654268.2,347187.46042122855,859826.8219999999,194.79383157305932,4117089.964643729,0.047313474625496975
0.0,0.0,0.0,35.58535473865988,0.0,66.9746834255226,0.0,0.0,0.0,88963.3868466497,0.0,1025807.72,1699554.12,772153.9356797005,764092.5615000001,102.56003816418249,4350571.72402635,0.023573921927958843
0.0,0.0,0.0,47.57567873801729,0.0,66.9746834255226,0.0,0.0,0.0,118939.19684504322,0.0,1025807.72,1703384.63,988362.0522271591,781787.2599,114.55036216353989,4618280.858972202,0.024803680343735757
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2062129.3400979429,1119672.011704404,708637.9138,66.9746834255226,4916246.985602347,0.013623132365331468
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2044513.071513308,1147801.8612397388,741612.0992,66.9746834255226,4959734.751953047,0.013503682510269179
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2024538.862256148,1204680.8201105585,736912.3796999999,66.9746834255226,4991939.782066707,0.013416564772300698
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2044089.4970458788,1098487.14542028,752730.5332,66.9746834255226,4921114.89566616,0.013609656520010267
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,1894823.6716051751,1161387.37749719,719445.7461999999,66.9746834255226,4801464.515302365,0.013948803164549675
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,1831554.7164980136,1120587.1697560542,801654.854,66.9746834255226,4779604.460254068,0.014012599574392909
0.0,0.0,0.0,3.3981828060081227,0.0,66.9746834255226,0.0,0.0,0.0,8495.457015020307,0.0,1025807.72,1946036.77,955534.6737211312,811159.7788,70.37286623153072,4747034.399536151,0.014824595802045816
0.0,0.0,0.0,65.58506961830389,0.0,66.9746834255226,0.0,0.0,0.0,163962.67404575972,0.0,1025807.72,2112232.02,739487.9834688646,801878.22,132.5597530438265,4843368.617514624,0.027369329801672122
0.0,40.55010772277274,7.43674998908712,80.0,0.0,66.9746834255226,0.0,67715.49194511707,20430.63183815143,200000.0,0.0,1025807.72,2525625.84,516449.76193100464,638471.4747,194.96154113738245,4994500.920414274,0.039035239805544214
0.0,54.986845624415835,10.08439796,166.11,4.8947225788645525,66.9746834255226,0.0,91823.70925925924,27704.39,415275.0,8617.469328986888,1025807.72,2655611.94,308423.71803524235,551257.671,303.050649588803,5084521.617623488,0.05960258847919881
0.0,54.986845624415835,10.08439796,166.11,70.08370499734596,66.9746834255226,0.0,91823.70925925924,27704.39,415275.0,123386.8045727922,1025807.72,2624928.29,48441.46048443718,643647.0249000001,368.2396320072844,5001014.39921649,0.07363298775244011
0.0,54.986845624415835,10.08439796,166.11,71.78010267659168,66.9746834255226,0.0,91823.70925925924,27704.39,415275.0,126373.42020526707,1025807.72,2631739.78,85.83171190594248,578199.2694,369.9360296865301,4897009.120576432,0.07554325927883601
0.0,54.986845624415835,10.08439796,166.11,117.67184514730903,66.9746834255226,0.0,91823.70925925924,27704.39,415275.0,207168.74145653,1025807.72,2671217.21,0.0,520126.7556,415.82777215724747,4959123.526315789,0.08385106157381252
0.0,54.986845624415835,10.08439796,166.11,52.88631117717893,66.9746834255226,0.0,91823.70925925924,27704.39,415275.0,93109.70277672348,1025807.72,2566731.41,0.0,514125.5395,351.0422381871174,4734577.471535983,0.0741443645811192
0.0,54.986845624415835,10.08439796,166.11,89.33506409560304,66.9746834255226,0.0,91823.70925925924,27704.39,415275.0,157280.04242183635,1025807.72,2217410.1,0.0,520982.7279,387.49099110554147,4456283.689581096,0.08695384273032375
0.0,54.3524090787185,9.96804448428182,166.11,0.0,66.9746834255226,0.0,90764.25010581958,27384.737594180828,415275.0,0.0,1025807.72,2090456.58,0.0,470970.7123,297.40513698852294,4120659.0,0.07217416849793272
0.0,49.50799070103702,9.079594851455726,166.11,0.0,66.9746834255226,0.0,82674.45227160963,24943.94189960364,415275.0,0.0,1025807.72,1784353.69,0.0,586946.0186000001,291.6722689780154,3920000.822771213,0.07440617544866229
0.0,47.69816593895011,8.747679228155397,166.11,0.0,66.9746834255226,0.0,79652.18720299317,24032.085791635705,415275.0,0.0,1025807.72,1608783.14,0.0,642233.7220000001,289.5305285926281,3795783.8549946286,0.07627687446208337
0.0,36.82469596340366,6.753522313090735,166.11,0.0,66.9746834255226,0.0,61494.34718988061,18553.63272827125,415275.0,0.0,1025807.72,1601352.85,0.0,607608.6402,276.662901702017,3730092.1901181517,0.07417052651807343
0.0,50.07525949747055,9.183629993471321,166.11,0.0,66.9746834255226,0.0,83621.74656434557,25229.752729316813,415275.0,0.0,1025807.72,1646856.78,0.0,545245.1296,292.3435729164645,3742036.1288936627,0.07812419839006103
0.0,54.986845624415835,10.08439796,166.11,6.361850068575848,66.9746834255226,0.0,91823.70925925924,27704.39,415275.0,11200.440261577198,1025807.72,1694466.46,18322.219049017905,625990.9304,304.5177770785143,3910590.868969854,0.07787001690584211
