Hshld_code,Hshld_subcode,house_type,insulation,Loc_code,SH_code,DW_code,HP_cap,R_cap,Hyd_Cap_kW_Adj,Tank_Volume (L),Embodied,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Hyd_Embodied
Mass-Nom-Real,Mass-Nom,Mass,Nom,AK,R,,,11,,,1007.058824,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,AK,R,,,11,,,1007.058824,,,,
Mass-H1-Real,Mass-H1,Mass,H1,AK,R,,,7,,,1007.058824,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,AK,R,,,7,,,1007.058824,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,AK,R,,,12,,,1510.588235,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,AK,R,,,12,,,1510.588235,,,,
Mod-H1-Real,Mod-H1,Mod,H1,AK,R,,,8.5,,,1510.588235,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,AK,R,,,8.5,,,1510.588235,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,CH,R,,,15.5,,,1007.058824,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,CH,R,,,15.5,,,1007.058824,,,,
Mass-H1-Real,Mass-H1,Mass,H1,CH,R,,,8.5,,,1007.058824,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,CH,R,,,8.5,,,1007.058824,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,CH,R,,,15.5,,,1510.588235,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,CH,R,,,15.5,,,1510.588235,,,,
Mod-H1-Real,Mod-H1,Mod,H1,CH,R,,,12.5,,,1510.588235,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,CH,R,,,12.5,,,1510.588235,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,AK,Rb,,,4,,,503.5294118,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,AK,Rb,,,4,,,503.5294118,,,,
Mass-H1-Real,Mass-H1,Mass,H1,AK,Rb,,,2,,,503.5294118,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,AK,Rb,,,2,,,503.5294118,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,AK,Rb,,,4,,,1007.058824,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,AK,Rb,,,4,,,1007.058824,,,,
Mod-H1-Real,Mod-H1,Mod,H1,AK,Rb,,,4,,,1007.058824,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,AK,Rb,,,4,,,1007.058824,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,CH,Rb,,,7,,,503.5294118,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,CH,Rb,,,7,,,503.5294118,,,,
Mass-H1-Real,Mass-H1,Mass,H1,CH,Rb,,,3.5,,,503.5294118,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,CH,Rb,,,3.5,,,503.5294118,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,CH,Rb,,,6.5,,,1007.058824,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,CH,Rb,,,6.5,,,1007.058824,,,,
Mod-H1-Real,Mod-H1,Mod,H1,CH,Rb,,,4.5,,,1007.058824,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,CH,Rb,,,4.5,,,1007.058824,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,AK,Rl,,,7,,,503.5294118,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,AK,Rl,,,7,,,503.5294118,,,,
Mass-H1-Real,Mass-H1,Mass,H1,AK,Rl,,,5,,,503.5294118,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,AK,Rl,,,5,,,503.5294118,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,AK,Rl,,,8,,,503.5294118,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,AK,Rl,,,8,,,503.5294118,,,,
Mod-H1-Real,Mod-H1,Mod,H1,AK,Rl,,,4.5,,,503.5294118,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,AK,Rl,,,4.5,,,503.5294118,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,CH,Rl,,,8.5,,,503.5294118,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,CH,Rl,,,8.5,,,503.5294118,,,,
Mass-H1-Real,Mass-H1,Mass,H1,CH,Rl,,,5,,,503.5294118,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,CH,Rl,,,5,,,503.5294118,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,CH,Rl,,,9,,,503.5294118,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,CH,Rl,,,9,,,503.5294118,,,,
