Hshld_code,Hshld_subcode,house_type,insulation,Loc_code,SH_code,DW_code,HP_cap,R_cap,Hyd_Cap_kW_Adj,Tank_Volume (L),Manufacture,Hyd_Manufacture_HP,Hyd_Manufacture_Tank,Hyd_Manufacture_FC,Hyd_Manufacture,Distribution,Installation,EOL,Other,EOL_S,Other_S,Manufacture_MJ,Hyd_Manufacture_MJ_HP,Hyd_Manufacture_MJ_Tank,Hyd_Manufacture_MJ_FC,Hyd_Manufacture_MJ,Distribution_MJ,Installation_MJ,EOL_MJ,Other_MJ
Mass-Nom-Real,Mass-Nom,Mass,Nom,AK,R,,,11,,,1041.563186,,,,,46.4079252,4.69746198,54.92303662,0,54.92303662,0,24893.2561,0,0,0,0,982.8569242,17.87834616,101.6259058,0
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,AK,R,,,11,,,1041.563186,,,,,46.4079252,4.69746198,54.92303662,0,54.92303662,0,24893.2561,0,0,0,0,982.8569242,17.87834616,101.6259058,0
Mass-H1-Real,Mass-H1,Mass,H1,AK,R,,,7,,,833.780793,,,,,34.39267655,4.221680447,40.8013688,0,40.8013688,0,19975.70971,0,0,0,0,728.390251,14.55723013,86.55247727,0
Mass-H1-Ideal,Mass-H1,Mass,H1,AK,R,,,7,,,833.780793,,,,,34.39267655,4.221680447,40.8013688,0,40.8013688,0,19975.70971,0,0,0,0,728.390251,14.55723013,86.55247727,0
Mod-Nom-Real,Mod-Nom,Mod,Nom,AK,R,,,12,,,1406.949854,,,,,58.3223983,7.075782539,69.17908698,0,69.17908698,0,33702.64504,0,0,0,0,1235.189308,24.53880988,145.5102478,0
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,AK,R,,,12,,,1406.949854,,,,,58.3223983,7.075782539,69.17908698,0,69.17908698,0,33702.64504,0,0,0,0,1235.189308,24.53880988,145.5102478,0
Mod-H1-Real,Mod-H1,Mod,H1,AK,R,,,8.5,,,990.0594579,,,,,41.12606002,4.964942316,48.77840259,0,48.77840259,0,23714.79019,0,0,0,0,870.9941823,17.26019482,102.2340092,0
Mod-H1-Ideal,Mod-H1,Mod,H1,AK,R,,,8.5,,,990.0594579,,,,,41.12606002,4.964942316,48.77840259,0,48.77840259,0,23714.79019,0,0,0,0,870.9941823,17.26019482,102.2340092,0
Mass-Nom-Real,Mass-Nom,Mass,Nom,CH,R,,,15.5,,,1510.399181,,,,,66.60807563,6.927247586,78.85413798,0,78.85413798,0,36110.49755,0,0,0,0,1410.668718,25.98724023,148.6705015,0
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,CH,R,,,15.5,,,1510.399181,,,,,66.60807563,6.927247586,78.85413798,0,78.85413798,0,36110.49755,0,0,0,0,1410.668718,25.98724023,148.6705015,0
Mass-H1-Real,Mass-H1,Mass,H1,CH,R,,,8.5,,,911.6991905,,,,,38.89839479,4.400098522,46.09699423,0,46.09699423,0,21819.7896,0,0,0,0,823.8152535,15.80264864,92.20501295,0
Mass-H1-Ideal,Mass-H1,Mass,H1,CH,R,,,8.5,,,911.6991905,,,,,38.89839479,4.400098522,46.09699423,0,46.09699423,0,21819.7896,0,0,0,0,823.8152535,15.80264864,92.20501295,0
Mod-Nom-Real,Mod-Nom,Mod,Nom,CH,R,,,15.5,,,1588.759449,,,,,68.83574087,7.49209138,81.53554633,0,81.53554633,0,38005.49814,0,0,0,0,1457.847647,27.44478641,158.6994977,0
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,CH,R,,,15.5,,,1588.759449,,,,,68.83574087,7.49209138,81.53554633,0,81.53554633,0,38005.49814,0,0,0,0,1457.847647,27.44478641,158.6994977,0
Mod-H1-Real,Mod-H1,Mod,H1,CH,R,,,12.5,,,1432.922654,,,,,59.82430438,7.135255231,70.94429546,0,70.94429546,0,34317.33834,0,0,0,0,1266.997642,24.95394939,147.3944264,0
Mod-H1-Ideal,Mod-H1,Mod,H1,CH,R,,,12.5,,,1432.922654,,,,,59.82430438,7.135255231,70.94429546,0,70.94429546,0,34317.33834,0,0,0,0,1266.997642,24.95394939,147.3944264,0
