house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,EOL_S_SH,EOL_S_WH,EOL_S,Other_S_SH,Other_S_WH,Other_S,Embodied_life,Total_life,Embodied_life_R,Total_life_R,CS_code
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,239.89145069,243.63227007,7775.3881086,483.52372076,0.134813569,1215.547618,517.4042666,1732.9518846,27.44847036,19.34982176,46.79829212000001,76.31200903,11.48823529,87.80024431999999,241.3279934,66.38408824,307.71208164,1264.174085,276.7058824,1540.8799674000002,85.71820780999998,66.38408824,152.10229604999998,668.953208,276.7058824,945.6590904,3716.14247008,4199.66619084,2965.3118074900003,3448.83552825,C0
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,239.89145069,360.72419127,10125.3343107,600.6156419600001,0.17737641999999998,1215.547618,517.4042666,1732.9518846,27.44847036,19.34982176,46.79829212000001,76.31200903,11.48823529,87.80024431999999,241.3279934,66.38408824,307.71208164,1264.174085,276.7058824,1540.8799674000002,85.71820780999998,66.38408824,152.10229604999998,668.953208,276.7058824,945.6590904,3716.14247008,4316.75811204,2965.3118074900003,3565.9274494500005,C0
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,239.89145069,505.59033701,12801.131721000002,745.4817877,0.204197,1215.547618,597.3918213,1812.9394393,27.44847036,24.404181279999996,51.85265164,76.31200903,16.67647059,92.98847962,241.3279934,82.37682353,323.70481693,1264.174085,276.7058824,1540.8799674000002,85.71820780999998,82.37682353,168.09503133999996,668.953208,276.7058824,945.6590904,3822.36535489,4567.84714259,3071.5346922999997,3817.01648,C0
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,239.89145069,671.3313108899999,16193.1978285,911.22276158,0.216634734,1215.547618,810.6919673000001,2026.2395853,27.44847036,37.88247335,65.33094371,76.31200903,30.26470588,106.57671491,241.3279934,125.0241176,366.352111,1264.174085,276.7058824,1540.8799674000002,85.71820780999998,125.0241176,210.74232540999995,668.953208,276.7058824,945.6590904,4105.379322320001,5016.602083900001,3354.54865973,4265.77142131,C0
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,239.89145069,801.46538657,18558.0354939,1041.35683726,0.254453433,1215.547618,810.6919673000001,2026.2395853,27.44847036,37.88247335,65.33094371,76.31200903,30.26470588,106.57671491,241.3279934,125.0241176,366.352111,1264.174085,276.7058824,1540.8799674000002,85.71820780999998,125.0241176,210.74232540999995,668.953208,276.7058824,945.6590904,4105.379322320001,5146.736159580001,3354.54865973,4395.90549699,C0
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,239.89145069,253.60638601,7962.0526881,493.4978367,0.13431165099999998,1215.547618,565.3967994,1780.9444174,27.44847036,22.38243748,49.83090784000001,76.31200903,14.57647059,90.88847962,241.3279934,75.97972941,317.30772281,1264.174085,276.7058824,1540.8799674000002,85.71820780999998,75.97972941,161.69793722,668.953208,276.7058824,945.6590904,3779.85149507,4273.34933177,3029.02083248,3522.51866918,C0
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,239.89145069,370.76450283,10314.565560600002,610.65595352,0.17641495499999998,1215.547618,565.3967994,1780.9444174,27.44847036,22.38243748,49.83090784000001,76.31200903,14.57647059,90.88847962,241.3279934,75.97972941,317.30772281,1264.174085,276.7058824,1540.8799674000002,85.71820780999998,75.97972941,161.69793722,668.953208,276.7058824,945.6590904,3779.85149507,4390.50744859,3029.02083248,3639.676786,C0
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,239.89145069,522.17900991,13108.6275537,762.0704606,0.207576062,1215.547618,661.3818651,1876.9294831,27.44847036,28.4476689,55.896139260000005,76.31200903,20.75294118,97.06495021,241.3279934,95.17101176,336.49900516,1264.174085,276.7058824,1540.8799674000002,85.71820780999998,95.17101176,180.88921957,668.953208,276.7058824,945.6590904,3907.269545130001,4669.3400057300005,3156.43888254,3918.50934314,C0
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,239.89145069,700.03659393,16741.2344526,939.92804462,0.229346773,1215.547618,917.3420403,2132.8896583,27.44847036,44.62161938,72.07008974,76.31200903,37.05882353,113.37083256,241.3279934,146.3477647,387.6757581,1264.174085,276.7058824,1540.8799674000002,85.71820780999998,146.3477647,232.06597251,668.953208,276.7058824,945.6590904,4246.886306100001,5186.814350720001,3496.05564351,4435.98368813,C0
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,239.89145069,831.66456909,19105.8947352,1071.55601978,0.262808537,1215.547618,917.3420403,2132.8896583,27.44847036,44.62161938,72.07008974,76.31200903,37.05882353,113.37083256,241.3279934,146.3477647,387.6757581,1264.174085,276.7058824,1540.8799674000002,85.71820780999998,146.3477647,232.06597251,668.953208,276.7058824,945.6590904,4246.886306100001,5318.442325880002,3496.05564351,4567.61166329,C0
