house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,EOL_S_SH,EOL_S_WH,EOL_S,Other_S_SH,Other_S_WH,Other_S,Embodied_life,Total_life,Embodied_life_R,Total_life_R
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,239.89145069,243.45932724,7775.089788899999,483.35077793,0.081109541,1215.547618,593.0885628,1808.6361808000001,26.66070538,19.54861298,46.20931836,55.21764706,11.48823529,66.70588235,180.00588239999996,66.38408824,246.38997063999994,882,276.7058824,1158.7058824,24.39609681,66.38408824,90.78018504999999,286.7791228,276.7058824,563.4850052,3326.64723455,3809.99801248,2575.81657176,3059.16734969
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,239.89145069,360.69830477,10125.1516107,600.58975546,0.081109541,1215.547618,593.0885628,1808.6361808000001,26.66070538,19.54861298,46.20931836,55.21764706,11.48823529,66.70588235,180.00588239999996,66.38408824,246.38997063999994,882,276.7058824,1158.7058824,24.39609681,66.38408824,90.78018504999999,286.7791228,276.7058824,563.4850052,3326.64723455,3927.2369900100002,2575.81657176,3176.40632722
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,239.89145069,505.22196893,12801.0018591,745.11341962,0.081109541,1215.547618,703.5346516,1919.0822695999998,26.66070538,26.44293308,53.10363846,55.21764706,16.67647059,71.89411765,180.00588239999996,82.37682353,262.38270593,882,276.7058824,1158.7058824,24.39609681,82.37682353,106.77292033999998,286.7791228,276.7058824,563.4850052,3465.1686140399997,4210.28203366,2714.33795125,3459.45137087
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,239.89145069,671.20073691,16192.915851,911.0921876,0.081109541,1215.547618,998.0575552,2213.6051732,26.66070538,44.82778668,71.48849206,55.21764706,30.26470588,85.48235293999998,180.00588239999996,125.0241176,305.03,882,276.7058824,1158.7058824,24.39609681,125.0241176,149.42021441,286.7791228,276.7058824,563.4850052,3834.3119006,4745.4040882,3083.4812378100005,3994.5734254100007
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,239.89145069,801.15764737,18557.854700699998,1041.04909806,0.081109541,1215.547618,998.0575552,2213.6051732,26.66070538,44.82778668,71.48849206,55.21764706,30.26470588,85.48235293999998,180.00588239999996,125.0241176,305.03,882,276.7058824,1158.7058824,24.39609681,125.0241176,149.42021441,286.7791228,276.7058824,563.4850052,3834.3119006,4875.36099866,3083.4812378100005,4124.53033587
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,239.89145069,253.47950781,7962.2515035,493.3709585,0.081109541,1215.547618,659.3562161,1874.9038341,26.66070538,23.68520504,50.34591042,55.21764706,14.576470590000001,69.79411764999999,180.00588239999996,75.97972941,255.98561181,882,276.7058824,1158.7058824,24.39609681,75.97972941,100.37582622,286.7791228,276.7058824,563.4850052,3409.73535638,3903.1063148800004,2658.9046935900005,3152.2756520900007
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,239.89145069,370.75284738,10314.625790700002,610.64429807,0.081109541,1215.547618,659.3562161,1874.9038341,26.66070538,23.68520504,50.34591042,55.21764706,14.576470590000001,69.79411764999999,180.00588239999996,75.97972941,255.98561181,882,276.7058824,1158.7058824,24.39609681,75.97972941,100.37582622,286.7791228,276.7058824,563.4850052,3409.73535638,4020.37965445,2658.9046935900005,3269.5489916600004
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,239.89145069,522.03074128,13108.622442299999,761.92219197,0.081109541,1215.547618,791.8915227,2007.4391406999998,26.66070538,31.95838916,58.61909453999999,55.21764706,20.75294118,75.97058824,180.00588239999996,95.17101176000001,275.17689415999996,882,276.7058824,1158.7058824,24.39609681,95.17101176000001,119.56710857,286.7791228,276.7058824,563.4850052,3575.9116000399995,4337.833792009999,2825.08093725,3587.0031292199997
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,239.89145069,699.49003002,16740.5060382,939.38148071,0.081109541,1215.547618,1145.319007,2360.866625,26.66070538,54.02021348,80.68091885999999,55.21764706,37.05882353,92.27647059,180.00588239999996,146.3477647,326.3536471,882,276.7058824,1158.7058824,24.39609681,146.3477647,170.74386151,286.7791228,276.7058824,563.4850052,4018.8835439500003,4958.265024660001,3268.05288116,4207.43436187
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,239.89145069,831.4306521,19105.7844222,1071.32210279,0.081109541,1215.547618,1145.319007,2360.866625,26.66070538,54.02021348,80.68091885999999,55.21764706,37.05882353,92.27647059,180.00588239999996,146.3477647,326.3536471,882,276.7058824,1158.7058824,24.39609681,146.3477647,170.74386151,286.7791228,276.7058824,563.4850052,4018.8835439500003,5090.20564674,3268.05288116,4339.37498395
