house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,Embodied_life,Total_life
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,226.9057193,253.0720521,8021.523821,479.9777714,0.138169056,1215.547618,593.0885628,1808.636181,26.66070538,19.54861298,46.20931836,55.21764706,11.48823529,66.70588235,180.0058824,66.38408824,246.3899706,882,276.7058824,1158.705882,3326.647235,3806.625006
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,226.9057193,367.169219,10369.5798,594.0749383,0.176417913,1215.547618,593.0885628,1808.636181,26.66070538,19.54861298,46.20931836,55.21764706,11.48823529,66.70588235,180.0058824,66.38408824,246.3899706,882,276.7058824,1158.705882,3326.647235,3920.722173
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,226.9057193,513.9718226,13098.47856,740.8775419,0.201267845,1215.547618,703.5346516,1919.08227,26.66070538,26.44293308,53.10363846,55.21764706,16.67647059,71.89411765,180.0058824,82.37682353,262.3827059,882,276.7058824,1158.705882,3465.168614,4206.046156
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,226.9057193,683.5752937,16675.34687,910.481013,0.224992973,1215.547618,998.0575552,2213.605173,26.66070538,44.82778668,71.48849206,55.21764706,30.26470588,85.48235294,180.0058824,125.0241176,305.03,882,276.7058824,1158.705882,3834.311901,4744.792914
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,226.9057193,808.9893479,19038.58524,1035.895067,0.257786675,1215.547618,998.0575552,2213.605173,26.66070538,44.82778668,71.48849206,55.21764706,30.26470588,85.48235294,180.0058824,125.0241176,305.03,882,276.7058824,1158.705882,3834.311901,4870.206968
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,226.9057193,264.8759587,8240.914505,491.781678,0.136759815,1215.547618,659.3562161,1874.903834,26.66070538,23.68520504,50.34591042,55.21764706,14.57647059,69.79411765,180.0058824,75.97972941,255.9856118,882,276.7058824,1158.705882,3409.735356,3901.517034
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,226.9057193,377.7836747,10584.86435,604.6893941,0.178839379,1215.547618,659.3562161,1874.903834,26.66070538,23.68520504,50.34591042,55.21764706,14.57647059,69.79411765,180.0058824,75.97972941,255.9856118,882,276.7058824,1158.705882,3409.735356,4014.42475
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,226.9057193,532.7544048,13457.80404,759.6601242,0.208556977,1215.547618,791.8915227,2007.439141,26.66070538,31.95838916,58.61909454,55.21764706,20.75294118,75.97058824,180.0058824,95.17101176,275.1768942,882,276.7058824,1158.705882,3575.9116,4335.571724
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,226.9057193,718.3147088,17324.21132,945.2204281,0.241016616,1215.547618,1145.319007,2360.866625,26.66070538,54.02021348,80.68091886,55.21764706,37.05882353,92.27647059,180.0058824,146.3477647,326.3536471,882,276.7058824,1158.705882,4018.883544,4964.103972
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,226.9057193,843.0680016,19684.33487,1069.973721,0.265179943,1215.547618,1145.319007,2360.866625,26.66070538,54.02021348,80.68091886,55.21764706,37.05882353,92.27647059,180.0058824,146.3477647,326.3536471,882,276.7058824,1158.705882,4018.883544,5088.857265
