house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,Embodied_life,Total_life
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,226.36858851866913,253.60213377482708,8021.523821320105,479.97072229349624,0.17776346819040995,1215.547618,479.5114065,1695.0590245000003,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,3697.146129060001,4177.116851353498
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,226.36858851866913,367.86899239150006,10369.579795467738,594.2375809101692,0.17677824679575968,1215.547618,479.5114065,1695.0590245000003,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,3697.146129060001,4291.3837099701705
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,226.36858851866913,514.3746227915257,13098.478560912303,740.7432113101947,0.2393974350827859,1215.547618,543.696683,1759.2443010000002,27.44847036,24.404181279999996,51.85265164,76.31200903,17.98784422,94.29985325,241.3279934,81.10948345,322.43747685,1264.174085,285.3529412,1549.5270262000004,3777.3613089400005,4518.1045202501955
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,226.36858851866913,683.8242802357358,16675.34687363507,910.192868754405,0.2555439935214017,1215.547618,715.28243,1930.830048,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,3991.6934649800005,4901.8863337344055
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,226.36858851866913,811.0471489691697,19038.585242536225,1037.415737487839,0.3043366990888775,1215.547618,715.28243,1930.830048,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,3991.6934649800005,5029.109202467839
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,226.36858851866913,265.3347192220931,8240.914504856963,491.7033077407622,0.1777909800685938,1215.547618,517.9205701,1733.4681881000001,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,3745.1732347100005,4236.876542450763
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,226.36858851866913,378.6058320634824,10584.864347773624,604.9744205821515,0.17879355607328012,1215.547618,517.9205701,1733.4681881000001,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,3745.1732347100005,4350.147655292152
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,226.36858851866913,533.3331801228186,13457.804042023454,759.7017686414878,0.25150505955623936,1215.547618,595.2489089,1810.7965269000001,27.44847036,28.4476689,55.896139260000005,76.31200903,21.2168471,97.52885613,241.3279934,86.66091566999998,327.98890907,1264.174085,285.3529412,1549.5270262000004,3841.73745756,4601.439226201488
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,226.36858851866913,718.1717882443478,17324.21132386455,944.540376763017,0.2620972378072871,1215.547618,800.9478006000002,2016.4954186000004,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,4098.732040070001,5043.272416833018
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,226.36858851866913,844.8073449193391,19684.334865831825,1071.1759334380083,0.30889535367428406,1215.547618,800.9478006000002,2016.4954186000004,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,4098.732040070001,5169.9079735080095
Mass,H1,Ideal,AK,Hhigh,HP-R,1,226.36858851866913,1017.9099785103258,24060.85483092771,1244.278567028995,0.30136542995945914,1215.547618,190.9509894,1406.4986074,27.44847036,3.783646588,31.232116948,76.31200903,4.027399057,80.33940808700001,241.3279934,22.43667136,263.76466475999996,1264.174085,0,1264.174085,3046.0088821950003,4290.287449223995
Mass,H1,Ideal,AK,Hhigh,HP-R,2,226.36858851866913,1497.6272280104167,34067.35483092772,1723.995816529086,0.2944688782353213,1215.547618,190.9509894,1406.4986074,27.44847036,3.783646588,31.232116948,76.31200903,4.027399057,80.33940808700001,241.3279934,22.43667136,263.76466475999996,1264.174085,0,1264.174085,3046.0088821950003,4770.004698724086
Mass,H1,Ideal,AK,Hhigh,HP-R,3,226.36858851866913,2101.9362859458083,45453.554830927715,2328.304874464477,0.5479171540973902,1215.547618,234.8663891,1450.4140071,27.44847036,4.540375906,31.988846266000003,76.31200903,4.953630649,81.265639679,241.3279934,27.59671475,268.92470815,1264.174085,0,1264.174085,3096.7672861950005,5425.072160659478
Mass,H1,Ideal,AK,Hhigh,HP-R,4,226.36858851866913,2783.434276846971,60210.254830927704,3009.80286536564,0.6168826713387695,1215.547618,407.89785810000006,1623.4454761000002,27.44847036,6.558320753,34.006791113000006,76.31200903,8.603084246,84.915093276,241.3279934,47.92784903,289.25584243,1264.174085,0,1264.174085,3295.797287919,6305.60015328464
Mass,H1,Ideal,AK,Hhigh,HP-R,5,226.36858851866913,3322.0704794753774,70236.70483092772,3548.439067994046,0.822055085131873,1215.547618,407.89785810000006,1623.4454761000002,27.44847036,6.558320753,34.006791113000006,76.31200903,8.603084246,84.915093276,241.3279934,47.92784903,289.25584243,1264.174085,0,1264.174085,3295.797287919,6844.236355913046
Mass,H1,Ideal,AK,Hhigh,HP-Ro,1,226.36858851866913,1061.738149900497,24890.35483092771,1288.1067384191663,0.3065378437525626,1215.547618,216.2027869,1431.7504049000001,27.44847036,4.116960628,31.565430988000003,76.31200903,4.559991558,80.87200058799999,241.3279934,25.40374832,266.73174172,1264.174085,0,1264.174085,3075.0936631960003,4363.200401615167
Mass,H1,Ideal,AK,Hhigh,HP-Ro,2,226.36858851866913,1538.456345263346,34882.15483092771,1764.8249337820153,0.3065378437525626,1215.547618,216.2027869,1431.7504049000001,27.44847036,4.116960628,31.565430988000003,76.31200903,4.559991558,80.87200058799999,241.3279934,25.40374832,266.73174172,1264.174085,0,1264.174085,3075.0936631960003,4839.918596978016
