house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,Embodied_life,Total_life
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,213.74072957054904,233.7169735632603,8021.523821320105,447.45770313380933,0.14591822869824553,1215.547618,517.4042666,1732.9518846,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,3735.0389891600007,4182.49669229381
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,213.74072957054904,340.84387094809586,10369.579795467738,554.5846005186448,0.17938591817526503,1215.547618,517.4042666,1732.9518846,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,3735.0389891600007,4289.623589678646
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,213.74072957054904,477.6973445341048,13098.478560912303,691.4380741046538,0.20035026943980871,1215.547618,597.3918213,1812.9394392999998,27.44847036,24.404181279999996,51.85265164,76.31200903,17.98784422,94.29985325,241.3279934,81.10948345,322.43747685,1264.174085,285.3529412,1549.5270262000004,3831.05644724,4522.494521344654
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,213.74072957054904,634.1711753249565,16675.34687363507,847.9119048955056,0.22904207459252304,1215.547618,810.6919673000001,2026.2395853,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,4087.1030022800005,4935.014907175506
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,213.74072957054904,751.8421686822461,19038.585242536225,965.5828982527952,0.25783584565988926,1215.547618,810.6919673000001,2026.2395853,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,4087.1030022800005,5052.685900532796
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,213.74072957054904,244.4102225836461,8240.914504856963,458.1509521541951,0.1456658277642268,1215.547618,565.3967994,1780.9444174,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,3792.6494640100004,4250.800416164196
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,213.74072957054904,350.8415361287605,10584.864347773624,564.5822656993096,0.1804641629485229,1215.547618,565.3967994,1780.9444174,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,3792.6494640100004,4357.2317297093105
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,213.74072957054904,495.1920568773297,13457.804042023454,708.9327864478788,0.20653302479216126,1215.547618,661.3818651,1876.9294831000002,27.44847036,28.4476689,55.896139260000005,76.31200903,21.2168471,97.52885613,241.3279934,86.66091566999998,327.98890907,1264.174085,285.3529412,1549.5270262000004,3907.8704137600002,4616.803200207879
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,213.74072957054904,666.0854929710176,17324.21132386455,879.8262225415667,0.2439925465938326,1215.547618,917.3420403,2132.8896583,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,4215.12627977,5094.952502311567
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,213.74072957054904,783.2835319872646,19684.334865831825,997.0242615578136,0.2566028010380492,1215.547618,917.3420403,2132.8896583,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,4215.12627977,5212.150541327814
