house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,Embodied_life,Total_life
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,205.7065357196807,233.15523615519868,8021.523821320105,438.86177187487937,0.1483525931011811,1215.547618,517.4042666,1732.9518846,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,3735.0389891600007,4173.90076103488
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,205.7065357196807,344.2264703739335,10369.579795467738,549.9330060936142,0.1830643893035352,1215.547618,517.4042666,1732.9518846,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,3735.0389891600007,4284.971995253615
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,205.7065357196807,481.12768820545057,13098.478560912303,686.8342239251313,0.2165299141289337,1215.547618,597.3918213,1812.9394392999998,27.44847036,24.404181279999996,51.85265164,76.31200903,17.98784422,94.29985325,241.3279934,81.10948345,322.43747685,1264.174085,285.3529412,1549.5270262000004,3831.05644724,4517.890671165132
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,205.7065357196807,640.1278509074774,16675.34687363507,845.8343866271581,0.2380078153902979,1215.547618,810.6919673000001,2026.2395853,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,4087.1030022800005,4932.9373889071585
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,205.7065357196807,762.2761628038068,19038.585242536225,967.9826985234874,0.2622949129987776,1215.547618,810.6919673000001,2026.2395853,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,4087.1030022800005,5055.085700803488
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,205.7065357196807,244.37146420884085,8240.914504856963,450.07799992852154,0.14768690601919798,1215.547618,565.3967994,1780.9444174,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,3792.6494640100004,4242.727463938522
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,205.7065357196807,354.8034895748035,10584.864347773624,560.5100252944842,0.18464722638749334,1215.547618,565.3967994,1780.9444174,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,3792.6494640100004,4353.159489304485
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,205.7065357196807,499.05888687180743,13457.804042023454,704.7654225914881,0.22303837125722542,1215.547618,661.3818651,1876.9294831000002,27.44847036,28.4476689,55.896139260000005,76.31200903,21.2168471,97.52885613,241.3279934,86.66091566999998,327.98890907,1264.174085,285.3529412,1549.5270262000004,3907.8704137600002,4612.635836351488
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,205.7065357196807,672.0003269553811,17324.21132386455,877.7068626750618,0.25257686739282276,1215.547618,917.3420403,2132.8896583,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,4215.12627977,5092.833142445062
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,205.7065357196807,794.1459325878495,19684.334865831825,999.8524683075302,0.2631666923297021,1215.547618,917.3420403,2132.8896583,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,4215.12627977,5214.97874807753
Mass,H1,Ideal,AK,Hhigh,HP-R,1,205.7065357196807,939.7124719414772,24060.85483092771,1145.419007661158,0.30875674962679445,1215.547618,190.9509894,1406.4986074,27.44847036,3.783646588,31.232116948,76.31200903,4.027399057,80.33940808700001,241.3279934,22.43667136,263.76466475999996,1264.174085,0,1264.174085,3046.0088821950003,4191.427889856159
Mass,H1,Ideal,AK,Hhigh,HP-R,2,205.7065357196807,1404.9281259747786,34067.35483092772,1610.6346616944595,0.43322308788623615,1215.547618,190.9509894,1406.4986074,27.44847036,3.783646588,31.232116948,76.31200903,4.027399057,80.33940808700001,241.3279934,22.43667136,263.76466475999996,1264.174085,0,1264.174085,3046.0088821950003,4656.64354388946
Mass,H1,Ideal,AK,Hhigh,HP-R,3,205.7065357196807,1972.0698352740967,45453.554830927715,2177.7763709937776,0.5833051896924759,1215.547618,234.8663891,1450.4140071,27.44847036,4.540375906,31.988846266000003,76.31200903,4.953630649,81.265639679,241.3279934,27.59671475,268.92470815,1264.174085,0,1264.174085,3096.7672861950005,5274.5436571887785
Mass,H1,Ideal,AK,Hhigh,HP-R,4,205.7065357196807,2612.7520379520574,60210.254830927704,2818.458573671738,0.6512033834527386,1215.547618,407.89785810000006,1623.4454761000002,27.44847036,6.558320753,34.006791113000006,76.31200903,8.603084246,84.915093276,241.3279934,47.92784903,289.25584243,1264.174085,0,1264.174085,3295.797287919,6114.255861590738
Mass,H1,Ideal,AK,Hhigh,HP-R,5,205.7065357196807,3130.6597890578214,70236.70483092772,3336.366324777502,0.7576894261456779,1215.547618,407.89785810000006,1623.4454761000002,27.44847036,6.558320753,34.006791113000006,76.31200903,8.603084246,84.915093276,241.3279934,47.92784903,289.25584243,1264.174085,0,1264.174085,3295.797287919,6632.163612696502
Mass,H1,Ideal,AK,Hhigh,HP-Ro,1,205.7065357196807,981.039073464647,24890.35483092771,1186.7456091843278,0.3063757972458421,1215.547618,216.2027869,1431.7504049000001,27.44847036,4.116960628,31.565430988000003,76.31200903,4.559991558,80.87200058799999,241.3279934,25.40374832,266.73174172,1264.174085,0,1264.174085,3075.0936631960003,4261.839272380328
Mass,H1,Ideal,AK,Hhigh,HP-Ro,2,205.7065357196807,1444.7791375956126,34882.15483092771,1650.4856733152933,0.44282899921628543,1215.547618,216.2027869,1431.7504049000001,27.44847036,4.116960628,31.565430988000003,76.31200903,4.559991558,80.87200058799999,241.3279934,25.40374832,266.73174172,1264.174085,0,1264.174085,3075.0936631960003,4725.579336511293
Mass,H1,Ideal,AK,Hhigh,HP-Ro,3,205.7065357196807,2035.873112358304,46805.954830927716,2241.579648077985,0.6042411502836089,1215.547618,277.1660528,1492.7136708,27.44847036,5.170983671,32.619454031000004,76.31200903,5.845784319,82.157793349,241.3279934,32.56690976,273.89490316,1264.174085,0,1264.174085,3145.5599063400005,5387.139554417985
Mass,H1,Ideal,AK,Hhigh,HP-Ro,4,205.7065357196807,2729.637756580229,62646.254830927704,2935.3442922999097,0.6820736625988798,1215.547618,537.5473211,1753.0949391,27.44847036,7.693414729,35.141885089,76.31200903,11.3375562,87.64956523,241.3279934,63.16161347,304.48960687000005,1264.174085,0,1264.174085,3444.550081289,6379.89437358891
Mass,H1,Ideal,AK,Hhigh,HP-Ro,5,205.7065357196807,3246.924700171511,72662.20483092772,3452.631235891192,0.7607271929765481,1215.547618,537.5473211,1753.0949391,27.44847036,7.693414729,35.141885089,76.31200903,11.3375562,87.64956523,241.3279934,63.16161347,304.48960687000005,1264.174085,0,1264.174085,3444.550081289,6897.181317180191
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HP,1,323.25616889270725,233.15523615519868,9510.231186395089,556.4114050479059,0.18827662958183447,1054.4299381,517.4042666,1571.8342047,27.15465691,19.34982176,46.50447867,45.932528555,13.95159063,59.884119185,159.74576161000002,74.17019318,233.91595479,615.6446734,285.3529412,900.9976146,2813.136371945,3369.5477769929057
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HP,2,323.25616889270725,344.2264703739335,11858.287160542723,667.4826392666407,0.22298842578418857,1054.4299381,517.4042666,1571.8342047,27.15465691,19.34982176,46.50447867,45.932528555,13.95159063,59.884119185,159.74576161000002,74.17019318,233.91595479,615.6446734,285.3529412,900.9976146,2813.136371945,3480.619011211641
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HP,3,323.25616889270725,481.12768820545057,14587.185925987287,804.3838570981577,0.25645395060958703,1054.4299381,597.3918213,1651.8217594,27.15465691,24.404181279999996,51.558838189999996,45.932528555,17.98784422,63.920372775,159.74576161000002,81.10948345,240.85524506,615.6446734,285.3529412,900.9976146,2909.153830025,3713.5376871231574
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HP,4,323.25616889270725,640.1278509074774,18164.054238710054,963.3840198001847,0.27793185187095126,1054.4299381,810.6919673000001,1865.1219054000003,27.15465691,37.88247335,65.03713026,45.932528555,28.75118714,74.68371569499999,159.74576161000002,99.6142575,259.36001911,615.6446734,285.3529412,900.9976146,3165.2003850650003,4128.584404865185
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HP,5,323.25616889270725,762.2761628038068,20527.29260761121,1085.532331696514,0.302218949479431,1054.4299381,810.6919673000001,1865.1219054000003,27.15465691,37.88247335,65.03713026,45.932528555,28.75118714,74.68371569499999,159.74576161000002,99.6142575,259.36001911,615.6446734,285.3529412,900.9976146,3165.2003850650003,4250.732716761514
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HPo,1,323.25616889270725,244.37146420884085,9729.621869931947,567.6276331015481,0.18761094249985133,1054.4299381,565.3967994,1619.8267375000003,27.15465691,22.38243748,49.53709439,45.932528555,16.37334279,62.30587134499999,159.74576161000002,78.33376735,238.07952896,615.6446734,285.3529412,900.9976146,2870.7468467950002,3438.374479896548
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HPo,2,323.25616889270725,354.8034895748035,12073.571712848607,678.0596584675108,0.2245712628681467,1054.4299381,565.3967994,1619.8267375000003,27.15465691,22.38243748,49.53709439,45.932528555,16.37334279,62.30587134499999,159.74576161000002,78.33376735,238.07952896,615.6446734,285.3529412,900.9976146,2870.7468467950002,3548.806505262511
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HPo,3,323.25616889270725,499.05888687180743,14946.511407098438,822.3150557645147,0.26296240773787877,1054.4299381,661.3818651,1715.8118032000002,27.15465691,28.4476689,55.602325809999996,45.932528555,21.2168471,67.149375655,159.74576161000002,86.66091566999998,246.40667728,615.6446734,285.3529412,900.9976146,2985.967796545,3808.282852309515
