house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,Embodied_life,Total_life
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,222.25032822259885,256.12970660791893,8021.523821320105,478.3800348305178,0.13990229208669822,1215.547618,479.5114065,1695.0590245000003,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,3697.146129060001,4175.526163890519
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,222.25032822259885,373.90674914550465,10369.579795467738,596.1570773681035,0.17751508773499144,1215.547618,479.5114065,1695.0590245000003,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,3697.146129060001,4293.303206428104
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,222.25032822259885,521.2753323957844,13098.478560912303,743.5256606183833,0.20517690087012133,1215.547618,543.696683,1759.2443010000002,27.44847036,24.404181279999996,51.85265164,76.31200903,17.98784422,94.29985325,241.3279934,81.10948345,322.43747685,1264.174085,285.3529412,1549.5270262000004,3777.3613089400005,4520.8869695583835
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,222.25032822259885,695.1463063644949,16675.34687363507,917.3966345870937,0.22516688590603012,1215.547618,715.28243,1930.830048,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,3991.6934649800005,4909.0900995670945
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,222.25032822259885,826.5755675727804,19038.585242536225,1048.8258957953792,0.2598876950208742,1215.547618,715.28243,1930.830048,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,3991.6934649800005,5040.51936077538
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,222.25032822259885,268.0278734626039,8240.914504856963,490.2782016852027,0.13837298057820488,1215.547618,517.9205701,1733.4681881000001,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,3745.1732347100005,4235.451436395203
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,222.25032822259885,385.1516824813883,10584.864347773624,607.4020107039871,0.18059688538702276,1215.547618,517.9205701,1733.4681881000001,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,3745.1732347100005,4352.575245413987
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,222.25032822259885,540.9963328787766,13457.804042023454,763.2466611013755,0.21264590722740828,1215.547618,595.2489089,1810.7965269000001,27.44847036,28.4476689,55.896139260000005,76.31200903,21.2168471,97.52885613,241.3279934,86.66091566999998,327.98890907,1264.174085,285.3529412,1549.5270262000004,3841.73745756,4604.984118661376
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,222.25032822259885,730.4272654170271,17324.21132386455,952.6775936396259,0.2400790128571164,1215.547618,800.9478006000002,2016.4954186000004,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,4098.732040070001,5051.409633709627
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,222.25032822259885,861.3353796392408,19684.334865831825,1083.5857078618396,0.26746442864227143,1215.547618,800.9478006000002,2016.4954186000004,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,4098.732040070001,5182.31774793184
Mass,H1,Ideal,AK,Hhigh,HP-R,1,222.25032822259885,1030.1819572463235,24060.85483092771,1252.4322854689221,0.3139912034403918,1215.547618,190.9509894,1406.4986074,27.44847036,3.783646588,31.232116948,76.31200903,4.027399057,80.33940808700001,241.3279934,22.43667136,263.76466475999996,1264.174085,0,1264.174085,3046.0088821950003,4298.441167663923
Mass,H1,Ideal,AK,Hhigh,HP-R,2,222.25032822259885,1524.447493760852,34067.35483092772,1746.697821983451,0.4509370162482736,1215.547618,190.9509894,1406.4986074,27.44847036,3.783646588,31.232116948,76.31200903,4.027399057,80.33940808700001,241.3279934,22.43667136,263.76466475999996,1264.174085,0,1264.174085,3046.0088821950003,4792.706704178451
Mass,H1,Ideal,AK,Hhigh,HP-R,3,222.25032822259885,2134.7957259742725,45453.554830927715,2357.0460541968714,0.5726118930955643,1215.547618,234.8663891,1450.4140071,27.44847036,4.540375906,31.988846266000003,76.31200903,4.953630649,81.265639679,241.3279934,27.59671475,268.92470815,1264.174085,0,1264.174085,3096.7672861950005,5453.813340391872
Mass,H1,Ideal,AK,Hhigh,HP-R,4,222.25032822259885,2835.3154676605827,60210.254830927704,3057.5657958831816,0.6548779029477808,1215.547618,407.89785810000006,1623.4454761000002,27.44847036,6.558320753,34.006791113000006,76.31200903,8.603084246,84.915093276,241.3279934,47.92784903,289.25584243,1264.174085,0,1264.174085,3295.797287919,6353.363083802182
