house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,Embodied_life,Total_life
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,225.22277365979406,253.17631901369083,8021.523821320105,478.3990926734849,0.17500072308896564,1215.547618,517.4042666,1732.9518846,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,3735.0389891600007,4213.438081833486
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,225.22277365979406,367.28039320222837,10369.579795467738,592.5031668620225,0.17951084555045804,1215.547618,517.4042666,1732.9518846,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,3735.0389891600007,4327.542156022023
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,225.22277365979406,513.3861789578659,13098.478560912303,738.60895261766,0.23167119894856,1215.547618,597.3918213,1812.9394392999998,27.44847036,24.404181279999996,51.85265164,76.31200903,17.98784422,94.29985325,241.3279934,81.10948345,322.43747685,1264.174085,285.3529412,1549.5270262000004,3831.05644724,4569.66539985766
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,225.22277365979406,682.9507438611191,16675.34687363507,908.1735175209132,0.2459685154042174,1215.547618,810.6919673000001,2026.2395853,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,4087.1030022800005,4995.276519800914
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,225.22277365979406,809.6983773632887,19038.585242536225,1034.9211510230828,0.29965342561899966,1215.547618,810.6919673000001,2026.2395853,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,4087.1030022800005,5122.024153303083
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,225.22277365979406,264.88719863644303,8240.914504856963,490.1099722962371,0.17257003764135734,1215.547618,565.3967994,1780.9444174,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,3792.6494640100004,4282.759436306237
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,225.22277365979406,377.99486088189155,10584.864347773624,603.2176345416856,0.18292481489091905,1215.547618,565.3967994,1780.9444174,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,3792.6494640100004,4395.867098551686
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,225.22277365979406,532.26585011616055,13457.804042023454,757.4886237759547,0.24157465340654555,1215.547618,661.3818651,1876.9294831000002,27.44847036,28.4476689,55.896139260000005,76.31200903,21.2168471,97.52885613,241.3279934,86.66091566999998,327.98890907,1264.174085,285.3529412,1549.5270262000004,3907.8704137600002,4665.3590375359545
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,225.22277365979406,717.3075095995428,17324.21132386455,942.5302832593368,0.25297830240221564,1215.547618,917.3420403,2132.8896583,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,4215.12627977,5157.656563029337
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,225.22277365979406,843.3998905727906,19684.334865831825,1068.6226642325846,0.3039563787281261,1215.547618,917.3420403,2132.8896583,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,4215.12627977,5283.748944002585
Mass,H1,Ideal,AK,Hhigh,HP-R,1,225.22277365979406,1016.1564601754148,24060.85483092771,1241.3792338352089,0.2915209546630735,1215.547618,190.9509894,1406.4986074,27.44847036,3.783646588,31.232116948,76.31200903,4.027399057,80.33940808700001,241.3279934,22.43667136,263.76466475999996,1264.174085,0,1264.174085,3046.0088821950003,4287.388116030209
Mass,H1,Ideal,AK,Hhigh,HP-R,2,225.22277365979406,1495.236757765568,34067.35483092772,1720.459531425362,0.3062171779799865,1215.547618,190.9509894,1406.4986074,27.44847036,3.783646588,31.232116948,76.31200903,4.027399057,80.33940808700001,241.3279934,22.43667136,263.76466475999996,1264.174085,0,1264.174085,3046.0088821950003,4766.468413620362
