house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,CS_code,year,Grid_year,SH_code,HP_cap,R_cap,P_annual_kWh_SH,Q_annual_kWh_SH,Operation_SH,P_avg_peak_kW_SH,Manufacture_SH,Distribution_SH,Installation_SH,EOL_SH,Other_SH,EOL_S_SH,Other_S_SH,Manufacture_SH_MJ,Distribution_SH_MJ,Installation_SH_MJ,EOL_SH_MJ,Other_SH_MJ,DW_code,Tank_Volume (L),P_annual_kWh_WH,Q_annual_kWh_WH,Operation_WH,P_avg_peak_kW_WH,Manufacture_WH,Distribution_WH,Installation_WH,EOL_WH,Other_WH,EOL_S_WH,Other_S_WH,Manufacture_WH_MJ,Distribution_WH_MJ,Installation_WH_MJ,EOL_WH_MJ,Other_WH_MJ,scenario,P_annual_kWh_total,Q_annual_kWh_total,P_avg_peak_kW_total,Operation,Manufacture,Distribution,Installation,EOL,Other,EOL_S,Other_S,Manufacture_MJ,Distribution_MJ,Installation_MJ,EOL_MJ,Other_MJ,Operation_SH_total_year,Operation_WH_total_year,Operation_total_year,P_annual_kWh_total_year,P_avg_peak_kW_total_year
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.790158414188236,0.13584818858014883,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,4.081819419523809,22.873924352380953,1530.220528095238,27.681970509523808,65.9913899047619,323.5902809047619,349.10085123809523,HP,135,246.0223328758283,1045.1411360470563,13.958188131346366,0.04191527961026113,22.833876500000002,0.9214200838095239,0.6643614585714286,3.531913960952381,13.588235295238094,3.531913960952381,13.588235295238094,787.7651342857143,19.51442788095238,4.385805914761905,35.294117647619046,13.588235295238094,Mass-H1-Ideal-AK-1-HP-HP-C0-2025-Hhigh,381.97732482476687,1584.0751260695492,0.17776346819040995,25.748346545534602,80.71709640476192,2.2284901009523814,4.29826665047619,15.023723170476192,73.78700124761906,7.61373338047619,36.462159647619046,2317.9856623809524,47.19639839047619,70.3771958195238,358.88439855238096,362.68908653333335,11.790158414188236,13.958188131346366,25.748346545534602,381.97732482476687,0.17776346819040995
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.790158414188236,0.13584818858014883,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,4.081819419523809,22.873924352380953,1530.220528095238,27.681970509523808,65.9913899047619,323.5902809047619,349.10085123809523,HP,135,357.83452212095375,1521.4076238337868,20.614021384626497,0.04093005821561086,22.833876500000002,0.9214200838095239,0.6643614585714286,3.531913960952381,13.588235295238094,3.531913960952381,13.588235295238094,787.7651342857143,19.51442788095238,4.385805914761905,35.294117647619046,13.588235295238094,Mass-H1-Ideal-AK-2-HP-HP-C0-2025-Hhigh,493.78951406989233,2060.3416138562798,0.17677824679575968,32.40417979881473,80.71709640476192,2.2284901009523814,4.29826665047619,15.023723170476192,73.78700124761906,7.61373338047619,36.462159647619046,2317.9856623809524,47.19639839047619,70.3771958195238,358.88439855238096,362.68908653333335,11.790158414188236,20.614021384626497,32.40417979881473,493.78951406989233,0.17677824679575968
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.790158414188236,0.13584818858014883,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,4.081819419523809,22.873924352380953,1530.220528095238,27.681970509523808,65.9913899047619,323.5902809047619,349.10085123809523,HP,180,487.7820823802187,2072.346479155806,28.840901845156953,0.10354924650263708,25.89031823809524,1.1621038704761903,0.8565640104761905,3.862356354761905,13.588235295238094,3.862356354761905,13.588235295238094,853.2604576190477,24.611784109523807,6.483289238095239,35.294117647619046,13.588235295238094,Mass-H1-Ideal-AK-3-HP-HP-C0-2025-Hhigh,623.7370743291573,2611.2804691782985,0.2393974350827859,40.63106025934519,83.77353814285715,2.4691738876190477,4.490469202380952,15.354165564285715,73.78700124761906,7.944175774285714,36.462159647619046,2383.4809857142855,52.29375461904762,72.47467914285714,358.88439855238096,362.68908653333335,11.790158414188236,28.840901845156953,40.63106025934519,623.7370743291573,0.2393974350827859
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.790158414188236,0.13584818858014883,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,4.081819419523809,22.873924352380953,1530.220528095238,27.681970509523808,65.9913899047619,323.5902809047619,349.10085123809523,HP,300,658.1091448908267,2802.744823491569,39.0760636512097,0.11969580494125288,34.06106809523809,1.8039273023809523,1.3691041495238094,4.743536071428571,13.588235295238094,4.743536071428571,13.588235295238094,1027.9146533333333,38.20473404761905,12.0765781,35.294117647619046,13.588235295238094,Mass-H1-Ideal-AK-4-HP-HP-C0-2025-Hhigh,794.0641368397652,3341.6788135140623,0.2555439935214017,50.866222065397935,91.944288,3.1109973195238094,5.003009341428571,16.23534528095238,73.78700124761906,8.82535549095238,36.462159647619046,2558.1351814285713,65.88670455714285,78.06796800476191,358.88439855238096,362.68908653333335,11.790158414188236,39.0760636512097,50.866222065397935,794.0641368397652,0.2555439935214017
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.790158414188236,0.13584818858014883,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,4.081819419523809,22.873924352380953,1530.220528095238,27.681970509523808,65.9913899047619,323.5902809047619,349.10085123809523,HP,300,770.6443053146912,3280.56704057369,46.251947249099686,0.16848851050872868,34.06106809523809,1.8039273023809523,1.3691041495238094,4.743536071428571,13.588235295238094,4.743536071428571,13.588235295238094,1027.9146533333333,38.20473404761905,12.0765781,35.294117647619046,13.588235295238094,Mass-H1-Ideal-AK-5-HP-HP-C0-2025-Hhigh,906.5992972636298,3819.5010305961832,0.3043366990888775,58.04210566328792,91.944288,3.1109973195238094,5.003009341428571,16.23534528095238,73.78700124761906,8.82535549095238,36.462159647619046,2558.1351814285713,65.88670455714285,78.06796800476191,358.88439855238096,362.68908653333335,11.790158414188236,46.251947249099686,58.04210566328792,906.5992972636298,0.3043366990888775
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.790158414188236,0.13584818858014883,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,4.081819419523809,22.873924352380953,1530.220528095238,27.681970509523808,65.9913899047619,323.5902809047619,349.10085123809523,HPo,162,256.4695082823454,1089.1765010282277,14.600854598009102,0.04194279148844499,24.66288429047619,1.0658303561904763,0.77968299,3.7301793976190476,13.588235295238094,3.7301793976190476,13.588235295238094,827.0623285714286,22.57284161904762,5.64429590952381,35.294117647619046,13.588235295238094,Mass-H1-Ideal-AK-1-HP-HPo-C0-2025-Hhigh,392.4245002312839,1628.1104910507206,0.1777909800685938,26.391013012197337,82.5461041952381,2.3729003733333336,4.413588181904762,15.221988607142858,73.78700124761906,7.8119988171428565,36.462159647619046,2357.2828566666667,50.25481212857143,71.63568581428571,358.88439855238096,362.68908653333335,11.790158414188236,14.600854598009102,26.391013012197337,392.4245002312839,0.1777909800685938
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.790158414188236,0.13584818858014883,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,4.081819419523809,22.873924352380953,1530.220528095238,27.681970509523808,65.9913899047619,323.5902809047619,349.10085123809523,HPo,162,368.08616746885303,1564.8170593602945,21.236758247404428,0.0429453674931313,24.66288429047619,1.0658303561904763,0.77968299,3.7301793976190476,13.588235295238094,3.7301793976190476,13.588235295238094,827.0623285714286,22.57284161904762,5.64429590952381,35.294117647619046,13.588235295238094,Mass-H1-Ideal-AK-2-HP-HPo-C0-2025-Hhigh,504.0411594177916,2103.7510493827876,0.17879355607328012,33.026916661592665,82.5461041952381,2.3729003733333336,4.413588181904762,15.221988607142858,73.78700124761906,7.8119988171428565,36.462159647619046,2357.2828566666667,50.25481212857143,71.63568581428571,358.88439855238096,362.68908653333335,11.790158414188236,21.236758247404428,33.026916661592665,504.0411594177916,0.17879355607328012
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.790158414188236,0.13584818858014883,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,4.081819419523809,22.873924352380953,1530.220528095238,27.681970509523808,65.9913899047619,323.5902809047619,349.10085123809523,HPo,216,504.89281957598774,2144.518205237764,29.91581289229157,0.11565687097609056,28.345186138095237,1.3546509,1.0103260523809523,4.126710269999999,13.588235295238094,4.126710269999999,13.588235295238094,905.6567166666666,28.68966909047619,8.161275895238095,35.294117647619046,13.588235295238094,Mass-H1-Ideal-AK-3-HP-HPo-C0-2025-Hhigh,640.8478115249263,2683.452195260257,0.25150505955623936,41.7059713064798,86.22840604285715,2.6617209171428575,4.644231244285714,15.618519479523808,73.78700124761906,8.208529689523807,36.462159647619046,2435.877244761905,56.371639599999995,74.1526658,358.88439855238096,362.68908653333335,11.790158414188236,29.91581289229157,41.7059713064798,640.8478115249263,0.25150505955623936
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.790158414188236,0.13584818858014883,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,4.081819419523809,22.873924352380953,1530.220528095238,27.681970509523808,65.9913899047619,323.5902809047619,349.10085123809523,HPo,360,689.0074520446115,2932.8425077657357,40.94152996274777,0.1262490492271383,38.14037145714286,2.124839018095238,1.625374219047619,5.1841259285714285,13.588235295238094,5.1841259285714285,13.588235295238094,1115.2417514285714,45.00120901904762,14.873222533333333,35.294117647619046,13.588235295238094,Mass-H1-Ideal-AK-4-HP-HPo-C0-2025-Hhigh,824.96244399355,3471.776497788229,0.2620972378072871,52.731688376936006,96.02359136190478,3.431909035238095,5.259279410952381,16.675935138095237,73.78700124761906,9.265945348095237,36.462159647619046,2645.4622795238092,72.68317952857143,80.86461243809524,358.88439855238096,362.68908653333335,11.790158414188236,40.94152996274777,52.731688376936006,824.96244399355,0.2620972378072871
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,11.790158414188236,0.13584818858014883,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,4.081819419523809,22.873924352380953,1530.220528095238,27.681970509523808,65.9913899047619,323.5902809047619,349.10085123809523,HPo,360,801.3942873763864,3410.2406622039807,48.136226593326654,0.17304716509413523,38.14037145714286,2.124839018095238,1.625374219047619,5.1841259285714285,13.588235295238094,5.1841259285714285,13.588235295238094,1115.2417514285714,45.00120901904762,14.873222533333333,35.294117647619046,13.588235295238094,Mass-H1-Ideal-AK-5-HP-HPo-C0-2025-Hhigh,937.3492793253249,3949.174652226474,0.30889535367428406,59.92638500751489,96.02359136190478,3.431909035238095,5.259279410952381,16.675935138095237,73.78700124761906,9.265945348095237,36.462159647619046,2645.4622795238092,72.68317952857143,80.86461243809524,358.88439855238096,362.68908653333335,11.790158414188236,48.136226593326654,59.92638500751489,937.3492793253249,0.30889535367428406
