house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,kgCO2_total_life,kgCO2_total_life_R,CS_code
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,239.89145069,2855.0548299,1215.547618,26.66070538,55.21764706,180.00588239999996,882,24.39609681,286.7791228,2599.32330353,1848.4926407400003,C0
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,208.351478626,2529.4231662,793.8182066,15.90393715,23.47058824,86,542.2941176,4.507861519,201.5438287,1669.8383282160005,1247.595900835,C0
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1183.82335352,19925.5511154,4212.999545,123.1934515,83.29767914,881.6249198,1922.834118,773.4501046,1556.261912,8407.77306696,7933.02604576,C0
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1326.34069937,22825.853064000003,4212.999545,123.1934515,83.29767914,881.6249198,1922.834118,773.4501046,1556.261912,8550.29041281,8075.543391609999,C0
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1493.00643157,25761.818376,4212.999545,123.1934515,83.29767914,881.6249198,1922.834118,773.4501046,1556.261912,8716.9561450100009,8242.20912381,C0
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1046.29315217,17604.88107,3014.089556,115.2389485,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,6801.91377397,6143.90688467,C0
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1184.60560149,20587.589736,3014.089556,115.2389485,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,6940.226223289999,6282.2193339899995,C0
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1355.12644948,23696.350923,3014.089556,115.2389485,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,7110.7470712800005,6452.74018198,C0
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,1071.23642282,17979.3031026,3366.317727000001,116.12777819999998,82.34313369,596.2158289,1922.834118,488.0410136999999,1556.261912,7155.07500861,6680.32798741,C0
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1209.14587843,20895.1138872,3366.317727000001,116.12777819999998,82.34313369,596.2158289,1922.834118,488.0410136999999,1556.261912,7292.98446422,6818.237443020001,C0
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1372.16812323,23847.738936,3366.317727000001,116.12777819999998,82.34313369,596.2158289,1922.834118,488.0410136999999,1556.261912,7456.00670902,6981.25968782,C0
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,948.97229508,11317.61379,610.8580626,29.93734608,1.229073644,34.37968235,0,34.37968235,0,1625.3764597539998,1625.3764597539998,C0
Mass,H1,Ideal,AK,Hhigh,Rb,NA,NA,2,NA,NA,168.583932815,1814.33902965,213.4918799,10.46295479,0.429555176,12.01552941,0,12.01552941,0,404.983852091,404.983852091,C0
Mass,H1,Ideal,AK,Hhigh,Rl,NA,NA,5,NA,NA,780.38836224,9503.2747614,397.36618259999995,19.47439128,0.799518468,22.36415294,0,22.36415294,0,1220.392607528,1220.392607528,C0
Mass,H1,Ideal,AK,Hlow,HP,NA,NA,NA,6.5,NA,334.01539947000003,2855.0548299,1215.547618,26.66070538,55.21764706,180.00588239999996,882,24.39609681,286.7791228,2693.4472523100003,1942.61658952,C0
Mass,H1,Ideal,AK,Hlow,HPl,NA,NA,NA,4.5,NA,289.33142668,2529.4231662,793.8182066,15.90393715,23.47058824,86,542.2941176,4.507861519,201.5438287,1750.8182762700003,1328.575848889,C0
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1541.39496732,19925.5511154,4212.999545,123.1934515,83.29767914,881.6249198,1922.834118,773.4501046,1556.261912,8765.34468076,8290.597659559999,C0
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1701.30922074,22825.853064000003,4212.999545,123.1934515,83.29767914,881.6249198,1922.834118,773.4501046,1556.261912,8925.25893418,8450.511912979999,C0
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,1886.17914872,25761.818376,4212.999545,123.1934515,83.29767914,881.6249198,1922.834118,773.4501046,1556.261912,9110.12886216,8635.381840959999,C0
