house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,MJ_manuf_life,MJ_dist_life,MJ_inst_life,MJ_eol_life,MJ_other_life,kgCO2_total_life,kgCO2_total_life_R,MJ_total_life
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,819.9605431699999,20250.1584275,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7354.34822817,6896.0521679700005,267324.87564559863
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,925.9027804899999,23135.575899,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7460.290465489999,7001.99440529,277704.0751833684
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1065.71862782,26036.416708,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7600.1063128199985,7141.810252619999,288138.75435243314
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,982.50704271,17632.5166229,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,6903.35818021,6300.42985081,217953.61644551007
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1127.56420641,20627.2315226,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,7048.415343910001,6445.48701451,228725.9721998266
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1306.81012465,23754.075473,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,7227.661262150001,6624.73293275,239973.61230917912
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,841.14992099,18187.3374025,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,6915.497124490001,6457.20106429,239622.29810241007
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,963.12806454,21100.538467,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7037.47526804,6579.17920784,250101.43862219423
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1122.18537835,24035.704126,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7196.5325818500005,6738.23652165,260659.58847471222
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1167.28321551,20252.4238614,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7701.670900509998,7243.374840309999,267333.0246884043
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1290.75915149,23139.63899,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7825.146836489999,7366.85077629,277718.69061862014
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,1459.3205205900001,26041.209137,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7993.708205589999,7535.41214539,288155.99330567056
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1329.60554209,17633.2840377,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,7250.456679590001,6647.52835019,217956.37693040216
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1498.34044249,20627.6110986,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,7419.19157999,6816.26325059,228727.33758112157
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1699.16684348,23754.053269,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,7620.017980979999,7017.08965158,239973.53243867552
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,5,500,1177.25644295,18188.3728079,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7251.603646449999,6793.30758625,239626.0225822662
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,NA,5,500,1322.00433566,21103.745633,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7396.351539159999,6938.05547896,250112.97519053955
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,5,NA,5,500,1502.72677139,24038.3695,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7577.07397489,7118.77791469,260669.1761509712
