house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,228.33483872618598,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,3053.145014516186
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,198.63053126433698,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,1816.672174584337
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1160.446641318504,19472.846563073326,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,7529.678236318503
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1299.2965848776114,22373.148518637863,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,7668.5281798776105
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1460.4700374222261,25309.113823383097,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,7829.701632422224
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1019.8628182822268,16985.381365412137,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,6755.512411782227
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1152.9112015817059,19954.37495369954,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,6888.560795081707
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1316.92392676822,23055.005108828525,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,7052.573520268221
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,1048.0371812258468,17526.5985520008,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,6947.969204725847
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1181.8279749648925,20442.409335086402,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,7081.759998464891
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1338.55886764113,23395.034389350934,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,7238.490891141129
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,903.466306215457,11317.613790472351,762.7565478000001,34.39267655,4.221680447,40.8013688,0,1745.6385798124572
Mass,H1,Ideal,AK,Hhigh,Rb,NA,NA,2,NA,NA,159.07880280447117,1814.3390296115833,239.0053865,10.46295479,1.367578355,12.423650609999997,0,422.3383730594711
Mass,H1,Ideal,AK,Hhigh,Rl,NA,NA,5,NA,NA,744.3875034109861,9503.274760860771,523.7511613,23.92972175,2.854102092,28.37771819,0,1323.3002067429861
Mass,H1,Ideal,AK,Hlow,HP,NA,NA,NA,6.5,NA,338.47870934906086,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,3163.2888851390608
Mass,H1,Ideal,AK,Hlow,HPl,NA,NA,NA,4.5,NA,294.14839087820826,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,1912.1900341982082
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1573.1172861535613,19472.846563073326,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,7942.348881153561
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1732.900651182771,22373.148518637863,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,8102.132246182769
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,1929.8593446194363,25309.113823383097,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,8299.090939619435
