house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,MJ_manuf_life,MJ_dist_life,MJ_inst_life,MJ_eol_life,MJ_other_life,kgCO2_total_life,kgCO2_total_life_R,MJ_total_life
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,214.65105174814988,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,85.71820780999998,480.35241140000005,32134.63109,581.3213807,1385.819188,6795.395899,7331.117876,3039.46122753815,2100.02976834815,58498.26683991478
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,186.37874998249458,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,65.82997252,283.9406467,17752.10168,353.5076162,775.5838942,2636.160605,3421.411994,1804.4203933024946,1391.2242281224944,34037.41027282127
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1081.6571119925356,19472.846563073326,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7450.888706992535,6992.592646792536,264528.7898023372
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1209.4885049276716,22373.148518637863,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7578.72009992767,7120.424039727671,274961.5306496916
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1361.20349480323,25309.113823383097,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7730.435089803228,7272.139029603229,285522.5569257536
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,951.2937411179539,16985.381365412137,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,6686.943334617954,6084.015005217954,215625.79177828753
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1073.3874557047366,19954.37495369954,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,6809.037049204737,6206.108719804737,226305.62482968107
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1226.0216767537277,23055.005108828525,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,6961.671270253728,6358.742940853728,237458.97071144
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,977.7701700532905,17526.5985520008,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,6877.70219355329,6419.40613335329,237245.53964737698
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1100.538878904066,20442.409335086402,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7000.470902404066,6542.1748422040655,247734.06764408777
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1247.3602267498313,23395.034389350934,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7147.292250249831,6688.996190049831,258355.021076694
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,848.9624589644923,11317.613790472351,762.7565478000001,34.39267655,4.221680447,40.8013688,0,40.8013688,0,19975.70971,728.390251,14.55723013,86.55247726999998,0,1691.1347325614925,1691.1347325614925,61516.05064132212
