house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,MJ_manuf_life,MJ_dist_life,MJ_inst_life,MJ_eol_life,MJ_other_life,kgCO2_total_life,kgCO2_total_life_R,MJ_total_life
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,226.36858851866913,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,85.71820780999998,480.35241140000005,32134.63109,581.3213807,1385.819188,6795.395899,7331.117876,3051.178764308669,2111.7473051186694,58498.26683991478
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,196.9592680518351,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,65.82997252,283.9406467,17752.10168,353.5076162,775.5838942,2636.160605,3421.411994,1815.0009113718352,1401.804746191835,34037.41027282127
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1153.9209429081543,19472.846563073326,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7523.152537908152,7064.856477708153,264528.7898023372
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1293.461550332554,22373.148518637863,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7662.693145332552,7204.397085132553,274961.5306496916
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1455.7254488770802,25309.113823383097,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7824.957043877079,7366.6609836770795,285522.5569257536
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1013.8708922223203,16985.381365412137,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,6749.520485722322,6146.592156322321,215625.79177828753
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1148.5054238778584,19954.37495369954,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,6884.155017377858,6281.226687977858,226305.62482968107
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1313.8029835615912,23055.005108828525,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,7049.452577061591,6446.524247661591,237458.97071144
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,1042.5876827511,17526.5985520008,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,6942.5197062511,6484.223646051099,237245.53964737698
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1177.2376848588947,20442.409335086402,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7077.169708358893,6618.873648158894,247734.06764408777
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1335.4197807779435,23395.034389350934,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7235.351804277943,6777.055744077943,258355.021076694
