house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,213.74072957054904,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,3038.550905360549
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,185.60557907148336,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,1803.6472223914834
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1077.8188046803077,19472.846563073326,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,7612.206489680308
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1205.8065064691048,22373.148518637863,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,7740.194191469103
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1356.9422967713026,25309.113823383097,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,7891.329981771301
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,947.4440276018798,16985.381365412137,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,6868.295165101879
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1070.0933291831018,19954.37495369954,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,6990.944466683102
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1222.0508979495062,23055.005108828525,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,7142.902035449506
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,973.9978673344463,17526.5985520008,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7048.345070834446
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1097.108514049638,20442.409335086402,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7171.4557175496375
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1243.345803833163,23395.034389350934,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7317.693007333162
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,845.2367068639853,11317.613790472351,833.7807930000001,34.39267655,4.221680447,40.8013688,0,1758.4332256609855
Mass,H1,Ideal,AK,Hhigh,Rb,NA,NA,2,NA,NA,150.15540578621693,1814.3390296115833,260.6117315,10.46295479,1.367578355,12.423650609999997,0,435.02132104121694
