house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,205.7065357196807,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,3030.516711509681
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,178.59787106935156,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,1796.6395143893515
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1064.518560065735,19472.846563073326,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,7598.906245065735
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1194.6299429952212,22373.148518637863,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,7729.017627995221
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1350.5768937879996,25309.113823383097,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,7884.964578787998
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,931.6171046571372,16985.381365412137,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,6852.468242157138
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1057.141492339201,19954.37495369954,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,6977.992629839202
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1214.99850840213,23055.005108828525,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,7135.84964590213
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,959.4807754746732,17526.5985520008,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7033.827978974674
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1084.665723592578,20442.409335086402,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7159.012927092577
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1236.5046878720614,23395.034389350934,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7310.851891372062
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,813.6466074914624,11317.613790472351,833.7807930000001,34.39267655,4.221680447,40.8013688,0,1726.8431262884626
Mass,H1,Ideal,AK,Hhigh,Rb,NA,NA,2,NA,NA,144.6582978233557,1814.3390296115833,260.6117315,10.46295479,1.367578355,12.423650609999997,0,429.52421307835573
Mass,H1,Ideal,AK,Hhigh,Rl,NA,NA,5,NA,NA,668.9883096681068,9503.274760860771,573.1690614,23.92972175,2.854102092,28.37771819,0,1297.3189131001068
Mass,H1,Ideal,AK,Hlow,HP,NA,NA,NA,6.5,NA,302.7752137883489,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,3127.5853895783493
Mass,H1,Ideal,AK,Hlow,HPl,NA,NA,NA,4.5,NA,261.9603505800689,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,1880.001993900069
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1410.1431604645957,19472.846563073326,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,7944.530845464595
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1560.7386940159977,22373.148518637863,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,8095.126379015997
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,1735.733440897261,25309.113823383097,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,8270.12112589726
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1260.6168340058944,16985.381365412137,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,7181.467971505894
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1411.306546765619,19954.37495369954,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,7332.1576842656195
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1597.3168760580654,23055.005108828525,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,7518.168013558066
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,5,500,1276.708420670273,17526.5985520008,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7351.0556241702725
