house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,222.25032822259885,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,3047.0605040125993
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,193.2037197195407,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,1811.2453630395407
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1150.458729598163,19472.846563073326,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,7519.690324598161
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1292.955170595546,22373.148518637863,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,7662.186765595545
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1459.9244646548525,25309.113823383097,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,7829.156059654852
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1009.2689466170642,16985.381365412137,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,6744.918540117065
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1147.0837346036246,19954.37495369954,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,6882.733328103624
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1317.9591778823558,23055.005108828525,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,7053.608771382356
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,1037.8366258587366,17526.5985520008,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,6937.768649358735
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1175.6153561160793,20442.409335086402,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,7075.547379616079
