house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,205.86303458815627,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,3030.6732103781565
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,178.7291422972126,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,1796.7707856172128
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1065.2315285548398,19472.846563073326,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,7434.463123554839
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1195.3681009480656,22373.148518637863,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,7564.5996959480635
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1351.4918234519857,25309.113823383097,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,7720.723418451984
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,932.3573114823864,16985.381365412137,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,6668.006904982387
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1057.7847682920647,19954.37495369954,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,6793.434361792066
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1215.9148415929988,23055.005108828525,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,6951.564435093
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,960.2018516960463,17526.5985520008,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,6860.133875196047
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1085.3522733785994,20442.409335086402,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,6985.284296878599
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1237.4103898538017,23395.034389350934,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,7137.342413353801
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,814.2859576852668,11317.613790472351,762.7565478000001,34.39267655,4.221680447,40.8013688,0,1656.458231282267
Mass,H1,Ideal,AK,Hhigh,Rb,NA,NA,2,NA,NA,144.79463741324736,1814.3390296115833,239.0053865,10.46295479,1.367578355,12.423650609999997,0,408.05420766824733
Mass,H1,Ideal,AK,Hhigh,Rl,NA,NA,5,NA,NA,669.4913202720195,9503.274760860771,523.7511613,23.92972175,2.854102092,28.37771819,0,1248.4040236040196
Mass,H1,Ideal,AK,Hlow,HP,NA,NA,NA,6.5,NA,320.44211975357985,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,3145.2522955435797
Mass,H1,Ideal,AK,Hlow,HPl,NA,NA,NA,4.5,NA,277.9418559077308,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,1895.983499227731
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1490.2379636758565,19472.846563073326,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,7859.469558675855
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1640.5686381925934,22373.148518637863,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,8009.800233192593
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,1825.3951804469257,25309.113823383097,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,8194.626775446925
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1337.2020431266326,16985.381365412137,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,7072.851636626632
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1484.546196835358,19954.37495369954,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,7220.195790335358
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1680.853766448734,23055.005108828525,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,7416.503359948734
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,5,500,1352.1282578858875,17526.5985520008,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,7252.060281385888
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,NA,5,500,1496.4734140953829,20442.409335086402,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,7396.405437595382
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,5,NA,5,500,1679.2122032564935,23395.034389350934,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,7579.144226756493
Mass,H1,Ideal,AK,Hlow,R,NA,NA,7,NA,NA,1267.9738449744586,11317.613790472351,762.7565478000001,34.39267655,4.221680447,40.8013688,0,2110.146118571459
Mass,H1,Ideal,AK,Hlow,Rb,NA,NA,2,NA,NA,226.66988055869064,1814.3390296115833,239.0053865,10.46295479,1.367578355,12.423650609999997,0,489.9294508136906
Mass,H1,Ideal,AK,Hlow,Rl,NA,NA,5,NA,NA,1041.3039644157677,9503.274760860771,523.7511613,23.92972175,2.854102092,28.37771819,0,1620.2166677477676
Mass,H1,Ideal,CH,Hhigh,HP,NA,NA,NA,8,NA,904.1597632927204,12271.199480267622,1248.729155,28.28269202,81.11150315,246.4902634,1275.71918,3784.4925568627204
Mass,H1,Ideal,CH,Hhigh,HPl,NA,NA,NA,5,NA,564.7997506099047,7962.039772749726,826.9997436999998,17.52592378,49.36444432999999,152.484381,627.1897679,2238.3640113199044
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2139.5634280871086,33961.96797018283,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,8867.55635678711
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2291.7552650598823,37111.047744209965,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9019.748193759882
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2463.4498810350706,40262.973409347505,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9191.442809735072
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,1834.59741453697,28570.852770529444,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,8170.131694036969
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,1962.3765734811218,31386.12611125514,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,8297.910852981122
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2116.5485788101773,34333.47443431575,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,8452.082858310177
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,6,500,1895.2093704189442,30418.85844581611,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,8234.277178118944
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2036.171260696867,33520.43368169569,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,8375.239068396868
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2203.6208942595404,36736.55883260742,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,8542.68870195954
Mass,H1,Ideal,CH,Hhigh,R,NA,NA,8.5,NA,NA,2902.598254882654,40291.66486860519,831.3671301,38.89839479,4.400098522,46.09699423,0,3823.360872524654
Mass,H1,Ideal,CH,Hhigh,Rb,NA,NA,3.5,NA,NA,1086.5247800463724,14038.187304758125,307.6159688,14.96867304,1.545996429,17.71927605,0,1428.3746943653725
Mass,H1,Ideal,CH,Hhigh,Rl,NA,NA,5,NA,NA,1816.0734748362815,26253.477563847075,523.7511613,23.92972175,2.854102092,28.37771819,0,2394.9861781682816
Mass,H1,Ideal,CH,Hlow,HP,NA,NA,NA,8,NA,1341.7187996070672,12271.199480267622,1248.729155,28.28269202,81.11150315,246.4902634,1275.71918,4222.051593177067
Mass,H1,Ideal,CH,Hlow,HPl,NA,NA,NA,5,NA,823.1469795300841,7962.039772749726,826.9997436999998,17.52592378,49.36444432999999,152.484381,627.1897679,2496.711240240084
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,3039.1509733189455,33961.96797018283,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9767.143902018946
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,3218.4031722654545,37111.047744209965,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9946.396100965456
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3417.9607180239104,40262.973409347505,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,10145.953646723912
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2654.497306919987,28570.852770529444,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,8990.031586419986
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2808.7767681525656,31386.12611125514,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,9144.311047652565
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,2994.8327254461283,34333.47443431575,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,9330.367004946127
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,2698.0096450533474,30418.85844581611,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,9037.077452753347
