house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,220.28325230645473,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,3045.0934280964548
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,191.5011722166854,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,1809.5428155366853
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1142.8898293184554,19472.846563073326,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,7512.121424318455
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1286.006781498741,22373.148518637863,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,7655.238376498739
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1453.414753239574,25309.113823383097,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,7822.646348239572
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1002.49619373095,16985.381365412137,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,6738.145787230951
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1141.8380352128777,19954.37495369954,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,6877.487628712877
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1312.768985292222,23055.005108828525,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,7048.4185787922215
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,1031.3267637866436,17526.5985520008,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,6931.2587872866425
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1170.2701190145885,20442.409335086402,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,7070.202142514589
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1333.825898828894,23395.034389350934,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,7233.757922328894
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,871.722210361804,11317.613790472351,762.7565478000001,34.39267655,4.221680447,40.8013688,0,1713.8944839588041
