house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,225.22277365979406,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,3050.032949449794
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,195.9781133178998,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,1814.0197566378997
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1149.990526329049,19472.846563073326,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,7684.378211329049
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1289.6286292734285,22373.148518637863,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,7824.016314273427
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1451.1607582282322,25309.113823383097,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,7985.548443228232
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1010.2665985728611,16985.381365412137,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,6931.117736072862
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1145.3000984602065,19954.37495369954,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,7066.1512359602075
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1309.920583960789,23055.005108828525,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,7230.771721460789
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,1038.8617174878636,17526.5985520008,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7113.208920987863
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1173.766857170133,20442.409335086402,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7248.114060670134
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1331.240587283138,23395.034389350934,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7405.587790783138
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,890.9089962144009,11317.613790472351,833.7807930000001,34.39267655,4.221680447,40.8013688,0,1804.1055150114012
Mass,H1,Ideal,AK,Hhigh,Rb,NA,NA,2,NA,NA,156.5616102914182,1814.3390296115833,260.6117315,10.46295479,1.367578355,12.423650609999997,0,441.4275255464182
Mass,H1,Ideal,AK,Hhigh,Rl,NA,NA,5,NA,NA,734.3473859229825,9503.274760860771,573.1690614,23.92972175,2.854102092,28.37771819,0,1362.6779893549824
Mass,H1,Ideal,AK,Hlow,HP,NA,NA,NA,6.5,NA,298.67556746334446,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,3123.4857432533445
Mass,H1,Ideal,AK,Hlow,HPl,NA,NA,NA,4.5,NA,259.1863230134975,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,1877.2279663334975
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1418.903392822448,19472.846563073326,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,7953.291077822447
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1575.4070786269242,22373.148518637863,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,8109.794763626924
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,1756.851239125423,25309.113823383097,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,8291.238924125422
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1269.7141542491308,16985.381365412137,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,7190.565291749132
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1426.465652482879,19954.37495369954,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,7347.316789982879
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1617.1042136863912,23055.005108828525,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,7537.9553511863905
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,5,500,1286.6155966279755,17526.5985520008,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7360.962800127976
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,NA,5,500,1439.8454249780264,20442.409335086402,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7514.192628478026
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,5,NA,5,500,1617.2948479546053,23395.034389350934,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7691.642051454604
Mass,H1,Ideal,AK,Hlow,R,NA,NA,7,NA,NA,1179.9782644285588,11317.613790472351,833.7807930000001,34.39267655,4.221680447,40.8013688,0,2093.1747832255587
Mass,H1,Ideal,AK,Hlow,Rb,NA,NA,2,NA,NA,209.86542996786343,1814.3390296115833,260.6117315,10.46295479,1.367578355,12.423650609999997,0,494.7313452228634
Mass,H1,Ideal,AK,Hlow,Rl,NA,NA,5,NA,NA,970.1128344606956,9503.274760860771,573.1690614,23.92972175,2.854102092,28.37771819,0,1598.4434378926956
Mass,H1,Ideal,CH,Hhigh,HP,NA,NA,NA,8,NA,968.2014031584596,12271.199480267622,1248.729155,28.28269202,81.11150315,246.4902634,1275.71918,3848.5341967284594
Mass,H1,Ideal,CH,Hhigh,HPl,NA,NA,NA,5,NA,603.831060059908,7962.039772749726,826.9997436999998,17.52592378,49.36444432999999,152.484381,627.1897679,2277.395320769908
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2299.840519657994,33961.96797018283,3861.745522,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9212.245778357996
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2463.581054675191,37111.047744209965,3861.745522,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9375.986313375191
