house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,220.03316444755166,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,3044.8433402375517
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,191.27803930551966,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,1809.3196826255198
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1141.3325055109474,19472.846563073326,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,7675.720190510947
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1284.590509741197,22373.148518637863,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,7818.978194741196
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1451.3060835371398,25309.113823383097,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,7985.6937685371395
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1001.2674990220204,16985.381365412137,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,6922.11863652202
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1140.9773894719353,19954.37495369954,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,7061.828526971936
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1311.1813904008495,23055.005108828525,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,7232.03252790085
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,1029.9403558650286,17526.5985520008,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7104.287559365028
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1169.1764572522964,20442.409335086402,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7243.523660752297
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1331.9792575331805,23395.034389350934,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7406.326461033181
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,870.6850445284463,11317.613790472351,833.7807930000001,34.39267655,4.221680447,40.8013688,0,1783.8815633254465
Mass,H1,Ideal,AK,Hhigh,Rb,NA,NA,2,NA,NA,153.7809359333228,1814.3390296115833,260.6117315,10.46295479,1.367578355,12.423650609999997,0,438.6468511883228
Mass,H1,Ideal,AK,Hhigh,Rl,NA,NA,5,NA,NA,716.9041085951236,9503.274760860771,573.1690614,23.92972175,2.854102092,28.37771819,0,1345.2347120271236
Mass,H1,Ideal,AK,Hlow,HP,NA,NA,NA,6.5,NA,317.54665301102773,2855.0548309277096,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,3142.356828801028
Mass,H1,Ideal,AK,Hlow,HPl,NA,NA,NA,4.5,NA,275.0635179635108,2529.423166391112,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,1893.1051612835108
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1489.8984128945308,19472.846563073326,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,8024.28609789453
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1649.8343592733452,22373.148518637863,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,8184.222044273345
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,1835.886095084835,25309.113823383097,3694.529233,120.3758619,110.2336872,694.3871549,1914.8617479999998,8370.273780084834
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1334.641860289166,16985.381365412137,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,7255.492997789166
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1494.07098569297,19954.37495369954,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,7414.92212319297
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1690.8282546614516,23055.005108828525,3213.348484,111.70017279999999,108.6154548,484.7662779,2002.420748,7611.679392161452
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,5,500,1350.2694831610333,17526.5985520008,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7424.616686661033
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,NA,5,500,1506.594642958339,20442.409335086402,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7580.94184645834
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,5,NA,5,500,1689.2067713279173,23395.034389350934,3380.197414,113.0762903,110.2336872,555.978064,1914.8617479999998,7763.553974827917
Mass,H1,Ideal,AK,Hlow,R,NA,NA,7,NA,NA,1254.5047178841257,11317.613790472351,833.7807930000001,34.39267655,4.221680447,40.8013688,0,2167.701236681126
Mass,H1,Ideal,AK,Hlow,Rb,NA,NA,2,NA,NA,225.1336137335853,1814.3390296115833,260.6117315,10.46295479,1.367578355,12.423650609999997,0,509.9995289885853
Mass,H1,Ideal,AK,Hlow,Rl,NA,NA,5,NA,NA,1029.3711041505403,9503.274760860771,573.1690614,23.92972175,2.854102092,28.37771819,0,1657.7017075825402
Mass,H1,Ideal,CH,Hhigh,HP,NA,NA,NA,8,NA,964.9724347445507,12271.199480267622,1248.729155,28.28269202,81.11150315,246.4902634,1275.71918,3845.3052283145507
Mass,H1,Ideal,CH,Hhigh,HPl,NA,NA,NA,5,NA,602.5303885295871,7962.039772749726,826.9997436999998,17.52592378,49.36444432999999,152.484381,627.1897679,2276.094649239587
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2290.175049429858,33961.96797018283,3861.745522,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9202.580308129858
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2457.1578542368075,37111.047744209965,3861.745522,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9369.563112936808
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2639.8072635705566,40262.973409347505,3861.745522,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9552.212522270558
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,1964.5139617192865,28570.852770529444,3499.338303,120.05053259999998,118.0814058,553.0027961,2249.519027,8504.506026219286
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2106.5267544157446,31386.12611125514,3499.338303,120.05053259999998,118.0814058,553.0027961,2249.519027,8646.518818915743
