house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Manufacture_HP,Hyd_Manufacture_Tank,Hyd_Manufacture_FC,Manufacture,Distribution,Installation,EOL,Other,EOL_S,Other_S,kgCO2_oper_year,kgCO2_manuf_year,kgCO2_dist_year,kgCO2_inst_year,kgCO2_eol_year,kgCO2_other_year,kgCO2_EOL_S_year,kgCO2_Other_S_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,2025,878,2025,135.9549919,538.93399,3.964061799,NA,0.081109541,10.98955915,0.080832333,NA,NA,NA,NA,C0,NA,NA,NA,NA,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,85.71820781,668.953208,10.98955915,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,4.081819419523809,31.854914666666666,135.9549919,0.081109541
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,2025,686,2025,120.4487222,452.5368934,3.757091691,NA,0.075788727,9.564979412,0.079411215,NA,NA,NA,NA,C0,NA,NA,NA,NA,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,65.82997252,274.8943844,9.564979412,37.800866980952385,0.7948429580952381,2.1221404857142856,7.015338619047619,29.31641301904762,3.134760596190476,13.09020878095238,120.4487222,0.075788727
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2025,5859,2025,948.8357674,3069.426833,3.310145915,861.6763056,0.342542197,64.80468184,0.068299156,0,0,0,0,C0,5,1406.833235,639.5454545,1312.302674,3358.681364,122.6757267,82.34313369,651.5794652,1922.834118,543.4046501,1556.261912,64.80468184,159.9372078095238,5.841701271428572,3.9211016042857145,31.027593580952377,91.56352942857143,25.87641190952381,74.10771009523809,948.8357674,0.342542197
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2025,5875,2025,1086.945384,3539.510667,3.322273749,852.3934213,0.364546486,73.20079803,0.067345424,0,0,0,0,C0,5,1406.833235,639.5454545,1312.302674,3358.681364,122.6757267,82.34313369,651.5794652,1922.834118,543.4046501,1556.261912,73.20079803,159.9372078095238,5.841701271428572,3.9211016042857145,31.027593580952377,91.56352942857143,25.87641190952381,74.10771009523809,1086.945384,0.364546486
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2025,5891,2025,1226.753256,4011.135156,3.328201803,845.8121611,0.412117376,82.44891802,0.067209048,0,0,0,0,C0,5,1406.833235,639.5454545,1312.302674,3358.681364,122.6757267,82.34313369,651.5794652,1922.834118,543.4046501,1556.261912,82.44891802,159.9372078095238,5.841701271428572,3.9211016042857145,31.027593580952377,91.56352942857143,25.87641190952381,74.10771009523809,1226.753256,0.412117376
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2025,5763,2025,838.32767,2560.2,3.134540969,346.5894433,0.314774422,57.47769045,0.068562321,8.239260984,1,-248.5284746,60,C0,9,1701.786882,0,1312.302674,3014.089556,114.0000377,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,57.47769045,143.52807409523808,5.428573223809524,5.876823528571428,21.045647057142858,98.13905880952382,13.8998919,73.95115257142858,838.32767,0.314774422
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2025,5779,2025,980.361416,3038.75,3.169312833,345.7151234,0.289121497,65.64176981,0.066956705,79.37210867,6,-160.0313387,54,C0,9,1701.786882,0,1312.302674,3014.089556,114.0000377,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,65.64176981,143.52807409523808,5.428573223809524,5.876823528571428,21.045647057142858,98.13905880952382,13.8998919,73.95115257142858,980.361416,0.289121497
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2025,5795,2025,1128.397663,3517.441667,3.177912529,344.9700602,0.406085421,75.0996519,0.066554243,142.8093685,6,-189.7438122,68,C0,9,1701.786882,0,1312.302674,3014.089556,114.0000377,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,75.0996519,143.52807409523808,5.428573223809524,5.876823528571428,21.045647057142858,98.13905880952382,13.8998919,73.95115257142858,1128.397663,0.406085421
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,2025,5811,2025,856.1572906,2765.215656,3.313222962,554.375552,0.316619626,58.75784107,0.068629727,0,0,0,0,C0,5,1406.833235,325.2136364,1312.302674,3044.349545,115.3761552,82.34313369,513.1703743,1922.834118,404.9955592,1556.261912,58.75784107,144.96902595238095,5.4941026285714285,3.9211016042857145,24.436684490476193,91.56352942857143,19.28550281904762,74.10771009523809,856.1572906,0.316619626
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,2025,5827,2025,995.0054232,3239.093111,3.327443171,548.8548898,0.329118596,66.90306596,0.067238896,0,0,0,0,C0,5,1406.833235,325.2136364,1312.302674,3044.349545,115.3761552,82.34313369,513.1703743,1922.834118,404.9955592,1556.261912,66.90306596,144.96902595238095,5.4941026285714285,3.9211016042857145,24.436684490476193,91.56352942857143,19.28550281904762,74.10771009523809,995.0054232,0.329118596
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,2025,5843,2025,1135.606616,3714.364622,3.334111665,545.5916777,0.379981414,75.98359516,0.066910138,0,0,0,0,C0,5,1406.833235,325.2136364,1312.302674,3044.349545,115.3761552,82.34313369,513.1703743,1922.834118,404.9955592,1556.261912,75.98359516,144.96902595238095,5.4941026285714285,3.9211016042857145,24.436684490476193,91.56352942857143,19.28550281904762,74.10771009523809,1135.606616,0.379981414
