house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Manufacture_HP,Hyd_Manufacture_Tank,Hyd_Manufacture_FC,Hyd_Manufacture_MJ_HP,Hyd_Manufacture_MJ_Tank,Hyd_Manufacture_MJ_FC,Manufacture,Distribution,Installation,EOL,Other,EOL_S,Other_S,Manufacture_MJ,Distribution_MJ,Installation_MJ,EOL_MJ,Other_MJ,kgCO2_oper_year,kgCO2_manuf_year,kgCO2_dist_year,kgCO2_inst_year,kgCO2_eol_year,kgCO2_other_year,kgCO2_EOL_S_year,kgCO2_Other_S_year,MJ_manuf_year,MJ_dist_year,MJ_inst_year,MJ_eol_year,MJ_other_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2025,2403,2025,948.6501337,3069.244422,3.310611956,861.4761897,0.013197407,64.5976686,0.068094302,0,0,0,0,Cpeak,5,1711.29,639.5454545,1343.693778,48340.6478,20573.31818,40153.64105,3694.529233,120.3758619,110.2336872,694.3871549,1914.861748,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113,64.5976686,175.9299634761905,5.7321839,5.2492232,33.0660549952381,91.18389276190476,27.914873319047622,74.51145252380952,5193.695571428571,123.91811033333335,9.26152318095238,1204.5827957142858,2729.617196666667,948.6501337,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2025,2419,2025,1086.654408,3539.2608,3.322946774,852.1939799,0.013197407,72.93857281,0.067122143,0,0,0,0,Cpeak,5,1711.29,639.5454545,1343.693778,48340.6478,20573.31818,40153.64105,3694.529233,120.3758619,110.2336872,694.3871549,1914.861748,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113,72.93857281,175.9299634761905,5.7321839,5.2492232,33.0660549952381,91.18389276190476,27.914873319047622,74.51145252380952,5193.695571428571,123.91811033333335,9.26152318095238,1204.5827957142858,2729.617196666667,1086.654408,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2025,2435,2025,1226.518682,4010.951244,3.328697087,845.62848,0.013197407,82.22823481,0.067041975,0,0,0,0,Cpeak,5,1711.29,639.5454545,1343.693778,48340.6478,20573.31818,40153.64105,3694.529233,120.3758619,110.2336872,694.3871549,1914.861748,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113,82.22823481,175.9299634761905,5.7321839,5.2492232,33.0660549952381,91.18389276190476,27.914873319047622,74.51145252380952,5193.695571428571,123.91811033333335,9.26152318095238,1204.5827957142858,2729.617196666667,1226.518682,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2025,2307,2025,838.1220162,2560.058333,3.135156919,346.4230526,0.013197407,57.31418159,0.068384054,11.41574452,1,-1842.359214,334,Cpeak,9,1869.654706,0,1343.693778,49760.0022,0,40153.64105,3213.348484,111.7001728,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52013,57.31418159,153.01659447619048,5.3190558476190475,5.172164514285714,23.08410847142857,95.35336895238095,15.93835330952381,73.78825128571428,4281.602059047619,112.65038995238096,8.457191766666668,221.946432,2733.7866728571425,838.1220162,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2025,2323,2025,980.1715675,3038.608333,3.169792716,345.5698189,0.013197407,65.4759961,0.066800546,79.31229948,6,-1844.463768,287,Cpeak,9,1869.654706,0,1343.693778,49760.0022,0,40153.64105,3213.348484,111.7001728,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52013,65.4759961,153.01659447619048,5.3190558476190475,5.172164514285714,23.08410847142857,95.35336895238095,15.93835330952381,73.78825128571428,4281.602059047619,112.65038995238096,8.457191766666668,221.946432,2733.7866728571425,980.1715675,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2025,2339,2025,1127.596531,3515.458333,3.178421184,344.7750902,0.013197407,74.83988086,0.066371152,1604.215644,16,-2224.696692,316,Cpeak,9,1869.654706,0,1343.693778,49760.0022,0,40153.64105,3213.348484,111.7001728,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52013,74.83988086,153.01659447619048,5.3190558476190475,5.172164514285714,23.08410847142857,95.35336895238095,15.93835330952381,73.78825128571428,4281.602059047619,112.65038995238096,8.457191766666668,221.946432,2733.7866728571425,1127.596531,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,2025,2355,2025,855.9948479,2765.014644,3.313627064,554.1665909,0.013197407,58.56161655,0.068413515,0,0,-80.91344065,102,Cpeak,5,1711.29,325.2136364,1343.693778,48340.6478,10613.59091,40153.64105,3380.197414,113.0762903,110.2336872,555.978064,1914.861748,447.8032488,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113,58.56161655,160.96178161904763,5.384585252380952,5.2492232,26.475145904761906,91.18389276190476,21.32396422857143,74.51145252380952,4719.422845238095,115.3188090952381,8.988795904761904,721.9009776190476,2729.617196666667,855.9948479,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,2025,2371,2025,994.802354,3238.832356,3.327869523,548.6501756,0.013197407,66.68318687,0.067031593,0,0,-264.6854489,164,Cpeak,5,1711.29,325.2136364,1343.693778,48340.6478,10613.59091,40153.64105,3380.197414,113.0762903,110.2336872,555.978064,1914.861748,447.8032488,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113,66.68318687,160.96178161904763,5.384585252380952,5.2492232,26.475145904761906,91.18389276190476,21.32396422857143,74.51145252380952,4719.422845238095,115.3188090952381,8.988795904761904,721.9009776190476,2729.617196666667,994.802354,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,2025,2387,2025,1135.403051,3714.100544,3.334483917,545.3829219,0.013197407,75.78993336,0.066751567,57.29049608,5,-271.95755810000003,151,Cpeak,5,1711.29,325.2136364,1343.693778,48340.6478,10613.59091,40153.64105,3380.197414,113.0762903,110.2336872,555.978064,1914.861748,447.8032488,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113,75.78993336,160.96178161904763,5.384585252380952,5.2492232,26.475145904761906,91.18389276190476,21.32396422857143,74.51145252380952,4719.422845238095,115.3188090952381,8.988795904761904,721.9009776190476,2729.617196666667,1135.403051,0.013197407
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,2025,2547,2025,948.6501337,3069.244422,3.310611956,861.4761897,0.013197407,96.40450452,0.101622823,0,0,0,0,Cpeak,5,1711.29,639.5454545,1343.693778,48340.6478,20573.31818,40153.64105,3694.529233,120.3758619,110.2336872,694.3871549,1914.861748,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113,96.40450452,175.9299634761905,5.7321839,5.2492232,33.0660549952381,91.18389276190476,27.914873319047622,74.51145252380952,5193.695571428571,123.91811033333335,9.26152318095238,1204.5827957142858,2729.617196666667,948.6501337,0.013197407
