house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Manufacture_HP,Hyd_Manufacture_Tank,Hyd_Manufacture_FC,Manufacture,Distribution,Installation,EOL,Other,kgCO2_oper_year,kgCO2_manuf_year,kgCO2_dist_year,kgCO2_inst_year,kgCO2_eol_year,kgCO2_other_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2025,4131,2025,964.1757511,3181.6666,3.375349589,969.8331058,0.098450025,49.05716425,0.050879898,0,0,0,0,Crenew,5,1406.833235,1160.727273,1036.875,3604.435508,0,63.87267914,915.7499198,1649.834118,49.05716425,171.6397860952381,0,3.0415561495238097,43.60713903809524,78.56352942857143,964.1757511,0.098450025
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2025,4147,2025,1101.773863,3648.3388,3.377414424,957.7041191,0.08012721,55.86407572,0.050703758,0,0,0,0,Crenew,5,1406.833235,1160.727273,1036.875,3604.435508,0,63.87267914,915.7499198,1649.834118,55.86407572,171.6397860952381,0,3.0415561495238097,43.60713903809524,78.56352942857143,1101.773863,0.08012721
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2025,4163,2025,1239.984383,4114.597733,3.376975111,947.6401146,0.159039282,64.62440473,0.052117112,0,0,0,0,Crenew,5,1406.833235,1160.727273,1036.875,3604.435508,0,63.87267914,915.7499198,1649.834118,64.62440473,171.6397860952381,0,3.0415561495238097,43.60713903809524,78.56352942857143,1239.984383,0.159039282
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2025,4035,2025,839.4141056,2575.641667,3.149257715,362.2052903,0.247235306,54.64341316,0.065097087,6.392428998,1,-272.3170535,62,Crenew,9,1701.786882,0,1036.875,2738.661882,0,103.9882941,476.0835882,1787.920235,54.64341316,130.41247057142857,0,4.9518235285714285,22.670647057142858,85.13905880952382,839.4141056,0.247235306
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2025,4051,2025,981.9479118,3053.908333,3.179860866,361.1487983,0.25656495,63.04214128,0.064201105,129.9232444,5,-169.6681595,50,Crenew,9,1701.786882,0,1036.875,2738.661882,0,103.9882941,476.0835882,1787.920235,63.04214128,130.41247057142857,0,4.9518235285714285,22.670647057142858,85.13905880952382,981.9479118,0.25656495
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2025,4067,2025,1130.845491,3533.025,3.184947986,360.4023969,0.370043983,72.86867002,0.064437335,15.10179332,2,-121.1517185,48,Crenew,9,1701.786882,0,1036.875,2738.661882,0,103.9882941,476.0835882,1787.920235,72.86867002,130.41247057142857,0,4.9518235285714285,22.670647057142858,85.13905880952382,1130.845491,0.370043983
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,2025,4083,2025,865.504126,2825.811389,3.348328948,613.5800662,0.210912782,48.33314689,0.055843924,0,0,0,0,Crenew,5,1406.833235,505.9090909,1036.875,2949.617326,0,62.91813369,630.3408289,1649.834118,48.33314689,140.45796790476192,0,2.9961016042857143,30.01622994761905,78.56352942857143,865.504126,0.210912782
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,2025,4099,2025,1004.525695,3296.302722,3.353416995,605.2862202,0.202168316,55.93146102,0.055679473,0,0,0,0,Crenew,5,1406.833235,505.9090909,1036.875,2949.617326,0,62.91813369,630.3408289,1649.834118,55.93146102,140.45796790476192,0,2.9961016042857143,30.01622994761905,78.56352942857143,1004.525695,0.202168316
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,2025,4115,2025,1144.229946,3767.746967,3.356051456,599.6645413,0.248767002,64.97968568,0.05678901,0,0,0,0,Crenew,5,1406.833235,505.9090909,1036.875,2949.617326,0,62.91813369,630.3408289,1649.834118,64.97968568,140.45796790476192,0,2.9961016042857143,30.01622994761905,78.56352942857143,1144.229946,0.248767002
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,2025,4275,2025,964.1757511,3181.6666,3.375349589,969.8331058,0.098450025,77.31034322,0.080182833,0,0,0,0,Crenew,5,1406.833235,1160.727273,1036.875,3604.435508,0,63.87267914,915.7499198,1649.834118,77.31034322,171.6397860952381,0,3.0415561495238097,43.60713903809524,78.56352942857143,964.1757511,0.098450025
