house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,Grid_year,P_annual (kWh),Q_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,sCOP_annual,Q_standing_losses_annual (kWh),unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Manufacture_HP,Hyd_Manufacture_Tank,Hyd_Manufacture_FC,Manufacture,Distribution,Installation,EOL,Other,kgCO2_oper_year,kgCO2_manuf_year,kgCO2_dist_year,kgCO2_inst_year,kgCO2_eol_year,kgCO2_other_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,2025,2025,135.95499194893856,538.9339900224929,0.08390374927498952,11.956766763034624,0.08794650782315738,3.964061799399787,NA,NA,NA,NA,NA,C0,NA,NA,NA,NA,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,11.956766763034624,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,135.95499194893856,0.08390374927498952
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,2025,2025,120.44872220910057,452.53689337432246,0.07839931589785566,10.376210467334122,0.0861462892841726,3.7570916907587657,NA,NA,NA,NA,NA,C0,NA,NA,NA,NA,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,10.376210467334122,37.800866980952385,0.7948429580952381,2.1221404857142856,7.015338619047619,29.31641301904762,120.44872220910057,0.07839931589785566
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2025,2025,927.2784077653964,3069.426833331161,0.338912518763427,64.48654212685202,0.06954388410947153,3.3101459147830528,861.6763056383284,0,0,0,0,C0,5,1711.29,659.5909091,1158.492234,3529.373143,120.3758619,110.2336872,694.3871549,1914.861748,64.48654212685202,168.06538776190476,5.7321839,5.2492232,33.0660549952381,91.18389276190476,927.2784077653964,0.338912518763427
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2025,2025,1065.3880246970411,3539.51066666424,0.3616755757373908,73.61049238645447,0.06909265983854727,3.3222737487318317,852.3934212838758,0,0,0,0,C0,5,1711.29,659.5909091,1158.492234,3529.373143,120.3758619,110.2336872,694.3871549,1914.861748,73.61049238645447,168.06538776190476,5.7321839,5.2492232,33.0660549952381,91.18389276190476,1065.3880246970411,0.3616755757373908
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2025,2025,1205.195896351576,4011.1351555516258,0.40999234738800217,83.07441426428962,0.06893021666915418,3.3282018032871807,845.8121611033579,0,0,0,0,C0,5,1711.29,659.5909091,1158.492234,3529.373143,120.3758619,110.2336872,694.3871549,1914.861748,83.07441426428962,168.06538776190476,5.7321839,5.2492232,33.0660549952381,91.18389276190476,1205.195896351576,0.40999234738800217
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2025,2025,808.8276840672446,2532.575,0.30197950109374255,56.27236005603863,0.06957274233378025,3.1311675526049942,320.22305682422194,627.4657308303191,129,-534.5544531223122,89,C0,9,1869.654706,0,1158.492234,3028.14694,111.7001728,108.6154548,484.7662779,2002.420748,56.27236005603863,144.19747333333333,5.3190558476190475,5.172164514285714,23.08410847142857,95.35336895238095,808.8276840672446,0.30197950109374255
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2025,2025,950.2083311285494,3008.858333333333,0.288924232563189,65.5041966387893,0.06893666840511792,3.1665248922410028,318.01778936877133,1234.5362306686873,182,-458.6164410294224,97,C0,9,1869.654706,0,1158.492234,3028.14694,111.7001728,108.6154548,484.7662779,2002.420748,65.5041966387893,144.19747333333333,5.3190558476190475,5.172164514285714,23.08410847142857,95.35336895238095,950.2083311285494,0.288924232563189
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2025,2025,1097.8573861346918,3486.4166666666665,0.4016681443820665,75.14759368502713,0.06844932195574588,3.1756553362013196,316.83333573398926,1877.035863945541,264,-597.7100087609194,121,C0,9,1869.654706,0,1158.492234,3028.14694,111.7001728,108.6154548,484.7662779,2002.420748,75.14759368502713,144.19747333333333,5.3190558476190475,5.172164514285714,23.08410847142857,95.35336895238095,1097.8573861346918,0.4016681443820665
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,2025,2025,834.5999310476572,2765.215655553599,0.3112015716077235,58.070483004407286,0.06957882554760403,3.3132229619076017,554.3755519846553,0,0,0,0,C0,5,1711.29,336,1158.492234,3205.782234,113.0762903,110.2336872,555.978064,1914.861748,58.070483004407286,152.65629685714285,5.384585252380952,5.2492232,26.475145904761906,91.18389276190476,834.5999310476572,0.3112015716077235
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,2025,2025,973.448063575543,3239.093111108693,0.3250260344506533,67.08112622994075,0.06891084254001911,3.327443170631289,548.8548898114417,0,0,0,0,C0,5,1711.29,336,1158.492234,3205.782234,113.0762903,110.2336872,555.978064,1914.861748,67.08112622994075,152.65629685714285,5.384585252380952,5.2492232,26.475145904761906,91.18389276190476,973.448063575543,0.3250260344506533
