house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,Grid_year,P_annual (kWh),Q_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,sCOP_annual,Q_standing_losses_annual (kWh),unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Manufacture_HP,Hyd_Manufacture_Tank,Hyd_Manufacture_FC,Hyd_Manufacture_MJ_HP,Hyd_Manufacture_MJ_Tank,Hyd_Manufacture_MJ_FC,Manufacture,Distribution,Installation,EOL,Other,EOL_S,Other_S,Manufacture_MJ,Distribution_MJ,Installation_MJ,EOL_MJ,Other_MJ,kgCO2_oper_year,kgCO2_manuf_year,kgCO2_dist_year,kgCO2_inst_year,kgCO2_eol_year,kgCO2_other_year,kgCO2_EOL_S_year,kgCO2_Other_S_year,MJ_manuf_year,MJ_dist_year,MJ_inst_year,MJ_eol_year,MJ_other_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,2025,2025,135.95499194893856,538.9339900224929,0.08390374927498952,11.90872107736377,0.08759311376985997,3.964061799399787,NA,NA,NA,NA,NA,C0,NA,NA,NA,NA,NA,NA,NA,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,85.71820781,480.3524114,32134.63109,581.3213807,1385.819188,6795.395899,7331.117876,11.90872107736377,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,4.081819419523809,22.873924352380953,1530.220528095238,27.681970509523808,65.9913899047619,323.5902809047619,349.10085123809523,135.95499194893856,0.08390374927498952
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,2025,2025,120.44872220910057,452.53689337432246,0.07839931589785566,10.370461890369532,0.08609856294171618,3.7570916907587657,NA,NA,NA,NA,NA,C0,NA,NA,NA,NA,NA,NA,NA,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,65.82997252,283.9406467,17752.10168,353.5076162,775.5838942,2636.160605,3421.411994,10.370461890369532,37.800866980952385,0.7948429580952381,2.1221404857142856,7.015338619047619,29.31641301904762,3.134760596190476,13.520983176190477,845.3381752380952,16.83369600952381,36.93256639047619,125.53145738095239,162.92438066666668,120.44872220910057,0.07839931589785566
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2025,2025,927.2784077653964,3069.426833331161,0.338912518763427,62.9163382927523,0.06785053740695995,3.3101459147830528,861.6763056383284,0,0,0,0,C0,5,1711.29,659.5909091,1158.492234,48340.6478,20573.31818,40153.64105,3529.373143,120.3758619,110.2336872,694.3871549,1914.861748,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113,62.9163382927523,168.06538776190476,5.7321839,5.2492232,33.0660549952381,91.18389276190476,27.914873319047622,74.51145252380952,5193.695571428571,123.91811033333335,9.26152318095238,1204.5827957142858,2729.617196666667,927.2784077653964,0.338912518763427
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2025,2025,1065.3880246970411,3539.51066666424,0.3616755757373908,71.31245448439903,0.0669356636561386,3.3222737487318317,852.3934212838758,0,0,0,0,C0,5,1711.29,659.5909091,1158.492234,48340.6478,20573.31818,40153.64105,3529.373143,120.3758619,110.2336872,694.3871549,1914.861748,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113,71.31245448439903,168.06538776190476,5.7321839,5.2492232,33.0660549952381,91.18389276190476,27.914873319047622,74.51145252380952,5193.695571428571,123.91811033333335,9.26152318095238,1204.5827957142858,2729.617196666667,1065.3880246970411,0.3616755757373908
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2025,2025,1205.195896351576,4011.1351555516258,0.40999234738800217,80.56057447180167,0.06684438166083898,3.3282018032871807,845.8121611033579,0,0,0,0,C0,5,1711.29,659.5909091,1158.492234,48340.6478,20573.31818,40153.64105,3529.373143,120.3758619,110.2336872,694.3871549,1914.861748,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113,80.56057447180167,168.06538776190476,5.7321839,5.2492232,33.0660549952381,91.18389276190476,27.914873319047622,74.51145252380952,5193.695571428571,123.91811033333335,9.26152318095238,1204.5827957142858,2729.617196666667,1205.195896351576,0.40999234738800217
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2025,2025,808.8276840672446,2532.575,0.30197950109374255,55.3048619477192,0.06837656899874517,3.1311675526049942,320.22305682422194,627.4657308303191,129,-534.5544531223122,89,C0,9,1869.654706,0,1158.492234,49760.0022,0,40153.64105,3028.14694,111.7001728,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52013,55.3048619477192,144.19747333333333,5.3190558476190475,5.172164514285714,23.08410847142857,95.35336895238095,15.93835330952381,73.78825128571428,4281.602059047619,112.65038995238096,8.457191766666668,221.946432,2733.7866728571425,808.8276840672446,0.30197950109374255
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2025,2025,950.2083311285494,3008.858333333333,0.288924232563189,63.433718513303205,0.06675769558657084,3.1665248922410028,318.01778936877133,1234.5362306686873,182,-458.6164410294224,97,C0,9,1869.654706,0,1158.492234,49760.0022,0,40153.64105,3028.14694,111.7001728,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52013,63.433718513303205,144.19747333333333,5.3190558476190475,5.172164514285714,23.08410847142857,95.35336895238095,15.93835330952381,73.78825128571428,4281.602059047619,112.65038995238096,8.457191766666668,221.946432,2733.7866728571425,950.2083311285494,0.288924232563189
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2025,2025,1097.8573861346918,3486.4166666666665,0.4016681443820665,72.88432143089189,0.06638778620190473,3.1756553362013196,316.83333573398926,1877.035863945541,264,-597.7100087609194,121,C0,9,1869.654706,0,1158.492234,49760.0022,0,40153.64105,3028.14694,111.7001728,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52013,72.88432143089189,144.19747333333333,5.3190558476190475,5.172164514285714,23.08410847142857,95.35336895238095,15.93835330952381,73.78825128571428,4281.602059047619,112.65038995238096,8.457191766666668,221.946432,2733.7866728571425,1097.8573861346918,0.4016681443820665
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,2025,2025,834.5999310476572,2765.215655553599,0.3112015716077235,56.86949751932553,0.06813983011949012,3.3132229619076017,554.3755519846553,0,0,0,0,C0,5,1711.29,336,1158.492234,48340.6478,10613.59091,40153.64105,3205.782234,113.0762903,110.2336872,555.978064,1914.861748,447.8032488,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113,56.86949751932553,152.65629685714285,5.384585252380952,5.2492232,26.475145904761906,91.18389276190476,21.32396422857143,74.51145252380952,4719.422845238095,115.3188090952381,8.988795904761904,721.9009776190476,2729.617196666667,834.5999310476572,0.3112015716077235
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,2025,2025,973.448063575543,3239.093111108693,0.3250260344506533,65.01472241712256,0.06678807514221038,3.327443170631289,548.8548898114417,0,0,0,0,C0,5,1711.29,336,1158.492234,48340.6478,10613.59091,40153.64105,3205.782234,113.0762903,110.2336872,555.978064,1914.861748,447.8032488,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113,65.01472241712256,152.65629685714285,5.384585252380952,5.2492232,26.475145904761906,91.18389276190476,21.32396422857143,74.51145252380952,4719.422845238095,115.3188090952381,8.988795904761904,721.9009776190476,2729.617196666667,973.448063575543,0.3250260344506533
