house_type,insulation,schedule,Loc_code,Grid_year,Hydro_resource,SH_code,HP_cap,R_cap,P_annual_kWh_SH,Q_annual_kWh_SH,kgCO2_SH,P_avg_peak_kW_SH,Embodied_SH,Occ_code,DW_code,Tank_Volume (L),P_annual_kWh_WH,Q_annual_kWh_WH,kgCO2_WH,P_avg_peak_kW_WH,Embodied_WH,scenario,P_annual_kWh_total,Q_annual_kWh_total,P_avg_peak_kW_total,kgCO2_total,Embodied,SH_DW_code
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,316.2185041,1.822317984,1510.588235,1,HP,135,246.0223329,1045.141136,19.6340218,0.057059516,470.5882353,Mod-Nom-Ideal-AK-1-R-HP-C0-2024-Hhigh,3636.5331169,4435.65192,1.8793775,335.85252590000005,1981.1764703,R HP
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,316.2185041,1.822317984,1510.588235,1,HPo,162,256.4695083,1089.176501,20.52199168,0.055650274,529.4117647,Mod-Nom-Ideal-AK-1-R-HPo-C0-2024-Hhigh,3646.9802923,4479.687285,1.877968258,336.74049578,2039.9999997,R HPo
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,316.2185041,1.822317984,1510.588235,2,HP,135,357.8345221,1521.407624,28.82816036,0.095308373,470.5882353,Mod-Nom-Ideal-AK-2-R-HP-C0-2024-Hhigh,3748.3453061,4911.9184079999995,1.9176263569999998,345.04666446,1981.1764703,R HP
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,316.2185041,1.822317984,1510.588235,2,HPo,162,368.0861675,1564.817059,29.66169752,0.097729838,529.4117647,Mod-Nom-Ideal-AK-2-R-HPo-C0-2024-Hhigh,3758.5969515,4955.327843,1.920047822,345.88020162000004,2039.9999997,R HPo
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,316.2185041,1.822317984,1510.588235,3,HP,180,487.7820824,2072.346479,39.76874019,0.120158304,588.2352941,Mod-Nom-Ideal-AK-3-R-HP-C0-2024-Hhigh,3878.2928664,5462.857263,1.942476288,355.98724429000004,2098.8235291,R HP
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,316.2185041,1.822317984,1510.588235,3,HPo,216,504.8928196,2144.518205,41.16973628,0.127447436,617.6470588,Mod-Nom-Ideal-AK-3-R-HPo-C0-2024-Hhigh,3895.4036036,5535.028989,1.9497654199999999,357.38824038,2128.2352938,R HPo
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,316.2185041,1.822317984,1510.588235,4,HP,300,658.1091449,2802.744823,54.85324742,0.143883432,764.7058824,Mod-Nom-Ideal-AK-4-R-HP-C0-2024-Hhigh,4048.6199289,6193.255607,1.9662014159999999,371.07175152,2275.2941174,R HP
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,316.2185041,1.822317984,1510.588235,4,HPo,360,689.007452,2932.842508,57.36667092,0.159907075,823.5294118,Mod-Nom-Ideal-AK-4-R-HPo-C0-2024-Hhigh,4079.518236,6323.353292,1.982225059,373.58517502,2334.1176468,R HPo
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,316.2185041,1.822317984,1510.588235,5,HP,300,770.6443053,3280.567041,64.52926499,0.176677134,764.7058824,Mod-Nom-Ideal-AK-5-R-HP-C0-2024-Hhigh,4161.1550893,6671.077825,1.9989951179999998,380.74776909,2275.2941174,R HP
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,316.2185041,1.822317984,1510.588235,5,HPo,360,801.3942874,3410.240662,67.02444223,0.184070403,823.5294118,Mod-Nom-Ideal-AK-5-R-HPo-C0-2024-Hhigh,4191.9050714,6800.751446,2.006388387,383.24294633,2334.1176468,R HPo
Mod,Nom,Ideal,AK,2024,Hlow,R,NA,12,3390.510784,3390.510784,584.7565592,1.822317984,1510.588235,1,HP,135,246.0223329,1045.141136,26.35931869,0.057059516,470.5882353,Mod-Nom-Ideal-AK-1-R-HP-C0-2024-Hlow,3636.5331169,4435.65192,1.8793775,611.11587789,1981.1764703,R HP
Mod,Nom,Ideal,AK,2024,Hlow,R,NA,12,3390.510784,3390.510784,584.7565592,1.822317984,1510.588235,1,HPo,162,256.4695083,1089.176501,27.52729278,0.055650274,529.4117647,Mod-Nom-Ideal-AK-1-R-HPo-C0-2024-Hlow,3646.9802923,4479.687285,1.877968258,612.28385198,2039.9999997,R HPo
Mod,Nom,Ideal,AK,2024,Hlow,R,NA,12,3390.510784,3390.510784,584.7565592,1.822317984,1510.588235,2,HP,135,357.8345221,1521.407624,38.58419105,0.095308373,470.5882353,Mod-Nom-Ideal-AK-2-R-HP-C0-2024-Hlow,3748.3453061,4911.9184079999995,1.9176263569999998,623.3407502499999,1981.1764703,R HP
Mod,Nom,Ideal,AK,2024,Hlow,R,NA,12,3390.510784,3390.510784,584.7565592,1.822317984,1510.588235,2,HPo,162,368.0861675,1564.817059,39.70960978,0.097729838,529.4117647,Mod-Nom-Ideal-AK-2-R-HPo-C0-2024-Hlow,3758.5969515,4955.327843,1.920047822,624.46616898,2039.9999997,R HPo
Mod,Nom,Ideal,AK,2024,Hlow,R,NA,12,3390.510784,3390.510784,584.7565592,1.822317984,1510.588235,3,HP,180,487.7820824,2072.346479,53.59883766,0.120158304,588.2352941,Mod-Nom-Ideal-AK-3-R-HP-C0-2024-Hlow,3878.2928664,5462.857263,1.942476288,638.3553968599999,2098.8235291,R HP
