house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,kgCO2_SH_life,kgCO2_WH_life,P_annual_kWh_life,kgCO2_op_life,Embodied_SH,Embodied_WH,Embodied,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HP HP,1,236.4855705,275.50127967000003,8403.501145600001,511.98685017,817.1470588,470.5882353,1287.7352941,1799.72214427
Mass,H1,Ideal,AK,Hhigh,HP HP,2,236.4855705,402.31740119,10863.369308000001,638.8029716899999,817.1470588,470.5882353,1287.7352941,1926.53826579
Mass,H1,Ideal,AK,Hhigh,HP HP,3,236.4855705,560.35433561,13722.215634600001,796.83990611,817.1470588,588.2352941,1405.3823529000001,2202.22225901
Mass,H1,Ideal,AK,Hhigh,HP HP,4,236.4855705,749.41246163,17469.4110096,985.89803213,817.1470588,764.7058824,1581.8529411999998,2567.75097333
Mass,H1,Ideal,AK,Hhigh,HP HP,5,236.4855705,890.20034959,19945.1845384,1126.68592009,817.1470588,764.7058824,1581.8529411999998,2708.5388612899997
Mass,H1,Ideal,AK,Hhigh,HP HPo,1,236.4855705,288.27253384,8633.3390044,524.7581043399999,817.1470588,529.4117647,1346.5588235,1871.31692784
Mass,H1,Ideal,AK,Hhigh,HP HPo,2,236.4855705,414.36954822999996,11088.9055068,650.85511873,817.1470588,529.4117647,1346.5588235,1997.41394223
Mass,H1,Ideal,AK,Hhigh,HP HPo,3,236.4855705,581.4309583,14098.651853000001,817.9165288,817.1470588,617.6470588,1434.7941176,2252.7106464
Mass,H1,Ideal,AK,Hhigh,HP HPo,4,236.4855705,787.13758053,18149.1737658,1023.62315103,817.1470588,823.5294118,1640.6764706,2664.29962163
Mass,H1,Ideal,AK,Hhigh,HP HPo,5,236.4855705,927.37165684,20621.6841446,1163.85722734,817.1470588,823.5294118,1640.6764706,2804.53369794
Mass,H1,Ideal,AK,Hhigh,HP R,1,236.4855705,1109.0985507999999,25206.6098218,1345.5841212999999,817.1470588,294.1176471,1111.2647059,2456.8488272
Mass,H1,Ideal,AK,Hhigh,HP R,2,236.4855705,1641.43353946,35689.609821800004,1877.91910996,817.1470588,294.1176471,1111.2647059,2989.1838158600003
Mass,H1,Ideal,AK,Hhigh,HP R,3,236.4855705,2296.2689032,47618.009821800006,2532.7544737,817.1470588,376.4705882,1193.617647,3726.3721207
Mass,H1,Ideal,AK,Hhigh,HP R,4,236.4855705,3059.0651384000003,63077.4098218,3295.5507089000002,817.1470588,588.2352941,1405.3823529000001,4700.9330618
Mass,H1,Ideal,AK,Hhigh,HP R,5,236.4855705,3654.8247219,73581.30982180001,3891.3102924,817.1470588,588.2352941,1405.3823529000001,5296.6926453
Mass,H1,Ideal,AK,Hhigh,HP Ro,1,236.4855705,1156.84317299,26075.6098218,1393.32874349,817.1470588,352.9411765,1170.0882353,2563.41697879
Mass,H1,Ideal,AK,Hhigh,HP Ro,2,236.4855705,1685.61986393,36543.2098218,1922.10543443,817.1470588,352.9411765,1170.0882353,3092.19366973
Mass,H1,Ideal,AK,Hhigh,HP Ro,3,236.4855705,2371.2111473,49034.8098218,2607.6967178,817.1470588,470.5882353,1287.7352941,3895.4320119
Mass,H1,Ideal,AK,Hhigh,HP Ro,4,236.4855705,3196.4449752,65629.4098218,3432.9305457,817.1470588,611.7647059,1428.9117646999998,4861.842310399999
Mass,H1,Ideal,AK,Hhigh,HP Ro,5,236.4855705,3791.0008338999996,76122.30982180001,4027.4864044,817.1470588,611.7647059,1428.9117646999998,5456.3981691
Mass,H1,Ideal,AK,Hhigh,HPl_Rb HP,1,370.760479338,275.50127967000003,9963.0993385,646.261759008,1209.4117647,470.5882353,1680,2326.261759008
Mass,H1,Ideal,AK,Hhigh,HPl_Rb HP,2,370.760479338,402.31740119,12422.967500900002,773.077880528,1209.4117647,470.5882353,1680,2453.077880528
Mass,H1,Ideal,AK,Hhigh,HPl_Rb HP,3,370.760479338,560.35433561,15281.813827499998,931.114814948,1209.4117647,588.2352941,1797.6470588000002,2728.761873748
Mass,H1,Ideal,AK,Hhigh,HPl_Rb HP,4,370.760479338,749.41246163,19029.0092025,1120.172940968,1209.4117647,764.7058824,1974.1176470999999,3094.290588068
