Hshld_code,Loc_code,SH_code,Grid_code,P_annual (kWh),Q_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,sCOP_annual,Occ_code,DW_code,Tank_Volume (L),Q_standing_losses_annual (kWh),unmet_demand_DW (L.K),unmet_demand_DW (min),HP_cap,unmet_demand_SH (L.K),unmet_demand_SH (min)
Mod-Nom-Ideal,AK,Rl,2024-Hhigh,2233.50847,2233.50847,1.418465439,194.4436649,0.087057501,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2024-Hlow,2233.50847,2233.50847,1.418465439,330.3086462,0.147887797,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2025-Hhigh,2233.50847,2233.50847,1.418465439,156.5150034,0.070075849,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2025-Hlow,2233.50847,2233.50847,1.418465439,275.9777876,0.123562454,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2030-Hhigh,2233.50847,2233.50847,1.418465439,152.9737586,0.068490342,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2030-Hlow,2233.50847,2233.50847,1.418465439,260.145285,0.11647383,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2035-Hhigh,2233.50847,2233.50847,1.418465439,162.0077419,0.072535092,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2035-Hlow,2233.50847,2233.50847,1.418465439,233.1434117,0.104384387,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2040-Hhigh,2233.50847,2233.50847,1.418465439,172.3803356,0.077179173,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2040-Hlow,2233.50847,2233.50847,1.418465439,239.7715451,0.107351975,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2045-Hhigh,2233.50847,2233.50847,1.418465439,197.99245,0.088646384,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2045-Hlow,2233.50847,2233.50847,1.418465439,263.3148239,0.117892915,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2024-Hhigh,1157.002315,1157.002315,0.403852545,96.92946197,0.083776377,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2024-Hlow,1157.002315,1157.002315,0.403852545,188.3711169,0.162809628,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2025-Hhigh,1157.002315,1157.002315,0.403852545,77.68838533,0.067146266,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2025-Hlow,1157.002315,1157.002315,0.403852545,159.3720765,0.137745685,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2030-Hhigh,1157.002315,1157.002315,0.403852545,75.88869524,0.065590789,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2030-Hlow,1157.002315,1157.002315,0.403852545,149.3104113,0.129049363,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2035-Hhigh,1157.002315,1157.002315,0.403852545,84.04804306,0.072642934,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2035-Hlow,1157.002315,1157.002315,0.403852545,135.39986,0.117026438,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2040-Hhigh,1157.002315,1157.002315,0.403852545,89.67094753,0.077502825,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2040-Hlow,1157.002315,1157.002315,0.403852545,137.3434224,0.118706264,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2045-Hhigh,1157.002315,1157.002315,0.403852545,102.3059747,0.08842331,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2045-Hlow,1157.002315,1157.002315,0.403852545,147.1476276,0.127180063,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2024-Hhigh,3390.510784,3390.510784,1.822317984,291.3731268,0.085937826,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2024-Hlow,3390.510784,3390.510784,1.822317984,518.6797632,0.15297983,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2025-Hhigh,3390.510784,3390.510784,1.822317984,234.2033887,0.069076137,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2025-Hlow,3390.510784,3390.510784,1.822317984,435.3498641,0.128402442,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2030-Hhigh,3390.510784,3390.510784,1.822317984,228.8624538,0.067500878,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2030-Hlow,3390.510784,3390.510784,1.822317984,409.4556963,0.120765195,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2035-Hhigh,3390.510784,3390.510784,1.822317984,246.0557849,0.072571893,,,,,,,,,,
