Hshld_code,Loc_code,Occ_code,SH_code,DW_code,Grid_code,Tank_Volume (L),HP_cap,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code
Mod-Nom-Ideal,AK,,Rl,,2024-Hhigh,,,2233.50847,2233.50847,,,1.418465439,194.4436649,0.087057501,,,,,C0
Mod-Nom-Ideal,AK,,Rl,,2024-Hlow,,,2233.50847,2233.50847,,,1.418465439,330.3086462,0.147887797,,,,,C0
Mod-Nom-Ideal,AK,,Rl,,2025-Hhigh,,,2233.50847,2233.50847,,,1.418465439,156.5150034,0.070075849,,,,,C0
Mod-Nom-Ideal,AK,,Rl,,2025-Hlow,,,2233.50847,2233.50847,,,1.418465439,275.9777876,0.123562454,,,,,C0
Mod-Nom-Ideal,AK,,Rl,,2030-Hhigh,,,2233.50847,2233.50847,,,1.418465439,152.9737586,0.068490342,,,,,C0
Mod-Nom-Ideal,AK,,Rl,,2030-Hlow,,,2233.50847,2233.50847,,,1.418465439,260.145285,0.11647383,,,,,C0
Mod-Nom-Ideal,AK,,Rl,,2035-Hhigh,,,2233.50847,2233.50847,,,1.418465439,162.0077419,0.072535092,,,,,C0
Mod-Nom-Ideal,AK,,Rl,,2035-Hlow,,,2233.50847,2233.50847,,,1.418465439,233.1434117,0.104384387,,,,,C0
Mod-Nom-Ideal,AK,,Rl,,2040-Hhigh,,,2233.50847,2233.50847,,,1.418465439,172.3803356,0.077179173,,,,,C0
Mod-Nom-Ideal,AK,,Rl,,2040-Hlow,,,2233.50847,2233.50847,,,1.418465439,239.7715451,0.107351975,,,,,C0
Mod-Nom-Ideal,AK,,Rl,,2045-Hhigh,,,2233.50847,2233.50847,,,1.418465439,197.99245,0.088646384,,,,,C0
Mod-Nom-Ideal,AK,,Rl,,2045-Hlow,,,2233.50847,2233.50847,,,1.418465439,263.3148239,0.117892915,,,,,C0
Mod-Nom-Ideal,AK,,Rb,,2024-Hhigh,,,1157.002315,1157.002315,,,0.403852545,96.92946197,0.083776377,,,,,C0
Mod-Nom-Ideal,AK,,Rb,,2024-Hlow,,,1157.002315,1157.002315,,,0.403852545,188.3711169,0.162809628,,,,,C0
Mod-Nom-Ideal,AK,,Rb,,2025-Hhigh,,,1157.002315,1157.002315,,,0.403852545,77.68838533,0.067146266,,,,,C0
Mod-Nom-Ideal,AK,,Rb,,2025-Hlow,,,1157.002315,1157.002315,,,0.403852545,159.3720765,0.137745685,,,,,C0
Mod-Nom-Ideal,AK,,Rb,,2030-Hhigh,,,1157.002315,1157.002315,,,0.403852545,75.88869524,0.065590789,,,,,C0
Mod-Nom-Ideal,AK,,Rb,,2030-Hlow,,,1157.002315,1157.002315,,,0.403852545,149.3104113,0.129049363,,,,,C0
Mod-Nom-Ideal,AK,,Rb,,2035-Hhigh,,,1157.002315,1157.002315,,,0.403852545,84.04804306,0.072642934,,,,,C0
Mod-Nom-Ideal,AK,,Rb,,2035-Hlow,,,1157.002315,1157.002315,,,0.403852545,135.39986,0.117026438,,,,,C0
Mod-Nom-Ideal,AK,,Rb,,2040-Hhigh,,,1157.002315,1157.002315,,,0.403852545,89.67094753,0.077502825,,,,,C0
Mod-Nom-Ideal,AK,,Rb,,2040-Hlow,,,1157.002315,1157.002315,,,0.403852545,137.3434224,0.118706264,,,,,C0
Mod-Nom-Ideal,AK,,Rb,,2045-Hhigh,,,1157.002315,1157.002315,,,0.403852545,102.3059747,0.08842331,,,,,C0
Mod-Nom-Ideal,AK,,Rb,,2045-Hlow,,,1157.002315,1157.002315,,,0.403852545,147.1476276,0.127180063,,,,,C0
Mod-Nom-Ideal,AK,,R,,2024-Hhigh,,,3390.510784,3390.510784,,,1.822317984,291.3731268,0.085937826,,,,,C0
Mod-Nom-Ideal,AK,,R,,2024-Hlow,,,3390.510784,3390.510784,,,1.822317984,518.6797632,0.15297983,,,,,C0
Mod-Nom-Ideal,AK,,R,,2025-Hhigh,,,3390.510784,3390.510784,,,1.822317984,234.2033887,0.069076137,,,,,C0
Mod-Nom-Ideal,AK,,R,,2025-Hlow,,,3390.510784,3390.510784,,,1.822317984,435.3498641,0.128402442,,,,,C0
Mod-Nom-Ideal,AK,,R,,2030-Hhigh,,,3390.510784,3390.510784,,,1.822317984,228.8624538,0.067500878,,,,,C0
Mod-Nom-Ideal,AK,,R,,2030-Hlow,,,3390.510784,3390.510784,,,1.822317984,409.4556963,0.120765195,,,,,C0
Mod-Nom-Ideal,AK,,R,,2035-Hhigh,,,3390.510784,3390.510784,,,1.822317984,246.0557849,0.072571893,,,,,C0
Mod-Nom-Ideal,AK,,R,,2035-Hlow,,,3390.510784,3390.510784,,,1.822317984,368.5432717,0.108698451,,,,,C0
Mod-Nom-Ideal,AK,,R,,2040-Hhigh,,,3390.510784,3390.510784,,,1.822317984,262.0512831,0.077289618,,,,,C0
Mod-Nom-Ideal,AK,,R,,2040-Hlow,,,3390.510784,3390.510784,,,1.822317984,377.1149676,0.111226594,,,,,C0
Mod-Nom-Ideal,AK,,R,,2045-Hhigh,,,3390.510784,3390.510784,,,1.822317984,300.2984248,0.088570261,,,,,C0
Mod-Nom-Ideal,AK,,R,,2045-Hlow,,,3390.510784,3390.510784,,,1.822317984,410.4624515,0.121062128,,,,,C0
Mod-H1-Ideal,AK,,Rl,,2024-Hhigh,,,1684.737356,1684.737356,,,1.152145388,143.8283197,0.08537136,,,,,C0
Mod-H1-Ideal,AK,,Rl,,2024-Hlow,,,1684.737356,1684.737356,,,1.152145388,253.229079,0.150307749,,,,,C0
Mod-H1-Ideal,AK,,Rl,,2025-Hhigh,,,1684.737356,1684.737356,,,1.152145388,115.0622285,0.068296835,,,,,C0
Mod-H1-Ideal,AK,,Rl,,2025-Hlow,,,1684.737356,1684.737356,,,1.152145388,211.430882,0.12549783,,,,,C0
Mod-H1-Ideal,AK,,Rl,,2030-Hhigh,,,1684.737356,1684.737356,,,1.152145388,112.436375,0.066738222,,,,,C0
Mod-H1-Ideal,AK,,Rl,,2030-Hlow,,,1684.737356,1684.737356,,,1.152145388,198.453897,0.117795154,,,,,C0
Mod-H1-Ideal,AK,,Rl,,2035-Hhigh,,,1684.737356,1684.737356,,,1.152145388,119.9589163,0.071203334,,,,,C0
Mod-H1-Ideal,AK,,Rl,,2035-Hlow,,,1684.737356,1684.737356,,,1.152145388,177.322359,0.105252227,,,,,C0
Mod-H1-Ideal,AK,,Rl,,2040-Hhigh,,,1684.737356,1684.737356,,,1.152145388,127.8620487,0.075894351,,,,,C0
Mod-H1-Ideal,AK,,Rl,,2040-Hlow,,,1684.737356,1684.737356,,,1.152145388,182.396083,0.108263809,,,,,C0
Mod-H1-Ideal,AK,,Rl,,2045-Hhigh,,,1684.737356,1684.737356,,,1.152145388,146.8987234,0.087193842,,,,,C0
Mod-H1-Ideal,AK,,Rl,,2045-Hlow,,,1684.737356,1684.737356,,,1.152145388,200.0793198,0.118759947,,,,,C0
Mod-H1-Ideal,AK,,Rb,,2024-Hhigh,,,577.4506732,577.4506732,,,0.312567224,49.86867045,0.086360053,,,,,C0
Mod-H1-Ideal,AK,,Rb,,2024-Hlow,,,577.4506732,577.4506732,,,0.312567224,98.97769896,0.171404595,,,,,C0
Mod-H1-Ideal,AK,,Rb,,2025-Hhigh,,,577.4506732,577.4506732,,,0.312567224,40.6034861,0.070315073,,,,,C0
Mod-H1-Ideal,AK,,Rb,,2025-Hlow,,,577.4506732,577.4506732,,,0.312567224,84.14642009,0.145720533,,,,,C0
Mod-H1-Ideal,AK,,Rb,,2030-Hhigh,,,577.4506732,577.4506732,,,0.312567224,40.19752412,0.069612048,,,,,C0
Mod-H1-Ideal,AK,,Rb,,2030-Hlow,,,577.4506732,577.4506732,,,0.312567224,79.10389629,0.136988145,,,,,C0
Mod-H1-Ideal,AK,,Rb,,2035-Hhigh,,,577.4506732,577.4506732,,,0.312567224,43.82348303,0.075891301,,,,,C0
Mod-H1-Ideal,AK,,Rb,,2035-Hlow,,,577.4506732,577.4506732,,,0.312567224,69.24770926,0.119919696,,,,,C0
Mod-H1-Ideal,AK,,Rb,,2040-Hhigh,,,577.4506732,577.4506732,,,0.312567224,47.45967789,0.08218828,,,,,C0
Mod-H1-Ideal,AK,,Rb,,2040-Hlow,,,577.4506732,577.4506732,,,0.312567224,71.76145951,0.124272882,,,,,C0
Mod-H1-Ideal,AK,,Rb,,2045-Hhigh,,,577.4506732,577.4506732,,,0.312567224,54.10506571,0.093696429,,,,,C0
Mod-H1-Ideal,AK,,Rb,,2045-Hlow,,,577.4506732,577.4506732,,,0.312567224,78.04509875,0.135154572,,,,,C0
Mod-H1-Ideal,AK,,R,,2024-Hhigh,,,2262.188029,2262.188029,,,1.464712612,193.6969902,0.085623736,,,,,C0
Mod-H1-Ideal,AK,,R,,2024-Hlow,,,2262.188029,2262.188029,,,1.464712612,352.2067779,0.155692972,,,,,C0
Mod-H1-Ideal,AK,,R,,2025-Hhigh,,,2262.188029,2262.188029,,,1.464712612,155.6657146,0.068812014,,,,,C0
Mod-H1-Ideal,AK,,R,,2025-Hlow,,,2262.188029,2262.188029,,,1.464712612,295.577302,0.130659918,,,,,C0
Mod-H1-Ideal,AK,,R,,2030-Hhigh,,,2262.188029,2262.188029,,,1.464712612,152.6338992,0.0674718,,,,,C0
Mod-H1-Ideal,AK,,R,,2030-Hlow,,,2262.188029,2262.188029,,,1.464712612,277.5577932,0.122694396,,,,,C0
Mod-H1-Ideal,AK,,R,,2035-Hhigh,,,2262.188029,2262.188029,,,1.464712612,163.7823993,0.072399994,,,,,C0
Mod-H1-Ideal,AK,,R,,2035-Hlow,,,2262.188029,2262.188029,,,1.464712612,246.5700682,0.108996275,,,,,C0
Mod-H1-Ideal,AK,,R,,2040-Hhigh,,,2262.188029,2262.188029,,,1.464712612,175.3217266,0.077500952,,,,,C0
Mod-H1-Ideal,AK,,R,,2040-Hlow,,,2262.188029,2262.188029,,,1.464712612,254.1575425,0.112350317,,,,,C0
Mod-H1-Ideal,AK,,R,,2045-Hhigh,,,2262.188029,2262.188029,,,1.464712612,201.0037891,0.088853706,,,,,C0
Mod-H1-Ideal,AK,,R,,2045-Hlow,,,2262.188029,2262.188029,,,1.464712612,278.1244185,0.122944872,,,,,C0
Mod-Nom-Real,AK,,Rl,,2024-Hhigh,,,2238.260368,2238.260368,,,1.423562507,194.8075631,0.087035256,,,,,C0
Mod-Nom-Real,AK,,Rl,,2024-Hlow,,,2238.260368,2238.260368,,,1.423562507,331.0604401,0.147909709,,,,,C0
Mod-Nom-Real,AK,,Rl,,2025-Hhigh,,,2238.260368,2238.260368,,,1.423562507,156.7991382,0.070054021,,,,,C0
Mod-Nom-Real,AK,,Rl,,2025-Hlow,,,2238.260368,2238.260368,,,1.423562507,276.5834788,0.123570735,,,,,C0
Mod-Nom-Real,AK,,Rl,,2030-Hhigh,,,2238.260368,2238.260368,,,1.423562507,153.2486257,0.068467739,,,,,C0
Mod-Nom-Real,AK,,Rl,,2030-Hlow,,,2238.260368,2238.260368,,,1.423562507,260.6987194,0.116473813,,,,,C0
Mod-Nom-Real,AK,,Rl,,2035-Hhigh,,,2238.260368,2238.260368,,,1.423562507,162.3066334,0.072514635,,,,,C0
Mod-Nom-Real,AK,,Rl,,2035-Hlow,,,2238.260368,2238.260368,,,1.423562507,233.6402505,0.104384751,,,,,C0
Mod-Nom-Real,AK,,Rl,,2040-Hhigh,,,2238.260368,2238.260368,,,1.423562507,172.7015058,0.07715881,,,,,C0
Mod-Nom-Real,AK,,Rl,,2040-Hlow,,,2238.260368,2238.260368,,,1.423562507,240.2746485,0.107348837,,,,,C0
Mod-Nom-Real,AK,,Rl,,2045-Hhigh,,,2238.260368,2238.260368,,,1.423562507,198.3571656,0.088621131,,,,,C0
Mod-Nom-Real,AK,,Rl,,2045-Hlow,,,2238.260368,2238.260368,,,1.423562507,263.8640773,0.117888017,,,,,C0
Mod-Nom-Real,AK,,Rb,,2024-Hhigh,,,836.55852,836.55852,,,0.446157508,73.91728473,0.088358773,,,,,C0
Mod-Nom-Real,AK,,Rb,,2024-Hlow,,,836.55852,836.55852,,,0.446157508,134.9940106,0.161368281,,,,,C0
Mod-Nom-Real,AK,,Rb,,2025-Hhigh,,,836.55852,836.55852,,,0.446157508,60.35323535,0.072144666,,,,,C0
Mod-Nom-Real,AK,,Rb,,2025-Hlow,,,836.55852,836.55852,,,0.446157508,114.4052465,0.136757015,,,,,C0
Mod-Nom-Real,AK,,Rb,,2030-Hhigh,,,836.55852,836.55852,,,0.446157508,60.11189625,0.071856176,,,,,C0
Mod-Nom-Real,AK,,Rb,,2030-Hlow,,,836.55852,836.55852,,,0.446157508,108.7312476,0.129974467,,,,,C0
Mod-Nom-Real,AK,,Rb,,2035-Hhigh,,,836.55852,836.55852,,,0.446157508,64.46300591,0.077057378,,,,,C0
Mod-Nom-Real,AK,,Rb,,2035-Hlow,,,836.55852,836.55852,,,0.446157508,94.75930268,0.113272772,,,,,C0
Mod-Nom-Real,AK,,Rb,,2040-Hhigh,,,836.55852,836.55852,,,0.446157508,70.06412654,0.08375281,,,,,C0
Mod-Nom-Real,AK,,Rb,,2040-Hlow,,,836.55852,836.55852,,,0.446157508,99.30422244,0.118705649,,,,,C0
Mod-Nom-Real,AK,,Rb,,2045-Hhigh,,,836.55852,836.55852,,,0.446157508,80.15355449,0.095813446,,,,,C0
Mod-Nom-Real,AK,,Rb,,2045-Hlow,,,836.55852,836.55852,,,0.446157508,109.3940745,0.130766793,,,,,C0
Mod-Nom-Real,AK,,R,,2024-Hhigh,,,3074.818888,3074.818888,,,1.869720015,268.7248478,0.087395342,,,,,C0
Mod-Nom-Real,AK,,R,,2024-Hlow,,,3074.818888,3074.818888,,,1.869720015,466.0544508,0.15157135,,,,,C0
Mod-Nom-Real,AK,,R,,2025-Hhigh,,,3074.818888,3074.818888,,,1.869720015,217.1523735,0.070622818,,,,,C0
Mod-Nom-Real,AK,,R,,2025-Hlow,,,3074.818888,3074.818888,,,1.869720015,390.9887253,0.127158294,,,,,C0
Mod-Nom-Real,AK,,R,,2030-Hhigh,,,3074.818888,3074.818888,,,1.869720015,213.360522,0.069389623,,,,,C0
Mod-Nom-Real,AK,,R,,2030-Hlow,,,3074.818888,3074.818888,,,1.869720015,369.429967,0.120146903,,,,,C0
Mod-Nom-Real,AK,,R,,2035-Hhigh,,,3074.818888,3074.818888,,,1.869720015,226.7696393,0.073750568,,,,,C0
Mod-Nom-Real,AK,,R,,2035-Hlow,,,3074.818888,3074.818888,,,1.869720015,328.3995532,0.106802893,,,,,C0
Mod-Nom-Real,AK,,R,,2040-Hhigh,,,3074.818888,3074.818888,,,1.869720015,242.7656324,0.078952823,,,,,C0
Mod-Nom-Real,AK,,R,,2040-Hlow,,,3074.818888,3074.818888,,,1.869720015,339.5788709,0.110438658,,,,,C0
Mod-Nom-Real,AK,,R,,2045-Hhigh,,,3074.818888,3074.818888,,,1.869720015,278.5107201,0.090577927,,,,,C0
Mod-Nom-Real,AK,,R,,2045-Hlow,,,3074.818888,3074.818888,,,1.869720015,373.2581518,0.121391915,,,,,C0
Mod-H1-Real,AK,,Rl,,2024-Hhigh,,,1686.918049,1686.918049,,,1.154369743,144.0121405,0.085369968,,,,,C0
Mod-H1-Real,AK,,Rl,,2024-Hlow,,,1686.918049,1686.918049,,,1.154369743,253.6279907,0.150349918,,,,,C0
Mod-H1-Real,AK,,Rl,,2025-Hhigh,,,1686.918049,1686.918049,,,1.154369743,115.2057794,0.068293643,,,,,C0
Mod-H1-Real,AK,,Rl,,2025-Hlow,,,1686.918049,1686.918049,,,1.154369743,211.7642035,0.12553319,,,,,C0
