house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,CS_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,C0,NA,6.5,NA,253.48286669,2991.0098218000003,898.86176468,1152.34463137
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,C0,NA,5,NA,220.218458126,2649.8718884,776.47058819,996.6890463159999
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,C0,NA,5,1000,1267.6522850075305,20874.38688205852,3947.1205884,5214.772873407531
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,Cpeak,NA,5,1000,1265.20234632047,20870.30294103085,3947.1205884,5212.322934720471
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,Crenew,NA,5,1000,896.8520613456365,21216.74604894971,3947.1205884,4843.972649745637
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,C0,NA,5,1000,1423.0008761628437,23912.7984545547,3947.1205884,5370.121464562844
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,Cpeak,NA,5,1000,1420.0637516973038,23906.396967392877,3947.1205884,5367.184340097304
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,Crenew,NA,5,1000,1014.8259810567232,24240.001832247723,3947.1205884,4961.946569456723
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,C0,NA,5,1000,1601.7327870493027,26988.57163095447,3947.1205884,5548.853375449303
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,Cpeak,NA,5,1000,1599.1445730034275,26983.411008209456,3947.1205884,5546.265161403428
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,Crenew,NA,5,1000,1166.43421601696,27279.36353838331,3947.1205884,5113.55480441696
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,C0,NA,8.5,200,1121.0568042304321,18443.208739312016,2747.1205883,3868.177392530432
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,Cpeak,NA,8.5,200,1118.965915311446,18438.684357349885,2747.1205883,3866.0865036114456
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,Crenew,NA,8.5,200,1055.9450268871,18473.265703478388,2747.1205883,3803.0656151871
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,C0,NA,8.5,200,1272.5310903658478,21567.951152140668,2747.1205883,4019.6516786658476
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,Cpeak,NA,8.5,200,1270.6147592998611,21563.7744846775,2747.1205883,4017.7353475998607
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,Crenew,NA,8.5,200,1214.1832476029213,21610.33024981679,2747.1205883,3961.303835902921
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,C0,NA,8.5,200,1455.6176419115056,24824.748579788422,2747.1205883,4202.738230211506
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,Cpeak,NA,8.5,200,1452.368166693724,24807.123683088903,2747.1205883,4199.488754993724
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,Crenew,NA,8.5,200,1406.14265370471,24885.686810230705,2747.1205883,4153.26324200471
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,C0,NA,5,500,1147.2293755768299,18835.460394268248,3197.1205882,4344.34996377683
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,Cpeak,NA,5,500,1145.0224476331564,18831.886652917063,3197.1205882,4342.143035833156
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,Crenew,NA,5,500,912.8811967687961,19054.075984873572,3197.1205882,4110.001784968796
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,C0,NA,5,500,1297.9480402232714,21890.11930988175,3197.1205882,4495.068628423272
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,Cpeak,NA,5,500,1295.4899859273928,21885.65178790334,3197.1205882,4492.610574127393
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,Crenew,NA,5,500,1047.430783022802,22105.819404672107,3197.1205882,4244.551371222802
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,C0,NA,5,500,1472.9940164115226,24983.345557206492,3197.1205882,4670.114604611523
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,Cpeak,NA,5,500,1470.820692373923,24978.86712315743,3197.1205882,4667.941280573923
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,Crenew,NA,5,500,1218.3877775185485,25180.950379984497,3197.1205882,4415.508365718549
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,C0,7,NA,NA,1002.85173705,11856.54778,1107.7647064,2110.61644345
Mass,H1,Ideal,AK,Hhigh,Rb,NA,NA,C0,2,NA,NA,177.930365351,1900.7361262999998,553.8823529800001,731.812718331
Mass,H1,Ideal,AK,Hhigh,Rl,NA,NA,C0,5,NA,NA,824.92137168,9955.8116548,553.8823529800001,1378.8037246600002
Mass,H1,Ideal,AK,Hlow,HP,NA,NA,C0,NA,6.5,NA,355.37692855,2991.0098218000003,898.86176468,1254.23869323
Mass,H1,Ideal,AK,Hlow,HPl,NA,NA,C0,NA,5,NA,307.81454306,2649.8718884,776.47058819,1084.28513125
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,C0,NA,5,1000,1660.3936726938493,20874.38688205852,3947.1205884,5607.514261093849
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,Cpeak,NA,5,1000,1658.5861383234587,20870.30294103085,3947.1205884,5605.706726723459
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,Crenew,NA,5,1000,1280.1976132483535,21219.011483563285,3947.1205884,5227.318201648353
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,C0,NA,5,1000,1833.7629953396306,23912.7984545547,3947.1205884,5780.883583739631
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,Cpeak,NA,5,1000,1831.3883927721176,23906.396967392877,3947.1205884,5778.508981172117
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,Crenew,NA,5,1000,1416.0543427983805,24244.064919319007,3947.1205884,5363.17493119838
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,C0,NA,5,1000,2033.8434458502522,26988.57163095447,3947.1205884,5980.964034250253
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,Cpeak,NA,5,1000,2031.6834640476468,26983.411008209456,3947.1205884,5978.804052447647
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,Crenew,NA,5,1000,1599.5725632464764,27284.155969324172,3947.1205884,5546.6931516464765
