house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,253.48286669,2991.0098218000003,898.86176468,1152.34463137
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,5,NA,220.218458126,2649.8718884,776.47058819,996.6890463159999
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1267.65228501,20874.3868828,3947.1205884,5214.77287341
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1423.00087614,23912.798448,3947.1205884,5370.12146454
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1601.73278707,26988.571632,3947.1205884,5548.85337547
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1121.0568042099999,18443.208740000002,2747.1205883,3868.1773925099997
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1272.53109038,21567.951151999998,2747.1205883,4019.65167868
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1455.61764188,24824.748585999998,2747.1205883,4202.73823018
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,1147.22937561,18835.4603932,3197.1205882,4344.34996381
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1297.94804017,21890.1193104,3197.1205882,4495.06862837
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1472.99401643,24983.345552,3197.1205882,4670.11460463
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,1002.85173705,11856.54778,1107.7647064,2110.61644345
Mass,H1,Ideal,AK,Hhigh,Rb,NA,NA,2,NA,NA,177.930365351,1900.7361262999998,553.8823529800001,731.812718331
Mass,H1,Ideal,AK,Hhigh,Rl,NA,NA,5,NA,NA,824.92137168,9955.8116548,553.8823529800001,1378.8037246600002
Mass,H1,Ideal,AK,Hlow,HP,NA,NA,NA,6.5,NA,355.37692855,2991.0098218000003,898.86176468,1254.23869323
Mass,H1,Ideal,AK,Hlow,HPl,NA,NA,NA,5,NA,307.81454306,2649.8718884,776.47058819,1084.28513125
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1660.39367272,20874.3868828,3947.1205884,5607.51426112
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1833.76299534,23912.798448,3947.1205884,5780.88358374
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,2033.84344592,26988.571632,3947.1205884,5980.96403432
