house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,Grid_year,P_annual (kWh),Q_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,sCOP_annual,Q_standing_losses_annual (kWh),unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,2024,2024,135.9549919,538.93399,0.081109541,14.65979928,0.107828327,3.964061799,NA,NA,NA,NA,NA,NA,NA,NA,NA,817.1470588,14.65979928,40.85735294,135.9549919,0.081109541
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,5,NA,2024,2024,120.4487222,452.5368934,0.075788727,12.80269827,0.10629169,3.757091691,NA,NA,NA,NA,NA,NA,NA,NA,NA,705.8823529,12.80269827,35.294117645,120.4487222,0.075788727
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,2024,927.2784078,3069.426833,0.329344791,81.50681897,0.087898972,3.310145915,861.6763056,0,0,0,0,5,1509.882353,1090.909091,987.5,3588.291444,81.50681897,179.4145722,927.2784078,0.329344791
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,2024,1065.388025,3539.510667,0.351349079,94.33806426,0.08854808,3.322273749,852.3934213,0,0,0,0,5,1509.882353,1090.909091,987.5,3588.291444,94.33806426,179.4145722,1065.388025,0.351349079
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,2024,1205.195896,4011.135156,0.39891997,106.404243,0.088287923,3.328201803,845.8121611,0,0,0,0,5,1509.882353,1090.909091,987.5,3588.291444,106.404243,179.4145722,1205.195896,0.39891997
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2024,2024,808.8276841,2532.575,0.295180738,71.86204809,0.088847167,3.131167553,320.2230568,627.4657308,129,-534.5544531,89,9,1509.882353,0,987.5,2497.382353,71.86204809,124.86911764999999,808.8276841,0.295180738
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2024,2024,950.2083311,3008.858333,0.280927035,84.93718914,0.089387965,3.166524892,318.0177894,1234.536231,182,-458.616441,97,9,1509.882353,0,987.5,2497.382353,84.93718914,124.86911764999999,950.2083311,0.280927035
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2024,2024,1097.857386,3486.416667,0.389912816,97.49000913,0.088800249,3.175655336,316.8333357,1877.035864,264,-597.7100088,121,9,1509.882353,0,987.5,2497.382353,97.49000913,124.86911764999999,1097.857386,0.389912816
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,2024,2024,834.599931,2765.215656,0.30342222,73.67084027,0.088270844,3.313222962,554.375552,0,0,0,0,5,1509.882353,409.0909091,987.5,2906.473262,73.67084027,145.3236631,834.599931,0.30342222
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,2024,2024,973.4480636,3239.093111,0.315921189,86.48004922,0.088838894,3.327443171,548.8548898,0,0,0,0,5,1509.882353,409.0909091,987.5,2906.473262,86.48004922,145.3236631,973.4480636,0.315921189
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,2024,2024,1114.049257,3714.364622,0.366784007,98.50378064,0.088419592,3.334111665,545.5916777,0,0,0,0,5,1509.882353,409.0909091,987.5,2906.473262,98.50378064,145.3236631,1114.049257,0.366784007
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,2024,2024,538.93399,538.93399,0.329935168,58.05281292,0.107717854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007.058824,58.05281292,50.3529412,538.93399,0.329935168
Mass,H1,Ideal,AK,Hhigh,Rb,NA,NA,2,NA,NA,2024,2024,86.39709665,86.39709665,0.03777853,10.05174799,0.116343585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.5294118,10.05174799,25.17647059,86.39709665,0.03777853
Mass,H1,Ideal,AK,Hhigh,Rl,NA,NA,5,NA,NA,2024,2024,452.5368934,452.5368934,0.292156638,48.00106493,0.106071053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.5294118,48.00106493,25.17647059,452.5368934,0.292156638
Mass,H1,Ideal,AK,Hlow,HP,NA,NA,NA,6.5,NA,2024,2024,135.9549919,538.93399,0.081109541,24.14268895,0.17757854,3.964061799,NA,NA,NA,NA,NA,NA,NA,NA,NA,817.1470588,24.14268895,40.85735294,135.9549919,0.081109541
Mass,H1,Ideal,AK,Hlow,HPl,NA,NA,NA,5,NA,2024,2024,120.4487222,452.5368934,0.075788727,20.85793992,0.173168628,3.757091691,NA,NA,NA,NA,NA,NA,NA,NA,NA,705.8823529,20.85793992,35.294117645,120.4487222,0.075788727
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,2024,2024,927.2784078,3069.426833,0.329344791,115.1871384,0.124220663,3.310145915,861.6763056,0,0,0,0,5,1509.882353,1090.909091,987.5,3588.291444,115.1871384,179.4145722,927.2784078,0.329344791
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,2024,2024,1065.388025,3539.510667,0.351349079,128.6422076,0.120746812,3.322273749,852.3934213,0,0,0,0,5,1509.882353,1090.909091,987.5,3588.291444,128.6422076,179.4145722,1065.388025,0.351349079
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,2024,2024,1205.195896,4011.135156,0.39891997,143.8527302,0.119360455,3.328201803,845.8121611,0,0,0,0,5,1509.882353,1090.909091,987.5,3588.291444,143.8527302,179.4145722,1205.195896,0.39891997
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,2024,2024,808.8276841,2532.575,0.295180738,103.8899396,0.128445084,3.131167553,320.2230568,627.4657308,129,-534.5544531,89,9,1509.882353,0,987.5,2497.382353,103.8899396,124.86911764999999,808.8276841,0.295180738
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,2024,2024,950.2083311,3008.858333,0.280927035,117.7387995,0.123908406,3.166524892,318.0177894,1234.536231,182,-458.616441,97,9,1509.882353,0,987.5,2497.382353,117.7387995,124.86911764999999,950.2083311,0.280927035
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,2024,2024,1097.857386,3486.416667,0.389912816,134.3004365,0.122329583,3.175655336,316.8333357,1877.035864,264,-597.7100088,121,9,1509.882353,0,987.5,2497.382353,134.3004365,124.86911764999999,1097.857386,0.389912816
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,5,500,2024,2024,834.599931,2765.215656,0.30342222,104.5638193,0.125286159,3.313222962,554.375552,0,0,0,0,5,1509.882353,409.0909091,987.5,2906.473262,104.5638193,145.3236631,834.599931,0.30342222
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,NA,5,500,2024,2024,973.4480636,3239.093111,0.315921189,117.8950013,0.121110726,3.327443171,548.8548898,0,0,0,0,5,1509.882353,409.0909091,987.5,2906.473262,117.8950013,145.3236631,973.4480636,0.315921189
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,5,NA,5,500,2024,2024,1114.049257,3714.364622,0.366784007,133.2578585,0.119615769,3.334111665,545.5916777,0,0,0,0,5,1509.882353,409.0909091,987.5,2906.473262,133.2578585,145.3236631,1114.049257,0.366784007
Mass,H1,Ideal,AK,Hlow,R,NA,NA,7,NA,NA,2024,2024,538.93399,538.93399,0.329935168,95.28917497,0.176810475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007.058824,95.28917497,50.3529412,538.93399,0.329935168
Mass,H1,Ideal,AK,Hlow,Rb,NA,NA,2,NA,NA,2024,2024,86.39709665,86.39709665,0.03777853,17.32458468,0.200522765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.5294118,17.32458468,25.17647059,86.39709665,0.03777853
Mass,H1,Ideal,AK,Hlow,Rl,NA,NA,5,NA,NA,2024,2024,452.5368934,452.5368934,0.292156638,77.96459029,0.17228339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.5294118,77.96459029,25.17647059,452.5368934,0.292156638
Mass,H1,Ideal,CH,Hhigh,HP,NA,NA,NA,8.5,NA,2024,2024,584.3428324,1918.650708,0.342511423,66.85792301,0.114415578,3.283433289,NA,NA,NA,NA,NA,NA,NA,NA,NA,993.2473572,66.85792301,49.66236786,584.3428324,0.342511423
Mass,H1,Ideal,CH,Hhigh,HPl,NA,NA,NA,5,NA,2024,2024,379.1447511,1250.165598,0.261959279,42.74768183,0.112747656,3.297330623,NA,NA,NA,NA,NA,NA,NA,NA,NA,705.8823529,42.74768183,35.294117645,379.1447511,0.261959279
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,2024,1617.23657,4561.500326,0.697556615,161.9270195,0.100125747,2.820552299,974.1031087,0,0,0,0,5,1509.882353,1090.909091,987.5,3588.291444,161.9270195,179.4145722,1617.23657,0.697556615
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,2024,1767.19275,5033.442435,0.710415841,176.2409464,0.099729329,2.848270194,966.6977832,0,0,0,0,5,1509.882353,1090.909091,987.5,3588.291444,176.2409464,179.4145722,1767.19275,0.710415841
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,2024,1917.284448,5506.922867,0.792243282,189.7053858,0.098944831,2.872251362,961.993413,0,0,0,0,5,1509.882353,1090.909091,987.5,3588.291444,189.7053858,179.4145722,1917.284448,0.792243282
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2024,2024,1360.516799,3957.188267,0.600385231,139.1182842,0.102254,2.908591993,364.7832936,218.4092203,65,-447.7885427,101,12,1947.529412,0,987.5,2935.029412,139.1182842,146.7514706,1360.516799,0.600385231
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2024,2024,1494.577434,4434.5396,0.590015962,152.0700494,0.101747856,2.96708588,363.1925188,625.3513507,106,-375.0605196,110,12,1947.529412,0,987.5,2935.029412,152.0700494,146.7514706,1494.577434,0.590015962
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2024,2024,1634.927354,4913.0388,0.71302909,164.3726925,0.100538224,3.005050217,362.2269962,673.9339137,129,-783.1027703,194,12,1947.529412,0,987.5,2935.029412,164.3726925,146.7514706,1634.927354,0.71302909
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2024,2024,1448.517069,4220.4,0.612637494,144.1099434,0.099487915,2.913600461,629.9121468,0,0,0,0,6,1509.882353,409.0909091,987.5,2906.473262,144.1099434,145.3236631,1448.517069,0.612637494
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2024,2024,1596.211128,4695.6,0.633763169,158.0851508,0.099037745,2.941716117,625.7135286,0,0,0,0,6,1509.882353,409.0909091,987.5,2906.473262,158.0851508,145.3236631,1596.211128,0.633763169
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2024,2024,1749.359944,5171.8,0.712748045,171.3755696,0.097964727,2.956395576,623.3202958,0,0,0,0,6,1509.882353,409.0909091,987.5,2906.473262,171.3755696,145.3236631,1749.359944,0.712748045
Mass,H1,Ideal,CH,Hhigh,R,NA,NA,8.5,NA,NA,2024,2024,1918.650708,1918.650708,1.111468888,216.0611429,0.112610983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007.058824,216.0611429,50.3529412,1918.650708,1.111468888
Mass,H1,Ideal,CH,Hhigh,Rb,NA,NA,3.5,NA,NA,2024,2024,668.4851098,668.4851098,0.280849937,77.62855777,0.116126084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.5294118,77.62855777,25.17647059,668.4851098,0.280849937
Mass,H1,Ideal,CH,Hhigh,Rl,NA,NA,5,NA,NA,2024,2024,1250.165598,1250.165598,0.830618951,138.4325851,0.110731399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.5294118,138.4325851,25.17647059,1250.165598,0.830618951
Mass,H1,Ideal,CH,Hlow,HP,NA,NA,NA,8.5,NA,2024,2024,584.3428324,1918.650708,0.342511423,102.8253071,0.175967431,3.283433289,NA,NA,NA,NA,NA,NA,NA,NA,NA,993.2473572,102.8253071,49.66236786,584.3428324,0.342511423
Mass,H1,Ideal,CH,Hlow,HPl,NA,NA,NA,5,NA,2024,2024,379.1447511,1250.165598,0.261959279,63.57240952,0.167673189,3.297330623,NA,NA,NA,NA,NA,NA,NA,NA,NA,705.8823529,63.57240952,35.294117645,379.1447511,0.261959279
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,2024,2024,1617.23657,4561.500326,0.697556615,233.7966311,0.144565511,2.820552299,974.1031087,0,0,0,0,5,1509.882353,1090.909091,987.5,3588.291444,233.7966311,179.4145722,1617.23657,0.697556615
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,2024,2024,1767.19275,5033.442435,0.710415841,249.0005182,0.140901731,2.848270194,966.6977832,0,0,0,0,5,1509.882353,1090.909091,987.5,3588.291444,249.0005182,179.4145722,1767.19275,0.710415841
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,2024,2024,1917.284448,5506.922867,0.792243282,265.6459722,0.13855324,2.872251362,961.993413,0,0,0,0,5,1509.882353,1090.909091,987.5,3588.291444,265.6459722,179.4145722,1917.284448,0.792243282
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2024,2024,1360.516799,3957.188267,0.600385231,205.5281703,0.15106625,2.908591993,364.7832936,218.4092203,65,-447.7885427,101,12,1947.529412,0,987.5,2935.029412,205.5281703,146.7514706,1360.516799,0.600385231
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2024,2024,1494.577434,4434.5396,0.590015962,219.3642802,0.146773446,2.96708588,363.1925188,625.3513507,106,-375.0605196,110,12,1947.529412,0,987.5,2935.029412,219.3642802,146.7514706,1494.577434,0.590015962
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,2024,2024,1634.927354,4913.0388,0.71302909,235.4716941,0.144025784,3.005050217,362.2269962,673.9339137,129,-783.1027703,194,12,1947.529412,0,987.5,2935.029412,235.4716941,146.7514706,1634.927354,0.71302909
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,2024,2024,1448.517069,4220.4,0.612637494,208.4982051,0.143939074,2.913600461,629.9121468,0,0,0,0,6,1509.882353,409.0909091,987.5,2906.473262,208.4982051,145.3236631,1448.517069,0.612637494
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,6,500,2024,2024,1596.211128,4695.6,0.633763169,223.2360873,0.139853735,2.941716117,625.7135286,0,0,0,0,6,1509.882353,409.0909091,987.5,2906.473262,223.2360873,145.3236631,1596.211128,0.633763169
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,6,500,2024,2024,1749.359944,5171.8,0.712748045,240.0775246,0.137237351,2.956395576,623.3202958,0,0,0,0,6,1509.882353,409.0909091,987.5,2906.473262,240.0775246,145.3236631,1749.359944,0.712748045
Mass,H1,Ideal,CH,Hlow,R,NA,NA,8.5,NA,NA,2024,2024,1918.650708,1918.650708,1.111468888,330.1360651,0.172066788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007.058824,330.1360651,50.3529412,1918.650708,1.111468888
Mass,H1,Ideal,CH,Hlow,Rb,NA,NA,3.5,NA,NA,2024,2024,668.4851098,668.4851098,0.280849937,124.9982069,0.186987272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.5294118,124.9982069,25.17647059,668.4851098,0.280849937
