period,scenario,hydro,geo,gas,wood
2025,Environmental,0.0,203.4,0.0,0.0
2025,Reference,0.0,203.4,0.0,0.0
2030,Environmental,173.96499999999997,68.0,148.28300000000002,0.0
2030,Reference,0.0,0.0,40.118,0.0
2035,Environmental,308.21299999999997,429.999,425.69100000000003,480.0
2035,Reference,103.51599999999999,209.713,41.965,0.0
2040,Environmental,242.738,205.708,65.158,0.0
2040,Reference,289.039,262.286,579.245,0.0
2045,Environmental,35.211999999999996,48.021,0.0,0.0
2045,Reference,240.87800000000001,50.0,395.969,0.0
2050,Environmental,0.0,25.0,0.0,0.0
2050,Reference,164.47299999999998,63.711,102.703,0.0
