hourly_timestamp,Cogen_Gas,Cogen_Wood,Geo_Geo,Hydro_Hydro,Thrml_Coal,Thrml_Diesel,Thrml_Gas,Wind_Wind,Solar_Solar,kWh
2024-01-01T01:00:00Z,201014,61812,1768972,3222496,203918,0,283402,1206070,0,6947684
2024-01-01T02:00:00Z,101574,30107,889004,1524294,69544,0,141692,551719,0,3307934
2024-01-01T03:00:00Z,104276,31507,892291,1524731,51262,0,141703,448634,0,3194404
2024-01-01T04:00:00Z,103848,29199,895059,1480838,51600,0,141717,435128,0,3137389
2024-01-01T05:00:00Z,102757,26446,897254,1539323,51894,0,141649,412590,0,3171913
2024-01-01T06:00:00Z,100763,24010,899476,1606608,52056,0,141700,492929,14,3317556
2024-01-01T07:00:00Z,99134,23955,898353,1733639,87722,0,141638,505213,1522,3491176
2024-01-01T08:00:00Z,97950,24013,895992,2042772,102697,0,141681,381798,7488,3694391
2024-01-01T09:00:00Z,99625,31265,891216,2179072,160120,0,141444,354567,10948,3868257
2024-01-01T10:00:00Z,100512,30050,889385,2267371,153991,0,141362,366361,10625,3959657
2024-01-01T11:00:00Z,99791,27543,889024,2340090,143985,0,140461,363614,10424,4014932
2024-01-01T12:00:00Z,99231,27691,887548,2288893,124220,0,140685,383044,10753,3962065
2024-01-01T13:00:00Z,100283,28152,885386,2227717,100486,0,140701,378264,10692,3871681
2024-01-01T14:00:00Z,102376,26561,882088,2189011,100105,0,140733,362492,10766,3814132
2024-01-01T15:00:00Z,102282,25913,880007,2220227,100384,0,140727,373504,10852,3853896
2024-01-01T16:00:00Z,103176,24132,878040,2223684,100549,0,140714,434237,8692,3913224
2024-01-01T17:00:00Z,104135,23121,874518,2333382,99972,0,160167,391194,8481,3994970
2024-01-01T18:00:00Z,105776,24490,876600,2483829,98644,0,185082,355625,8260,4138306
2024-01-01T19:00:00Z,112788,21920,879775,2484384,121438,0,185495,323924,5698,4135422
2024-01-01T20:00:00Z,113154,21266,886349,2429524,99712,0,186461,297096,2345,4035907
2024-01-01T21:00:00Z,112596,21820,893435,2478407,147336,0,142246,237519,55,4033414
2024-01-01T22:00:00Z,113554,28836,900010,2434586,173751,0,140706,193254,0,3984697
2024-01-01T23:00:00Z,113435,28684,902317,2244629,111896,0,140696,204219,0,3745876
2024-01-02T00:00:00Z,110325,30556,904759,1955205,100357,0,140679,247716,0,3489597
2024-01-02T01:00:00Z,102002,32181,906746,1733068,103623,0,140686,269706,0,3288012
2024-01-02T02:00:00Z,101742,31567,909777,1590181,100037,0,140696,296252,0,3170252
2024-01-02T03:00:00Z,100141,29373,910536,1552193,100138,0,140705,269230,0,3102316
2024-01-02T04:00:00Z,102666,29400,911730,1523396,100206,0,140636,266575,0,3074609
2024-01-02T05:00:00Z,103436,30775,912481,1593073,100246,0,140672,259450,0,3140133
2024-01-02T06:00:00Z,104357,30446,912273,1734554,100935,0,140689,268561,14,3291829
2024-01-02T07:00:00Z,104118,31288,910141,1943853,114245,0,140629,246408,1499,3492181
2024-01-02T08:00:00Z,102044,30815,903559,2179400,121656,0,140634,251231,5369,3734708
2024-01-02T09:00:00Z,89094,30526,897909,2371535,141615,0,140346,291779,10865,3973669
2024-01-02T10:00:00Z,85212,30112,894339,2411166,150244,0,140336,347022,10714,4069145
2024-01-02T11:00:00Z,84142,30554,888497,2391838,172783,0,140344,336462,7808,4052428
2024-01-02T12:00:00Z,84611,28838,884275,2330433,175003,0,140541,370034,9432,4023167
2024-01-02T13:00:00Z,86258,30365,880039,2233531,157084,0,140707,437895,9093,3974972
2024-01-02T14:00:00Z,85566,28865,877509,2181260,158003,0,140686,459882,6056,3937827
2024-01-02T15:00:00Z,84844,31906,874230,2131438,175026,0,140686,537458,8269,3983857
2024-01-02T16:00:00Z,87170,30592,868764,2175932,157161,0,140612,604770,10275,4075276
2024-01-02T17:00:00Z,75578,30470,867817,2321462,190764,0,140672,569717,10715,4207195
2024-01-02T18:00:00Z,70274,29733,870135,2455843,225130,0,140896,535453,10959,4338423
