period,scenario,hydro,geo,gas,wood
2024,Base,0,0,0,0
2025,Environmental,0,203.4,0,0
2025,Reference,0,203.4,0,0
2030,Environmental,173.965,271.4,148.283,0
2030,Reference,0,203.4,40.118,0
2035,Environmental,482.178,701.399,222.974,480
2035,Reference,103.516,413.113,-268.917,0
2040,Environmental,724.916,907.107,288.132,480
2040,Reference,392.555,675.399,310.328,0
2045,Environmental,760.128,955.128,288.132,480
2045,Reference,633.433,725.399,706.297,0
2050,Environmental,760.128,980.128,288.132,480
2050,Reference,797.906,789.11,809,0
