hour_of_day,day_of_week,month,kWh
1,0,1,3602000
2,0,1,3448000.0000000005
3,0,1,3296000.0000000005
4,0,1,3211000.0000000005
5,0,1,3194000
6,0,1,3312000.0000000005
7,0,1,3460000
8,0,1,3672000
9,0,1,3907000
10,0,1,4163999.9999999995
11,0,1,4202000
12,0,1,4232000
13,0,1,4169000.0000000005
14,0,1,4070999.9999999995
15,0,1,4051000
16,0,1,4016000
17,0,1,4086000.0000000005
18,0,1,4202999.999999999
19,0,1,4269000
20,0,1,4189000
21,0,1,4099999.9999999995
22,0,1,4152000
23,0,1,3964000
0,0,1,3731000
1,1,1,3450000
2,1,1,3282000
3,1,1,3178000
4,1,1,3123000
5,1,1,3133000
6,1,1,3275000
7,1,1,3472000
8,1,1,3721000
9,1,1,3989000
10,1,1,4258000
11,1,1,4294000
12,1,1,4275000
13,1,1,4241000
14,1,1,4198000
15,1,1,4209000
16,1,1,4192000
17,1,1,4279999.999999999
18,1,1,4420000
19,1,1,4455000
20,1,1,4356999.999999999
21,1,1,4252000
22,1,1,4265000.000000001
23,1,1,4016000
0,1,1,3755000
1,2,1,3472000
2,2,1,3303000
3,2,1,3224000
4,2,1,3173000
5,2,1,3210000
6,2,1,3413000.0000000005
7,2,1,3713000
8,2,1,4067999.9999999995
9,2,1,4375999.999999999
10,2,1,4595000
11,2,1,4634000
12,2,1,4633000
13,2,1,4601000
14,2,1,4552000
15,2,1,4560000
16,2,1,4536000
17,2,1,4630000
18,2,1,4740000
19,2,1,4728000
20,2,1,4589000
21,2,1,4467000.000000001
22,2,1,4497000
23,2,1,4248000
0,2,1,3974999.9999999995
1,3,1,3681000
2,3,1,3496000
3,3,1,3391000
4,3,1,3344999.9999999995
5,3,1,3360000.0000000005
6,3,1,3575999.9999999995
7,3,1,3889000.0000000005
8,3,1,4218999.999999999
9,3,1,4522000
10,3,1,4752000
11,3,1,4757000
12,3,1,4763000
13,3,1,4752000.000000001
14,3,1,4732000
15,3,1,4766000
16,3,1,4742000
17,3,1,4803000
18,3,1,4895000
19,3,1,4874000
20,3,1,4724000
21,3,1,4599000
22,3,1,4585000
23,3,1,4316000
0,3,1,4046000.0000000005
1,4,1,3731000
2,4,1,3557000
3,4,1,3440000
4,4,1,3391000
5,4,1,3432000
6,4,1,3645000
7,4,1,3957000
8,4,1,4311000
9,4,1,4586000
10,4,1,4826000.000000001
11,4,1,4872000
12,4,1,4874000
13,4,1,4888999.999999999
14,4,1,4835000
15,4,1,4823000
16,4,1,4789000
17,4,1,4828000
18,4,1,4867000
19,4,1,4843999.999999999
20,4,1,4704000
21,4,1,4555000
22,4,1,4524000
23,4,1,4270000
0,4,1,4034000
1,5,1,3752000
2,5,1,3557000
3,5,1,3440000
4,5,1,3370000
5,5,1,3367000
6,5,1,3529000
7,5,1,3726000
8,5,1,3953000
9,5,1,4256000
10,5,1,4543000
11,5,1,4584000
12,5,1,4584000
13,5,1,4544000
14,5,1,4455000
15,5,1,4422000.000000001
16,5,1,4397000
17,5,1,4434000
18,5,1,4551000
19,5,1,4576000
20,5,1,4478999.999999999
21,5,1,4375000
22,5,1,4398000
23,5,1,4144999.9999999995
0,5,1,3943000
1,6,1,3646000
2,6,1,3465000
3,6,1,3359000
4,6,1,3293999.9999999995
5,6,1,3296999.9999999995
6,6,1,3437999.9999999995
7,6,1,3615999.9999999995
8,6,1,3866000
9,6,1,4150000.0000000005
10,6,1,4423999.999999999
11,6,1,4492000
12,6,1,4475000
13,6,1,4459000
14,6,1,4410000
15,6,1,4429000
16,6,1,4397000
17,6,1,4520000
18,6,1,4678000
19,6,1,4726000
20,6,1,4611000
21,6,1,4513000
22,6,1,4520000
23,6,1,4239000
0,6,1,3949000
1,0,1,3647999.9999999995
2,0,1,3485000
3,0,1,3388000
4,0,1,3334000
