hour_of_year,Base_2024,Reference_2025,Reference_2030,Reference_2035,Reference_2040,Reference_2045,Reference_2050,Environmental_2025,Environmental_2030,Environmental_2035,Environmental_2040,Environmental_2045,Environmental_2050
0,3601965.669,3612807.126,4005354.6,4380208.817,4850034.197,5181522.586,5382219.637,3686355.57,4370234.677,5029135.066,5497052.35,5778236.378,5950138.52
1,3447967.137,3458345.078,3834109.567,4192937.257,4642675.711,4959991.637,5152108.081,3528749.03,4183389.552,4814119.297,5262031.233,5531193.512,5695746.146
2,3295968.585,3305889.03,3665088.496,4008097.796,4438010.192,4741337.713,4924984.987,3373189.328,3998970.987,4601895.941,5030062.339,5287358.996,5444657.569
3,3210969.395,3220634.004,3570570.134,3904733.623,4323559.08,4619064.137,4797975.362,3286198.705,3895842.184,4483218.406,4900342.891,5151004.167,5304246.193
4,3193969.557,3203582.998,3551666.461,3884060.789,4300668.857,4594609.422,4772573.437,3268800.58,3875216.423,4459482.899,4874399.002,5123733.201,5276163.918
5,3311968.433,3321937.035,3682880.188,4027554.581,4459553.931,4764353.915,4948892.682,3389564.033,4018383.467,4624235.241,5054480.117,5313025.787,5471087.945
6,3459967.022,3470381.081,3847453.336,4207529.846,4658833.515,4977253.789,5170038.852,3541030.059,4197948.912,4830873.773,5280344.567,5550443.606,5715568.928
7,3671965.002,3683017.148,4083193.252,4465332.253,4944288.054,5282218.472,5486815.799,3757994.906,4455164.279,5126869.507,5603880.13,5890528.59,6065771.417
8,3906962.762,3918722.221,4344508.724,4751103.789,5260711.718,5620268.946,5837960.056,3998498.393,4740285.086,5454977.986,5962516.249,6267509.586,6453967.573
9,4163960.312,4176493.301,4630287.772,5063628.405,5606758.022,5989966.698,6221977.393,4261517.1,5052098.055,5813803.003,6354726.814,6679782.42,6878505.496
10,4201959.95,4214607.313,4672543.04,5109838.27,5657924.402,6044630.179,6278758.167,4300407.025,5098202.696,5866858.842,6412719.038,6740741.05,6941277.641
11,4231959.664,4244697.323,4705902.462,5146319.743,5698318.912,6087785.559,6323585.093,4331109.598,5134601.097,5908745.031,6458502.372,6788866.283,6990834.597
12,4168960.265,4181508.303,4635847.676,5069708.65,5613490.44,5997159.261,6229448.547,4266634.195,5058164.455,5820784.034,6362357.37,6687803.293,6886764.989
13,4070961.199,4083214.272,4526873.564,4950535.839,5481535.04,5856185.021,6083013.921,4166339.124,4939263.012,5683955.818,6212798.477,6530594.196,6724878.933
14,4050961.389,4063154.266,4504633.949,4926214.858,5454605.367,5827414.768,6053129.303,4145870.742,4914997.411,5656031.692,6182276.254,6498510.707,6691840.962
15,4015961.723,4028049.255,4465714.624,4883653.14,5407478.438,5777066.825,6000831.223,4110051.074,4872532.61,5607164.471,6128862.364,6442364.601,6634024.513
16,4085961.056,4098259.277,4543553.275,4968776.576,5501732.295,5877762.711,6105427.384,4181690.41,4957462.212,5704898.912,6235690.145,6554656.813,6749657.411
