hour_of_year,Base_2024,Reference_2025,Reference_2030,Reference_2035,Reference_2040,Reference_2045,Reference_2050,Environmental_2025,Environmental_2030,Environmental_2035,Environmental_2040,Environmental_2045,Environmental_2050
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,7210.5799,11023.79575,13156.2137,15722.01875,18812.19828,22537.21588,7237.53802,12029.33181,16368.53063,22347.87847,30599.50182,42005.39358
7,0,50051.31428,76520.26234,91322.16768,109132.3739,130582.4582,156439.1895,50238.4406,83500.06178,113620.053,155124.9282,212402.5118,291575.0445
8,0,119342.5849,182455.2669,217748.9983,260215.7363,311361.4164,373014.3258,119788.7698,199097.9329,270916.1792,369880.5951,506453.53,695232.8827
9,0,187952.1478,287348.0519,342932.0049,409812.6964,490361.8184,587458.7327,188654.8425,313558.5184,426664.78,582523.433,797611.5884,1094919.417
10,0,240953.2813,368378.1048,439636.3268,525376.8851,628640.2713,753117.8066,241854.1308,401979.7316,546981.1332,746790.7885,1022532.233,1403678.699
11,0,251997.6659,385263.1601,459787.5887,549458.169,657454.7573,787637.8707,252939.807,420404.958,572052.6739,781020.8461,1069401.233,1468018.008
12,0,271911.744,415708.524,496122.2345,592879.019,709410.0216,849880.8362,272928.3376,453627.3972,617259.0513,842740.9022,1153910.506,1584027.912
13,0,258147.667,394665.5045,471008.7011,562867.6912,673499.9354,806860.1667,259112.8009,430664.9376,586013.6149,800081.6536,1095499.962,1503844.975
14,0,265090.2238,405279.5369,483675.8878,578005.31,691612.8692,828559.6562,266081.3139,442247.1295,601773.7141,821598.8435,1124962.056,1544288.995
15,0,258032.1987,394488.9724,470798.0211,562615.9231,673198.682,806499.2618,258996.901,430472.3032,585751.4937,799723.7807,1095009.95,1503172.312
16,0,213954.2902,327101.0693,390374.7554,466508.0215,558200.67,668730.4065,214754.1989,356937.6092,485691.4979,663112.3354,907956.7502,1246395.476
17,0,149564.4184,228659.5007,272890.8739,326111.7168,390209.3221,467474.9649,150123.5933,249516.6881,339521.8965,463547.6608,634705.7734,871290.8458
18,0,100669.4628,153907.1214,183678.5646,219500.6787,262643.7709,314650.0624,101045.8347,167945.767,228526.8602,312006.6557,427210.4952,586452.1945
19,0,50831.08962,77712.41113,92744.92302,110832.6037,132616.8699,158876.4366,51021.13128,84800.95249,115390.1987,157541.6997,215711.6405,296117.6431
20,0,8431.695772,12890.68193,15384.22609,18384.55171,21998.05493,26353.90641,8463.219264,14066.50611,19140.55074,26132.5046,35781.54513,49119.03125
21,0,35.14277516,53.72754769,64.12048219,76.62564977,91.68650284,109.8414166,35.27416308,58.62830856,79.77660597,108.9186278,149.135219,204.7250183
22,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,5065.759379,7744.716443,9242.836759,11045.43117,13216.42243,15833.41622,5084.698681,8451.151129,11499.63508,15700.3981,21497.53771,29510.69393
31,0,39679.68127,60663.73409,72398.3887,86517.96411,103523.1621,124021.8617,39828.03128,66197.17954,90075.7064,122979.9416,168388.4647,231154.8657
32,0,84273.33772,128840.1315,153762.6732,183750.4076,219866.746,263402.7265,84588.40956,140592.2903,191306.4869,261189.8538,357630.3413,490936.2032
33,0,153562.1226,234771.3357,280184.9683,334828.35,400639.2188,479970.0933,154136.2437,256186.0144,348596.9701,475937.8165,651670.8106,894579.5604
34,0,216554.8327,331076.8727,395119.6292,472178.2696,564985.4114,676858.5997,217364.4639,361276.0657,491594.9146,671172.2428,918992.659,1261544.994
35,0,233933.8598,357646.5589,426828.895,510071.6698,610326.7998,731178.0707,234808.4658,390269.3071,531046.5456,725035.3705,992743.9494,1362786.903
36,0,224513.2414,343243.9763,409640.3096,489530.8617,585748.6739,701733.2115,225352.6267,374552.9923,509661.0701,695837.8805,952765.7184,1307906.881
37,0,234252.0733,358133.0552,427409.4981,510765.5056,611157.0097,732172.6712,235127.869,390800.1792,531768.9129,726021.6152,994094.3503,1364640.663
38,0,250980.4869,383708.06,457931.6735,547240.302,654800.9661,784458.6003,251918.825,418708.0093,569743.605,777868.285,1065084.636,1462092.409
39,0,219670.2966,335839.9069,400804.0139,478971.2576,573113.5684,686596.2193,220491.5757,366473.5603,498667.24,680828.0557,932213.7379,1279694.199
40,0,168225.6153,257189.4145,306939.5493,366800.7726,438895.8551,525801.9551,168854.5586,280648.9594,381884.1444,521384.6402,713898.2013,980002.0634
41,0,119932.9791,183357.883,218826.2144,261503.0376,312901.7381,374859.6478,120381.3713,200082.8811,272256.4161,371710.4143,508958.9829,698672.2373
42,0,76612.957,117128.6639,139785.766,167047.6388,199881.0301,239459.624,76899.38906,127812.5607,173916.8764,237447.8997,325122.022,446310.485
43,0,40996.21885,62676.50444,74800.50477,89388.5555,106957.9713,128136.8,41149.49099,68393.54484,93064.34061,127060.3099,173975.4487,238824.3847
44,0,7085.865558,10833.12795,12928.66355,15450.09038,18486.8221,22147.41172,7112.357409,11821.27224,16085.42017,21961.3491,30070.25219,41278.86741
45,0,35.130817,53.70926562,64.09866368,76.59957608,91.65530434,109.8040404,35.26216021,58.60835889,79.74946008,108.8815657,149.0844722,204.6553558
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,6439.480613,9844.911227,11749.28844,14040.70635,16800.42213,20127.08641,6463.555832,10742.91528,14618.08025,19957.99675,27327.19163,37513.33753
55,0,51958.79608,79436.48961,94802.50331,113291.4658,135559.0241,162401.1689,52153.05388,86682.29287,117950.1727,161036.8204,220497.2827,302687.1222
56,0,106389.4122,162651.9872,194115.0173,231972.5121,277566.9564,332528.1992,106787.1691,177488.2961,241511.5532,329734.5965,451484.2157,619773.8868
57,0,177337.6562,271120.2327,323565.1133,386668.7555,462668.9112,554282.3319,178000.6666,295850.4779,402569.1271,549625.7505,752566.9236,1033084.46
58,0,209598.354,320441.5561,382427.0412,457010.2956,546836.1559,655115.5965,210381.9771,349670.6482,475803.2119,649611.9047,889471.4853,1221019.873
59,0,247358.0054,378169.879,451322.1994,539341.8079,645350.0146,773136.2588,248282.8002,412664.6629,561520.3136,766641.0636,1049711.929,1440989.562
60,0,267952.8243,409655.9843,488898.9052,584246.9521,699081.3127,837506.9318,268954.6168,447022.7748,608272.0214,830470.9522,1137110.059,1560965.138
61,0,252327.8125,385767.9001,460389.9644,550178.0237,658316.1002,788669.7688,253271.1878,420955.7378,572802.1301,782044.0751,1070802.274,1469941.284
62,0,239130.9049,365591.9897,436311.2719,521403.3577,623885.7429,747421.8305,240024.9411,398939.4808,542844.2087,741142.6648,1014798.624,1393062.405
63,0,213702.0547,326715.4425,389914.5338,465958.0448,557542.5947,667942.0253,214501.0204,356516.8074,485118.9053,662330.5774,906886.3396,1244926.073
64,0,155817.9042,238220.0564,284300.8017,339746.8784,406524.4891,487020.7105,156400.459,259949.3104,353717.7554,482929.2007,661243.66,907720.6666
65,0,133329.4778,203838.9354,243269.075,290712.8939,347852.8229,416731.4232,133827.9553,222432.1138,302667.4235,413230.4208,565809.6372,776713.8382
