hour_of_year,Reference_2025,Reference_2030,Reference_2035,Reference_2040,Reference_2045,Environmental_2025,Environmental_2030,Environmental_2035,Environmental_2040,Environmental_2045
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2237.073568989247,4573.9139906103255,6602.841549461677,7131.86367817704,0.0,1443.7108340336295,11059.80199199083,7381.729903932068,4837.6913452277695,7172.681428187914
7,49842.66566960231,143419.19522410602,106728.52044527297,231695.55412262242,43914.95152142944,38100.347778401396,247920.37030113078,211504.62656384514,150385.4863857853,241449.88292894658
8,105478.02986310983,303933.03149551374,180264.38133317107,534012.6307421277,134822.0910719374,70806.86895860075,484000.0887031683,490721.4110825005,434514.37946226966,539144.0559852715
9,109476.10539221909,334938.7676622561,214922.31315362832,841069.7597591138,152501.55466883676,76785.5295691668,550539.4890031981,783974.8314342697,509499.92489464284,709983.4025233396
10,107382.03210160517,331661.979618301,234340.46634747722,930488.326537847,199010.44514509712,76331.57983993077,568274.1114918593,868615.4516475049,588332.965232657,766832.7751361253
11,107915.44344639289,333644.3735365697,226210.56421098788,965061.042239634,178240.49069058374,76586.61270858636,562523.3079253705,906952.5039630292,574303.8481550856,815624.6366062508
12,111471.30962505745,337162.28526971693,224857.2320229434,936200.5456816709,148753.65722721166,77039.18831059645,564310.9827264205,882632.2561344046,562404.0319872603,799550.7335481994
13,76634.25838286837,309026.1377904882,179344.68959399263,972453.2790994515,254650.03803118743,60949.271210330204,469244.4649895283,924565.5665746932,711030.0286695161,754800.3615138879
14,84492.80033110961,341988.31361828145,197036.6827772308,870602.2101699692,242881.17618570608,66681.58556230339,522718.1376009658,828007.5690627542,698830.626873437,752943.9483122024
15,85404.45519401872,318423.45233475644,186617.65152941094,790174.4819977162,243852.60284115945,68620.53809837962,491775.6417451337,748834.2478625653,686509.8556755409,640561.6279757706
16,72226.71253010642,281287.5335067699,179099.23678207953,783087.5659629157,218988.86039152453,60090.52863349884,447375.2830750057,743467.4545917537,611998.706320452,581060.7088891921
17,64009.78011840217,239154.9800775726,159132.64423075152,741262.5616507404,209936.76971377624,50891.95447102073,387420.8332016439,710746.7639157011,570211.7844546508,544823.4497288094
18,44950.4465715049,171707.3318201821,146149.50610341033,671945.2495144447,174316.70155521328,43840.0499930079,306765.0397728845,649762.4816793235,452804.31964765314,524106.1719795276
19,29664.589246683496,112330.4019982793,83853.40478211251,477193.8980288517,91621.94088433147,26485.042295948308,189783.19635898664,469445.73480220715,241384.4205287672,410784.70800601353
20,3732.9832127610075,13322.59937470108,13134.878561955837,136781.59132657127,21573.46908238665,3944.543703609899,25033.796951088316,134689.53331146037,57826.393729175725,120733.11629905921
21,0.0,0.0,0.0,2909.193788229826,75.40714655680439,0.0,0.0,2909.193788229827,191.770374725942,2332.062138470631
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1998.5244064703643,3502.862049140004,5394.214665217447,5005.083835734374,0.0,1323.0457297844325,8753.759578198613,4867.435597544922,3052.850904361836,5621.582517322592
31,47624.60809669851,147434.0904407802,119727.33580870964,248230.5785767315,77108.75941303212,38031.110664342894,261257.82672551204,252251.2254340745,227526.1208535787,220136.98320849275
32,89378.24810405743,276204.7577742969,226297.97635503107,570534.0776252229,164110.62672602822,69361.88510987934,492987.60117136233,580505.5066881202,486042.5317827722,524406.1038314729
33,97400.76257168391,299910.8799556696,248121.09114004122,805186.1028599049,205987.21757635512,76915.97475268693,535492.2147727803,814080.2510712129,560577.3928396057,738676.0689171781
34,98231.90015518392,291932.9724325052,250509.16759232772,804746.8991808819,223717.0566517533,79166.98362051843,527722.3198640143,812342.7229236386,577004.7866577138,731843.8652915074
35,93290.74139083913,289246.69513141626,250857.7936487651,787865.986305682,207970.25990319197,76612.8291777258,526579.277774696,792606.2552117264,584255.5981032464,730618.8529935349
36,87777.03292753607,323586.82035268476,243691.96011360976,800304.5351293475,206493.88863592577,72623.48049332647,551648.6311219105,802626.3699601727,596795.9243506383,739868.382815818
37,88018.22434156154,289320.03494081076,242490.00554449682,789111.1621408988,201286.50583943108,74678.48144390006,517100.1641923264,785833.4555111064,586487.3518562552,684204.0256164442
38,88304.86759839089,314198.5975968484,231117.21879020907,791138.695384888,205745.44063617347,67554.7963902851,532665.3579081958,791714.5983367227,572716.6931289721,723629.2382819159
39,83308.97116176586,286471.13041741966,224525.00751908784,699640.0546846008,205237.51792076265,70244.4805569509,499363.51517675706,700385.9910386914,540096.78545849,638413.8640751273
40,80621.59064280588,308114.9659264264,209524.91359908404,618366.2916266294,199980.07919921697,62843.040375663084,502570.16038585856,626920.5369191543,529302.2699176735,573356.8823373402
41,76623.65056073164,294503.4825533116,203517.56972687104,599447.5364721608,162992.13905590298,60913.94372417337,486792.7005070962,609019.9400966156,449151.3700817579,573961.1961672998
42,63697.50504750974,239137.55207819742,166427.52734325672,435233.47803678527,129011.10071304554,50503.129178478266,397129.62437341205,442917.4991248584,359847.86831812764,425900.2205932054
43,34342.80534190901,140507.28809299937,91156.46919542573,244741.70066018993,65237.52632300279,27195.416743265483,224896.7836037895,249923.1673069324,203806.8324435288,232599.44873014354
44,3801.1178701905483,14827.839363145566,13685.140951391517,58860.03666922348,9191.449233161486,3652.771888932223,27375.85748481795,58995.448325213416,27123.774882384692,48727.44740922749
45,0.0,0.0,0.0,554.693257059461,0.0,0.0,0.0,554.693257059461,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2078.2174975552452,3749.983452152115,5149.909465594398,4650.574376948836,0.0,1378.6929882851161,8786.771451580807,4026.7715657999734,3595.7127046909127,4977.694378482548
55,45762.28462233808,156718.18460981624,113736.79045893207,252794.95537371133,104089.95676388552,27605.594819477734,268640.2302994477,250690.4603486828,214178.5420680514,168895.58037894045
56,86400.03597753808,306060.81277965906,212909.38987540183,463512.6554412417,211440.3919822927,50786.96603548914,517221.4047364619,466888.3098075432,461906.7919369519,333507.50944921386
57,100565.33092724998,316595.9212002022,237252.3560778266,596950.7015737528,229116.71752578035,64470.00792561575,552851.0183013981,588747.4714784231,559137.4382763135,467939.3160370315
58,101037.9855047148,297584.5801478357,248554.50234720428,631621.6254429705,247818.30424612947,69951.5609640517,545836.5974315014,626944.4014322135,596831.350416316,544557.1213063021
59,95378.0678701021,286084.98774427606,236498.16326018536,698595.0085511564,249817.38390498748,68546.78327123426,517219.76119972777,687781.9352222297,630814.7294416471,583104.1969649475
60,94911.89510364532,281317.2348055604,243986.84218817865,629784.5560355589,243007.64666542114,71488.32231571709,520238.9350616515,621515.6035507248,627054.4994206835,569868.0685994492
