hour_of_year,Base_2024,Environmental_2025,Environmental_2030,Environmental_2035,Environmental_2040,Environmental_2045,Reference_2025,Reference_2030,Reference_2035,Reference_2040,Reference_2045
1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0
6,0,1443.710834,12503.51283,19885.24273,24722.93408,31895.6155,2237.073569,6810.98756,13413.82911,20545.69279,20545.69279
7,0,38100.34778,286020.7181,497525.3446,647910.831,889360.714,49842.66567,193261.8609,299990.3813,531685.9355,575600.887
8,0,70806.86896,554806.9577,1045528.369,1480042.748,2019186.804,105478.0299,409411.0614,589675.4427,1123688.073,1258510.165
9,0,76785.52957,627325.0186,1411299.85,1920799.775,2630783.177,109476.1054,444414.8731,659337.1862,1500406.946,1652908.501
10,0,76331.57984,644605.6913,1513221.143,2101554.108,2868386.883,107382.0321,439044.0117,673384.4781,1603872.805,1802883.25
11,0,76586.61271,639109.9206,1546062.425,2120366.273,2935990.909,107915.4434,441559.817,667770.3812,1632831.423,1811071.914
12,0,77039.18831,641350.171,1523982.427,2086386.459,2885937.193,111471.3096,448633.5949,673490.8269,1609691.373,1758445.03
13,0,60949.27121,530193.7362,1454759.303,2165789.331,2920589.693,76634.25838,385660.3962,565005.0858,1537458.365,1792108.403
14,0,66681.58556,589399.7232,1417407.292,2116237.919,2869181.867,84492.80033,426481.1139,623517.7967,1494120.007,1737001.183
15,0,68620.5381,560396.1798,1309230.428,1995740.283,2636301.911,85404.45519,403827.9075,590445.5591,1380620.041,1624472.644
16,0,60090.52863,507465.8117,1250933.266,1862931.973,2443992.682,72226.71253,353514.246,532613.4828,1315701.049,1534689.909
17,0,50891.95447,438312.7877,1149059.552,1719271.336,2264094.786,64009.78012,303164.7602,462297.4044,1203559.966,1413496.736
18,0,43840.04999,350605.0898,1000367.571,1453171.891,1977278.063,44950.44657,216657.7784,362807.2845,1034752.534,1209069.236
19,0,26485.0423,216268.2387,685713.9735,927098.394,1337883.102,29664.58925,141994.9912,225848.396,703042.2941,794664.2349
