hyear,KaiweraDowns,mill_creek,te_apiti,te_rere_hau,te_uku,turitea,twf_12,twf_3,waipipi,west_wind,white_hill,harapaki,wind_kWh
1,36261,31383,50095,22573,47679,109632,51710,69353,112275,36326,14311,4145,585743
2,34485,16389,47434,22218,49019,144146,49920,67876,108398,3450,12849,2965,559149
3,36355,279,48081,17244,51431,113916,45640,59035,81485,2407,14291,2161,472325
4,35957,453,35131,11190,54578,103018,27148,43432,89965,859,15925,3043,420699
5,36453,113,18881,8446,55945,88258,16857,31866,114497,2290,23140,10455,407201
6,36360,2746,27548,13818,55147,129777,24949,40595,49451,15723,28182,10744,435040
7,36227,11647,43341,16016,51587,112932,40108,49970,96544,29801,32296,4323,524792
8,34958,9042,29404,5604,52457,56062,26735,35142,103148,21536,34525,5777,414390
9,34264,1808,33731,6208,49699,36077,25885,36076,121919,1985,35889,9642,393183
10,31317,409,23386,1375,54195,28366,8488,17422,113907,740,37110,8675,325390
11,22690,88,45447,10873,57007,78773,34412,46096,41975,1486,40956,12701,392504
12,20153,61,42535,10770,57274,86410,36136,47165,9488,0,41243,28777,380012
13,32561,1741,43286,9738,57170,81739,35396,44545,24838,58,41970,36029,409071
14,34546,709,39099,5057,55284,54453,29649,34360,68299,240,39513,23821,385030
15,35911,1702,30809,4829,44208,60250,21869,27802,90355,1460,38551,5586,363332
16,35731,5161,36166,10263,15717,102306,30967,41086,83626,2272,39907,14966,418168
17,34793,10001,39796,10957,15872,101926,38659,46720,70993,7528,43255,8609,429109
18,35795,6049,36604,10813,34568,83809,33619,43804,39777,6745,41163,2383,375129
19,35341,7257,37257,8494,37541,54273,31404,35477,35459,10594,36318,1987,331402
20,34672,9026,26609,7901,36056,62907,26439,33893,37684,18244,33220,1873,328524
21,34511,3767,10291,4328,39922,42571,14431,23461,36626,12842,35933,2369,261052
22,32333,2631,2211,1109,48725,28029,2511,9149,34603,10866,37156,1385,210708
23,26483,2006,495,1667,45902,37735,2770,10146,24130,8990,39048,2615,201987
24,22501,4536,4686,1985,47181,32607,6329,11958,35296,14186,41872,2981,226118
25,24314,6436,7315,2153,45242,35222,7063,13545,52076,19000,44508,3144,260018
26,27713,6863,15505,3818,41186,47963,13178,20672,47435,19186,44736,5886,294141
27,25134,7800,22697,5273,27116,58687,17999,26428,34705,21455,43836,24447,315577
28,24255,8835,18253,4205,15256,46256,15573,23873,32962,27187,43109,30643,290407
29,18345,8805,20545,4438,11893,52080,16420,25280,32658,25047,43379,36343,295233
30,16122,10921,21832,4493,6603,56345,18656,27679,38263,25561,42665,37958,307098
31,13604,14371,12846,3098,8644,44603,14151,21664,50250,34687,37935,47462,303315
32,25717,23129,7496,1981,3094,35756,8682,16551,46543,51554,32729,52869,306101
33,24050,12822,10574,2601,253,43857,11404,18262,58568,37748,34559,52419,307117
34,24879,16348,11277,6623,964,61676,18954,24955,69002,40016,38747,65709,379150
35,26688,17521,14550,5333,311,61448,19477,23014,72474,43093,31206,36747,351862
36,20774,25456,17272,4458,2384,64999,16360,19694,89107,48106,22298,27269,358177
37,25243,34601,12696,4720,5885,82377,12149,18822,108136,62566,16245,33098,416538
38,34167,35437,16240,7929,8104,119555,19081,26169,95063,68973,8667,42596,481981
39,30704,31329,25416,12513,12784,143351,28258,39132,75563,69082,474,46156,514762
40,31041,39762,45366,17869,16000,160772,42364,57154,89474,84409,292,48771,633274
41,34718,32908,49535,16642,17387,155543,43445,59727,89010,81109,1128,55408,636560
42,38411,35258,40031,13920,19313,138119,38679,52823,86515,79321,6960,54057,603407
43,39625,36061,31083,11117,27204,118719,28827,41005,85567,79617,12498,64569,575892
44,22269,29377,20528,9112,22148,96844,21375,34668,68585,73213,6190,83435,487744
45,15536,25271,9513,4549,17644,71456,11091,19804,62398,68456,3477,108011,417206
46,10486,21724,3475,2894,21334,60778,7555,15253,49009,64208,1546,78380,336642
47,13081,15557,6412,3735,20989,65547,6059,15171,43920,56154,43,118170,364838
48,5033,15972,9098,1708,18013,52084,5942,12879,60134,44893,73,71586,297415
49,7890,11838,6049,477,14534,33486,4982,9962,75215,36293,0,108721,309447
50,5851,9784,2687,252,10702,16582,1646,7824,53552,29230,0,143404,281514
51,7066,4729,22,10,5068,9079,87,2813,42478,19094,0,160379,250825
52,3513,2101,0,0,2719,3337,0,350,42466,7560,5,165755,227806
53,5922,1804,0,0,2537,85,0,29,33758,4227,0,154005,202367
54,4516,376,453,0,713,5377,19,2442,32553,1742,0,85545,133736
55,1111,497,9092,41,355,10410,3469,9794,33963,755,0,130657,200144
56,29,0,5987,206,31,6112,5043,11205,22559,3,0,57536,108711
57,0,58,379,2,0,3653,665,4904,18252,0,0,37599,65512
58,0,3,16,0,51,1642,14,1122,30165,0,0,87922,120935
59,853,1190,290,0,3127,4862,85,1972,52388,45,0,78679,143491
60,3020,868,1,0,1006,2159,2,490,23779,0,96,15196,46617
61,3619,572,0,0,3103,7,0,0,27696,30,25,15014,50066
62,2649,848,1,0,2179,114,0,99,31661,230,51,20981,58813
63,5391,4,0,0,5053,258,0,0,32445,0,697,18248,62096
64,9500,0,0,0,4640,1315,0,0,33371,0,8340,20817,77983
65,12803,0,0,0,6527,1311,0,0,39153,0,8038,65155,132987
66,16036,58,0,0,13360,8804,0,918,55712,0,8885,141611,245384
67,23215,182,347,4,15088,11093,180,3565,41004,651,9377,98533,203239
68,17921,781,139,58,16056,11043,1,3487,32605,2632,4658,79832,169213
69,15719,3119,1,71,12921,8330,96,3470,21894,6354,1011,47558,120544
70,17459,8711,0,328,10338,10502,182,3877,20399,22939,1192,37509,133436
71,11275,15710,1726,767,8979,18443,1948,7286,16863,46281,199,22263,151740
72,485,23320,1370,308,7092,8906,700,5528,22568,58377,1530,10656,140840
73,0,18016,90,0,5012,23503,12,3146,22290,50404,15358,7200,145031
74,0,20271,7036,937,2738,52604,5192,9665,8225,57253,24708,4479,193108
75,1191,21634,16056,3003,1565,58455,11469,16481,15270,63765,25960,6545,241394
76,3114,29680,20976,4391,2328,65152,17767,21641,23518,72196,34756,4698,300217
77,4576,32920,24448,6929,3210,89456,20788,29377,31694,77024,36137,2978,359537
78,2733,38379,28505,8971,2882,110760,24936,37335,21062,88130,37191,2931,403815
79,2539,41876,48598,10218,151,113818,34081,48203,18872,96956,26769,3479,445560
80,4786,38222,49381,11647,0,103431,40204,51566,14511,96440,27211,3312,440711
81,4642,33044,49547,11594,0,93406,46662,50122,14296,91352,28156,9758,432579
82,6518,37831,43365,11439,0,93291,37965,45452,12729,96839,39962,33545,458936
83,6567,41626,40817,11842,0,107067,35126,41500,21284,96951,39811,27933,470524
84,7206,42596,40391,11595,0,110401,34004,39983,26555,96979,37087,27852,474649
85,22460,46840,36102,10488,483,107694,33638,37092,35059,96995,42754,20251,489856
86,19786,49749,38492,13371,348,133335,34814,42940,55762,96981,42560,37487,565625
87,15140,51122,27306,9692,1063,112028,26968,35981,73547,96990,43689,41196,534722
88,25850,52671,36808,11628,6971,108612,32277,44135,92554,96978,43142,26141,577767
89,26221,54146,39481,11685,9422,121378,34657,46865,107994,96972,41802,26484,617107
90,33174,55685,37090,12569,11412,136690,33624,46899,121026,96975,40698,26443,652285
91,39066,55394,34367,15845,7397,155816,37581,52520,121403,96979,30441,25416,672225
92,38819,55279,42656,18376,6482,169282,46388,62173,110863,96987,21998,15159,684462
93,37768,53380,42153,19495,6064,181185,46998,58427,91437,96990,3467,4223,641587
94,37619,53516,42257,20764,3529,181234,44277,55669,60538,96988,3554,3143,603088
95,37819,53811,48483,23759,4798,193668,47739,60543,56046,96980,5812,5873,635331
96,39569,55340,57698,27158,3329,200442,56219,72728,46178,96999,6529,3062,665251
97,39909,56755,64917,30079,2896,200584,59384,75928,48497,96994,16022,2399,694364
