hyear,2030,2035,2040
1,72668,98316,31383
2,69652,65318,16389
3,65325,68129,279
4,46321,71362,453
5,27327,81375,113
6,41366,99052,2746
7,59357,113684,11647
8,35008,108518,9042
9,39939,87573,1808
10,24761,92045,409
11,56320,99449,88
12,53305,98517,61
13,53024,99198,1741
14,44156,95037,709
15,35638,84219,1702
16,46429,57896,5161
17,50753,66655,10001
18,47417,82476,6049
19,45751,84453,7257
20,34510,87520,9026
21,14619,88697,3767
22,3320,96747,2631
23,2162,93940,2006
24,6671,103239,4536
25,9468,108750,6436
26,19323,105108,6863
27,27970,92407,7800
28,22458,85552,8835
29,24983,80319,8805
30,26325,74829,10921
31,15944,81266,14371
32,9477,87377,23129
33,13175,72560,12822
34,17900,79727,16348
35,19883,74610,17521
36,21730,72788,25456
37,17416,84696,34601
38,24169,85744,35437
39,37929,82340,31329
40,63235,100701,39762
41,66177,99624,32908
42,53951,105594,35258
43,42200,119319,36061
44,29640,101551,29377
45,14062,89577,25271
46,6369,87088,21724
47,10147,77186,15557
48,10806,62979,15972
49,6526,50827,11838
50,2939,39932,9784
51,32,24162,4729
52,0,10284,2101
53,0,6764,1804
54,453,2455,376
55,9133,1110,497
56,6193,34,0
57,381,0,58
58,16,51,3
59,290,3172,1190
60,1,1102,868
61,0,3158,572
62,1,2460,848
63,0,5750,4
64,0,12980,0
65,0,14565,0
66,0,22245,58
67,351,25116,182
68,197,23346,781
69,72,20286,3119
70,328,34469,8711
71,2493,55459,15710
72,1678,66999,23320
73,90,70774,18016
74,7973,84699,20271
75,19059,91290,21634
76,25367,109280,29680
77,31377,116371,32920
78,37476,128203,38379
79,58816,123876,41876
80,61028,123651,38222
81,61141,119508,33044
82,54804,136801,37831
83,52659,136762,41626
84,51986,134066,42596
85,46590,140232,46840
86,51863,139889,49749
87,36998,141742,51122
88,48436,147091,52671
89,51166,148196,54146
90,49659,149085,55685
91,50212,134817,55394
92,61032,125467,55279
93,61648,106521,53380
94,63021,104071,53516
95,72242,107590,53811
96,84856,106857,55340
97,94996,115912,56755
98,88789,114852,53106
99,82090,116160,51053
100,60483,116120,45012
101,59887,112190,48813
102,49345,112936,49257
103,83105,105120,34322
104,77538,108802,44843
105,86374,103417,48871
106,84347,101896,39125
107,61765,84492,43684
108,57823,50711,26311
109,31315,23986,15352
110,11691,10942,5756
111,11787,10195,6547
112,3351,14784,7939
113,1847,9654,3950
114,886,11307,2883
115,0,9944,326
116,0,14181,0
117,0,7825,0
118,2076,2149,0
119,19679,1327,0
120,9608,1978,0
121,5958,3873,0
122,254,4575,0
123,0,6515,0
124,0,13134,0
125,0,9476,39
126,0,20661,222
127,716,42920,2164
128,683,82799,7920
129,0,100470,34898
130,0,65334,34932
131,0,51302,23715
132,251,54172,29740
133,22657,63156,24136
134,48941,82030,31375
135,36980,98503,35181
136,38454,101107,34638
137,39490,97478,26597
138,26441,100837,23243
139,30897,97536,12230
140,32145,82034,10180
141,36196,61356,9634
142,35149,51736,7757
143,35685,36401,4563
144,35077,14904,2040
145,26480,37405,3397
146,13242,51701,1772
147,8946,45566,774
148,6262,29342,2093
149,3929,17315,285
150,3224,14302,506
151,1921,4551,2
152,485,210,0
153,40,78,0
154,0,14,0
155,0,0,0
156,0,0,34
