hour_of_year,Reference_2025,Environmental_2025,Reference_2030,Environmental_2030,Reference_2035,Environmental_2035,Reference_2040,Environmental_2040,Reference_2045,Environmental_2045
1,2355.0371668292382,2355.0371668292382,240108.5155895337,247629.6390834458,9215.463738330951,149394.2937650466,130029.7954101876,108626.70509383387,16331.211490376956,27567.30823973433
2,1684.9391499159253,1684.9391499159253,301439.8379407135,325863.6373234781,27048.537300778342,318975.1625336287,248418.81884309617,182957.95823981956,57341.61453279246,70400.51061613215
3,1227.5992873979417,1227.5992873979417,323587.3752556272,373761.6688139182,54629.158429322895,593581.6673260088,430321.3750509057,296531.08175646263,129033.4407362513,151225.8182934983
4,1729.0260607438486,1729.0260607438486,341089.15369591233,385444.5667900273,48356.507337236995,457857.716812903,340664.5024973648,244809.02346564678,99936.30161847181,115165.0147176954
5,5940.289261221735,5940.289261221735,364415.50764487684,434415.3741797506,77785.35961176243,604519.6744479567,433932.68081380246,298703.1826421876,144042.9863524016,161166.31080936897
6,6104.738458002027,6104.738458002027,358991.43627316126,424645.53232046927,73373.92979235972,626974.1970297972,450779.2270160714,312018.78143093165,143042.820344059,167793.64590928168
7,2456.237175394847,2456.237175394847,332578.5847832519,385562.55275814113,58270.048774579795,624340.8439723566,450599.67791595776,307763.78914332396,138476.48433259415,156642.59763999624
8,3282.630144514676,3282.630144514676,346419.9313284076,407460.5784818169,67350.90752620161,702656.1609394563,500131.2681177277,346870.28083371744,169588.66177832644,184005.69675135598
9,5478.607369182054,5478.607369182054,383125.652535325,428916.8228986887,51531.30035907128,405880.91456338944,303240.4532314095,260205.18622735832,108739.19613937355,130967.24922875836
10,4929.1821038812595,4929.1821038812595,378318.7317364126,425488.71592365816,52462.19624308002,318095.388247198,246173.8055675501,204425.05630126974,77034.55618127626,96032.85924679643
11,7216.6969609051375,7216.6969609051375,341891.40223157924,394049.3588843163,59391.42686304493,494083.77132701466,361579.021412218,266674.2474024529,109603.53081583622,139568.25022744935
12,16350.532640150876,16350.532640150876,340549.8471007013,391767.5397163159,63179.73379853004,571131.180060927,410752.23584226216,308817.56920209667,125874.91741892486,167514.09217034938
13,20471.220680639653,20471.220680639653,323188.3124753507,381163.27502349357,72649.34374076097,674427.532440823,476308.55386379577,390909.2362069541,148726.93220546728,245532.81251915914
14,13534.8431408992,13534.8431408992,320880.903077864,395812.28882018494,86980.50806467154,665936.9962786797,467027.6422974578,387722.8968322877,158301.0298389505,261960.96406781432
15,3173.9465356033165,3173.9465356033165,435148.90743181837,539123.9427932908,112068.2991970059,624973.6171038647,447952.3062416356,368470.58906636614,159878.08442806706,249958.1780372603
16,8503.23050084753,8503.23050084753,384488.5482926905,467564.9088708791,93065.39606634897,705737.4227723483,501523.26311586774,389173.4482556223,167122.91479432437,245441.10834131905
17,4891.731420575483,4891.731420575483,367877.48860967706,444469.11521318235,84459.28672977826,700903.8191037627,499434.66502999386,372468.6510257825,163735.59060480303,225520.60980736042
18,1354.224223978773,1354.224223978773,261988.2504330459,355879.8203447099,101536.45330159922,890356.3200170011,609776.3641297021,428810.0907233408,225216.34210133975,288354.4794392513
19,1128.8180729624908,1128.8180729624908,218726.85295844186,295332.25122624624,83130.10614960369,824547.2133566677,565385.539915611,378618.1150767274,202663.66804540253,242501.63242251665
20,1064.3154925349138,1064.3154925349138,314058.709369305,366502.99150598655,57222.34481779754,690975.8868778677,494409.3684577525,338270.3153086657,153221.67905937866,178501.99175974898
21,1346.2986137107177,1346.2986137107177,315800.9707524167,369475.19387153664,58652.09215751068,690784.7594909418,493787.52519215265,345282.1433735227,154638.8193559289,186894.8693904683
22,786.6625795096209,786.6625795096209,308632.0930399864,364743.5685631415,61104.799491822036,747541.6076728647,531662.6753285531,366589.276714441,165866.84468747777,201712.4186269448
23,1485.9609582134078,1485.9609582134078,310652.5785414522,367073.7983595593,61822.80858824463,763757.3888961815,542578.5497545542,364441.80451033707,169488.70467694663,195429.35788778632
24,1693.6875813652673,1693.6875813652673,293171.0402924686,338419.962183884,49786.56423746853,615363.5190331662,442443.5765420655,308006.9860916691,133797.21113216586,161349.64755310534
25,1786.088917491418,1786.088917491418,209166.62337817732,246671.53151267502,41498.338357197805,510518.8929657977,362510.71103263216,251268.4871114699,113596.50880817902,138310.38034758676
26,3344.452081799852,3344.452081799852,289460.56652464817,346066.23054970126,62982.30157041579,768558.9436421348,542528.9772403587,367840.3140881053,171563.71662900882,204142.51465684955
27,13890.508473061156,13890.508473061156,312766.21355874947,378584.96217281575,78213.56620727677,881612.2702623532,615835.4574991125,423321.3358097588,198867.4569931015,242731.89260346626
28,17411.0542918969,17411.0542918969,299790.5859434169,350641.1065309748,63225.82154397657,520373.0557844796,370173.51807319204,290438.7786971671,119717.2736965985,169704.75531318475
29,20649.476316351615,20649.476316351615,229362.65326452447,274401.92940576625,58261.966434830436,325364.4630767462,229243.33096348855,218382.03223527008,78698.95703015405,150163.4937254493
30,21567.095779898515,21567.095779898515,297325.8345825897,359839.9515249269,77076.963690567,354475.47571244754,251583.51931873144,228982.48558560899,91432.45929328658,155332.57266367195
31,26967.16852332167,26967.16852332167,339268.79131219786,399324.24343877326,77395.59101810146,445112.8263746479,316753.9093612435,249868.96889404618,109295.17701542085,142995.36496076966
32,30038.93375983744,30038.93375983744,235244.79288332738,268188.19662682136,50179.718026066424,307768.422572443,217809.2311650691,216519.90750975697,69903.79035584934,138218.17498169083
33,29783.686903399434,29783.686903399434,100891.9521658264,123387.04715584005,38733.37952077555,131487.60279054934,84093.20978440286,128506.90339793167,35112.481257929176,108686.5614163232
34,37334.55037421339,37334.55037421339,203812.47095781856,255228.78650179732,72732.58085229623,124096.58827609468,80418.06804189057,75828.89307801696,42470.690482574624,57576.387380358494
35,20878.74364013003,20878.74364013003,341773.10735570895,424298.4261676596,97075.34677142907,136539.28924713522,101530.89827140508,88847.90997973921,58150.53259237548,62860.803938128476
36,15493.685890786075,15493.685890786075,383982.34158505657,427113.8677329816,53225.14677584414,229062.8860320936,183430.3400998993,145252.47646268425,56225.82111301415,47639.82722626971
37,18805.940736266402,18805.940736266402,372353.03287436627,412230.12855373265,51553.851769248286,257041.63560192243,203652.995772053,160784.9677645669,49919.0608692557,59805.307211499094
38,24202.452784193094,24202.452784193094,382195.4996746968,420908.92916349426,52878.4712844781,211181.562905907,171522.04709560072,139043.4986463139,40921.33378184333,43207.66897842219
39,26225.004573470258,26225.004573470258,557046.5020348699,676361.5496008552,138615.76529907068,307477.2608945483,230075.60605775355,180601.54874271955,107881.38851306005,103731.89971479875
40,27710.520830658155,27710.520830658155,702822.7261407431,893558.5418111199,214556.33538578343,431133.15909892786,308960.6559666246,227670.27800405916,168308.09593841707,163252.54449245936
41,31481.8539781502,31481.8539781502,847938.8902527819,1115907.0090158207,297803.56374796113,575989.985950226,401240.04196684214,285848.01251677715,229843.43044583322,237676.65369039195
42,30714.18217906458,30714.18217906458,736193.9922399555,960286.7498757754,251455.3210420999,571123.6802836263,400308.2752304739,278133.87439926947,201541.46219074205,214800.05675412563
43,36686.87084579724,36686.87084579724,616314.7778558293,808986.3566295025,222150.79301476257,773058.8972980598,531486.0173364114,366374.36295174994,230094.84170216587,263130.5508667876
44,47406.08940668546,47406.08940668546,427018.9531328285,548251.5446517374,151892.13827212751,497469.72792029,338346.54770648165,230741.68694833538,143137.8238788151,155331.1511346436
45,61369.90360988647,61369.90360988647,591899.7010867321,781957.8161457258,231266.70982142608,608129.6513095022,405599.07758382085,273965.4815468592,203746.8030693209,206066.96579783934
46,44533.95349007407,44533.95349007407,582492.10945276,778177.494301833,229190.3775330631,746967.4444736643,499101.3250115546,340269.7933366182,254057.837779342,249650.57655722334
47,67141.89668018479,67141.89668018479,840901.6454728551,1105410.8353134147,312284.83473824814,692203.727540931,459251.69696653285,330358.31926380366,285619.0325342196,255023.124628608
