hour_of_year,Base_2024,Environmental_2025,Environmental_2030,Environmental_2035,Environmental_2040,Environmental_2045,Reference_2025,Reference_2030,Reference_2035,Reference_2040,Reference_2045
1,0,2355.037167,249984.6763,399378.97,508005.6751,535572.9833,2355.037167,242463.5528,251679.0165,381708.8119,398040.0234
2,0,1684.93915,327548.5765,646523.739,829481.6972,899882.2079,1684.93915,303124.7771,330173.3144,578592.1332,635933.7478
3,0,1227.599287,374989.2681,968570.9354,1265102.017,1416327.835,1227.599287,324814.9745,379444.133,809765.508,938798.9488
4,0,1729.026061,387173.5929,845031.3097,1089840.333,1205005.348,1729.026061,342818.1798,391174.6871,731839.1896,831775.4912
5,0,5940.289261,440355.6634,1044875.338,1343578.521,1504744.831,5940.289261,370355.7969,448141.1565,882073.8373,1026116.824
6,0,6104.738458,430750.2708,1057724.468,1369743.249,1537536.895,6104.738458,365096.1747,438470.1045,889249.3315,1032292.152
7,0,2456.237175,388018.7899,1012359.634,1320123.423,1476766.021,2456.237175,335034.822,393304.8707,843904.5486,982381.033
8,0,3282.630145,410743.2086,1113399.37,1460269.65,1644275.347,3282.630145,349702.5615,417053.469,917184.7371,1086773.399
9,0,5478.607369,434395.4303,840276.3448,1100481.531,1231448.78,5478.607369,388604.2599,440135.5603,743376.0135,852115.2096
10,0,4929.182104,430417.898,748513.2863,952938.3426,1048971.202,4929.182104,383247.9138,435710.1101,681883.9157,758918.4718
11,0,7216.696961,401266.0558,895349.8272,1162024.075,1301592.325,7216.696961,349108.0992,408499.5261,770078.5475,879682.0783
12,0,16350.53264,408118.0724,979249.2524,1288066.822,1455580.914,16350.53264,356900.3797,420080.1135,830832.3494,956707.2668
13,0,20471.22068,401634.4957,1076062.028,1466971.264,1712504.077,20471.22068,343659.5332,416308.8769,892617.4308,1041344.363
14,0,13534.84314,409347.132,1075284.128,1463007.025,1724967.989,13534.84314,334415.7462,421396.2543,888423.8966,1046724.926
15,0,3173.946536,542297.8893,1167271.506,1535742.095,1785700.274,3173.946536,438322.854,550391.1532,998343.4594,1158221.544
16,0,8503.230501,476068.1394,1181805.562,1570979.01,1816420.119,8503.230501,392991.7788,486057.1749,987580.438,1154703.353
17,0,4891.731421,449360.8466,1150264.666,1522733.317,1748253.927,4891.731421,372769.22,457228.5068,956663.1718,1120398.762
18,0,1354.224224,357234.0446,1247590.365,1676400.455,1964754.935,1354.224224,263342.4747,364878.928,974655.2921,1199871.634
19,0,1128.818073,296461.0693,1121008.283,1499626.398,1742128.03,1128.818073,219855.671,302985.7772,868371.3171,1071034.985
20,0,1064.315493,367567.307,1058543.194,1396813.509,1575315.501,1064.315493,315123.0249,372345.3697,866754.7381,1019976.417
21,0,1346.298614,370821.4925,1061606.252,1406888.395,1593783.265,1346.298614,317147.2694,375799.3615,869586.8867,1024225.706
22,0,786.6625795,365530.2311,1113071.839,1479661.116,1681373.534,786.6625795,309418.7556,370523.5551,902186.2304,1068053.075
23,0,1485.960958,368559.7593,1132317.148,1496758.953,1692188.311,1485.960958,312138.5395,373961.3481,916539.8978,1086028.603
24,0,1693.687581,340113.6498,955477.1688,1263484.155,1424833.802,1693.687581,294864.7279,344651.2921,787094.8687,920892.0798
