year,capacity_mw,scenario,site_name,weather_area,weather_file
2025,100,Reference,Kaimai wind farm,CNI1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CNI1.csv
2027,50,Reference,Pahiatua Wind Farm,MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2027,76.463,Reference,Taranaki Wind (Meridian),TRK1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\TRK1.csv
2028,195.473,Reference,Taranaki Wind (Meridian),TRK1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\TRK1.csv
2029,300,Reference,Castle Hill wind farm,MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2029,21.677,Reference,Manawatu Wind (Meridian),MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2029,28.064,Reference,Taranaki Wind (Meridian),TRK1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\TRK1.csv
2030,27.148,Reference,Manawatu Wind (Meridian),MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2030,228,Reference,Puketoi wind farm,MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2031,151.174,Reference,Manawatu Wind (Meridian),MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2031,38,Reference,Te Rere Hau (Expansion),MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2031,0.93,Reference,Generic Wind #75,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2032,71.121,Reference,Generic wind #13,MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2032,99.07,Reference,Generic Wind #75,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2033,8.745,Reference,Generic wind #13,MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2034,20.134,Reference,Generic wind #13,MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2026,55,Reference,Kaiwera Downs wind (Stage 2),STH2,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\STH2.csv
2034,50,Reference,Generic Wind #32,CNI1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CNI1.csv
2028,100,Reference,Kaiwera Downs wind (Stage 2),STH2,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\STH2.csv
2035,8.563,Reference,Generic Wind #24,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2036,146.935,Reference,Generic Wind #24,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2037,167.72,Reference,Generic Wind #18,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2037,144.502,Reference,Generic Wind #24,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2038,73,Reference,Kaiwaikawe,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2038,132.28,Reference,Generic Wind #18,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2038,36.921,Reference,Generic Wind #55,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2039,50,Reference,Generic Wind #21,CKS1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CKS1.csv
