Hour_of_Year,kWh_tererehau
0,22573
1,22218
2,17244
3,11190
4,8446
5,13818
6,16016
7,5604
8,6208
9,1375
10,10873
11,10770
12,9738
13,5057
14,4829
15,10263
16,10957
17,10813
18,8494
19,7901
20,4328
21,1109
22,1667
23,1985
24,2153
25,3818
26,5273
27,4205
28,4438
29,4493
30,3098
31,1981
32,2601
33,6623
34,5333
35,4458
36,4720
37,7929
38,12513
39,17869
40,16642
41,13920
42,11117
43,9112
44,4549
45,2894
46,3735
47,1708
48,477
49,252
50,10
51,0
52,0
53,0
54,41
55,206
56,2
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,4
67,58
68,71
69,328
70,767
71,308
72,0
73,937
74,3003
75,4391
76,6929
77,8971
78,10218
79,11647
80,11594
81,11439
82,11842
83,11595
84,10488
85,13371
86,9692
87,11628
88,11685
89,12569
90,15845
91,18376
92,19495
93,20764
94,23759
95,27158
96,30079
97,27686
98,23371
99,15603
100,15623
101,15510
102,26295
103,23323
104,22139
105,26038
106,19266
107,13548
108,8503
109,3092
110,3387
111,286
112,210
113,368
114,0
115,0
116,0
117,175
118,39
119,52
120,476
121,96
122,0
123,0
124,0
125,0
126,13
127,0
128,0
129,0
130,0
131,0
132,7754
133,10624
134,10575
135,11648
136,8400
137,8153
138,8253
139,7932
140,8670
141,8541
142,6981
143,6234
144,4798
145,3157
146,2105
147,1223
148,756
149,516
150,335
151,7
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,979
165,494
166,3888
167,11574
168,9649
169,8008
170,3390
171,1523
172,518
173,61
174,1
175,0
176,0
177,35
178,1167
179,1514
180,5092
181,9898
182,11246
183,10333
184,9390
185,12792
186,13211
187,9281
188,6004
189,3280
190,3141
191,7068
192,14306
193,17772
194,18687
195,16986
196,16471
197,23499
198,25584
199,29220
200,32505
201,31840
202,31290
203,30100
204,33070
205,30703
206,22661
207,18268
208,9007
209,8260
210,7171
211,5310
212,3269
213,889
214,31
215,398
216,2529
217,4351
218,6440
219,8531
220,11983
221,12316
222,12293
223,13122
224,12254
225,9844
226,12062
227,12112
228,13747
229,14305
230,14991
231,15285
232,15427
233,13962
234,12969
235,9650
236,5368
237,2015
238,182
239,0
240,0
241,0
242,0
243,21
244,74
245,1763
246,5901
247,8611
248,14192
249,13086
250,14973
251,15277
252,17934
253,20334
254,23855
255,25622
256,29873
257,27633
258,25178
259,18965
260,19744
261,20751
262,21505
263,31063
264,27257
265,32008
266,38001
267,35440
268,34675
269,33654
270,31946
271,25229
272,16743
273,19542
274,7707
275,9447
276,4811
277,3188
278,2582
279,833
280,172
281,0
282,44
283,135
284,31
285,0
286,7
287,0
288,0
289,0
290,0
291,0
292,0
293,4
294,389
295,1436
296,2713
297,7112
298,9493
299,11020
300,11874
301,10150
302,13674
303,14265
304,12887
305,17244
306,20459
307,18883
308,20464
309,28171
310,28417
311,32563
312,36590
313,33855
314,32973
315,29788
316,28361
317,27523
318,23220
319,20654
320,28773
321,29416
322,28969
323,33567
324,35877
325,35382
326,34295
327,34701
328,33741
329,31735
330,25971
331,18936
332,17271
333,14567
334,10752
335,13393
336,22843
337,16095
338,17889
339,13442
340,10202
341,8057
342,7170
343,2133
344,5697
345,7968
346,7145
347,10778
348,8612
349,11435
350,10514
351,6507
352,2823
353,346
354,1329
355,6261
356,9872
357,12980
358,16265
359,17196
360,17944
361,17682
362,20771
363,18425
364,15096
365,14846
366,15341
367,17712
368,19486
369,22984
370,24413
371,23548
372,22673
373,21356
374,20780
375,22835
376,23707
377,24484
378,24899
379,23260
380,22943
381,24355
382,23584
383,20800
384,21275
385,17700
386,12422
387,7657
388,3768
389,1880
390,634
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
