house_type,insulation,schedule,Loc_code,Grid_year,Hydro_resource,SH_code,HP_cap,R_cap,P_annual_kWh_SH,Q_annual_kWh_SH,kgCO2_SH,P_avg_peak_kW_SH,Embodied_SH,Occ_code,DW_code,Tank_Volume (L),CS_code,P_annual_kWh_WH,Q_annual_kWh_WH,kgCO2_WH,P_avg_peak_kW_WH,Embodied_WH,scenario,P_annual_kWh_total,Q_annual_kWh_total,P_avg_peak_kW_total,kgCO2_total,Embodied,SH_DW_code
Mod,Nom,Ideal,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-Nom-Ideal-AK-3-HYD200-HYD200-Cpeak-2024-Hhigh,1633.934035,5419.166667,0.072892719,147.6331621,3698.655882,HYD200-HYD200
Mod,H1,Ideal,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-H1-Ideal-AK-3-HYD200-HYD200-Cpeak-2024-Hhigh,1489.452088,4288.108333,0.058588504,132.176367,3101.313971,HYD200-HYD200
Mod,Nom,Real,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-Nom-Real-AK-3-HYD200-HYD200-Cpeak-2024-Hhigh,1519.271846,5102,0.074788801,139.3720326,3698.655882,HYD200-HYD200
Mod,H1,Real,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-H1-Real-AK-3-HYD200-HYD200-Cpeak-2024-Hhigh,1458.572907,4210.475,0.059643413,130.1130739,3101.313971,HYD200-HYD200
Mod,Nom,Ideal,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-Nom-Ideal-CH-3-HYD200-HYD200-Cpeak-2024-Hhigh,4979.514501,13002.5,0.181035472,486.2596239,4008.251471,HYD200-HYD200
Mod,H1,Ideal,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-H1-Ideal-CH-3-HYD200-HYD200-Cpeak-2024-Hhigh,3996.328692,10534.11293,0.155954934,390.9687579,3698.655882,HYD200-HYD200
Mod,Nom,Real,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-Nom-Real-CH-3-HYD200-HYD200-Cpeak-2024-Hhigh,4117.614592,10998.86667,0.190454584,410.7492374,4008.251471,HYD200-HYD200
Mod,H1,Real,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-H1-Real-CH-3-HYD200-HYD200-Cpeak-2024-Hhigh,3485.503948,9432.176533,0.165993774,346.65916,3698.655882,HYD200-HYD200
Mass,Nom,Ideal,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-Nom-Ideal-AK-3-HYD200-HYD200-Cpeak-2024-Hhigh,1338.211528,4479.333333,0.043716035,125.1930289,3121.155882,HYD200-HYD200
Mass,H1,Ideal,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-H1-Ideal-AK-3-HYD200-HYD200-Cpeak-2024-Hhigh,838.1220162,2560.058333,0.013197407,74.7437224,2622.251471,HYD200-HYD200
Mass,Nom,Real,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-Nom-Real-AK-3-HYD200-HYD200-Cpeak-2024-Hhigh,1228.894366,4180,0.045841383,116.5851884,3121.155882,HYD200-HYD200
Mass,H1,Real,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-H1-Real-AK-3-HYD200-HYD200-Cpeak-2024-Hhigh,834.6044157,2551.275,0.013192721,74.51716329,2622.251471,HYD200-HYD200
Mass,Nom,Ideal,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-Nom-Ideal-CH-3-HYD200-HYD200-Cpeak-2024-Hhigh,3367.298233,8835.166667,0.094499247,338.927662,3489.813971,HYD200-HYD200
Mass,H1,Ideal,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-H1-Ideal-CH-3-HYD200-HYD200-Cpeak-2024-Hhigh,1442.569673,3984.847933,0.044458756,147.9155928,3081.780882,HYD200-HYD200
Mass,Nom,Real,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-Nom-Real-CH-3-HYD200-HYD200-Cpeak-2024-Hhigh,2828.630739,7607.833333,0.105650524,290.5584961,3489.813971,HYD200-HYD200
Mass,H1,Real,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-H1-Real-CH-3-HYD200-HYD200-Cpeak-2024-Hhigh,1378.464015,3862.9254,0.048010807,142.5489769,3081.780882,HYD200-HYD200
Mod,Nom,Ideal,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-Nom-Ideal-AK-4-HYD200-HYD200-Cpeak-2024-Hhigh,1748.599779,5897.833333,0.072892719,158.2952432,3698.655882,HYD200-HYD200
Mod,H1,Ideal,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-H1-Ideal-AK-4-HYD200-HYD200-Cpeak-2024-Hhigh,1631.612176,4766.8,0.058588504,145.301039,3101.313971,HYD200-HYD200
Mod,Nom,Real,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-Nom-Real-AK-4-HYD200-HYD200-Cpeak-2024-Hhigh,1634.091645,5580.833333,0.074788801,150.0175325,3698.655882,HYD200-HYD200
Mod,H1,Real,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-H1-Real-AK-4-HYD200-HYD200-Cpeak-2024-Hhigh,1600.767176,4689.308333,0.059643413,143.2791124,3101.313971,HYD200-HYD200
Mod,Nom,Ideal,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-Nom-Ideal-CH-4-HYD200-HYD200-Cpeak-2024-Hhigh,5118.447765,13480.83333,0.181035472,499.5244153,4008.251471,HYD200-HYD200
Mod,H1,Ideal,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-H1-Ideal-CH-4-HYD200-HYD200-Cpeak-2024-Hhigh,4131.26421,11012.96507,0.155954934,403.9151997,3698.655882,HYD200-HYD200
Mod,Nom,Real,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-Nom-Real-CH-4-HYD200-HYD200-Cpeak-2024-Hhigh,4256.383029,11477.43333,0.190454584,423.7580487,4008.251471,HYD200-HYD200
Mod,H1,Real,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-H1-Real-CH-4-HYD200-HYD200-Cpeak-2024-Hhigh,3620.341669,9911.030267,0.165993774,359.5515203,3698.655882,HYD200-HYD200
Mass,Nom,Ideal,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-Nom-Ideal-AK-4-HYD200-HYD200-Cpeak-2024-Hhigh,1453.016724,4958.166667,0.043716035,135.8977272,3121.155882,HYD200-HYD200
Mass,H1,Ideal,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-H1-Ideal-AK-4-HYD200-HYD200-Cpeak-2024-Hhigh,980.1715675,3038.608333,0.013197407,87.89884639,2622.251471,HYD200-HYD200
Mass,Nom,Real,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-Nom-Real-AK-4-HYD200-HYD200-Cpeak-2024-Hhigh,1343.579148,4658.833333,0.045841383,127.1913638,3121.155882,HYD200-HYD200
Mass,H1,Real,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-H1-Real-AK-4-HYD200-HYD200-Cpeak-2024-Hhigh,976.5543808,3029.825,0.013192721,87.65258802,2622.251471,HYD200-HYD200
Mass,Nom,Ideal,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-Nom-Ideal-CH-4-HYD200-HYD200-Cpeak-2024-Hhigh,3505.842452,9313.733333,0.094499247,352.0290458,3489.813971,HYD200-HYD200
Mass,H1,Ideal,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-H1-Ideal-CH-4-HYD200-HYD200-Cpeak-2024-Hhigh,1577.452273,4463.534,0.044458756,160.9051518,3081.780882,HYD200-HYD200
Mass,Nom,Real,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-Nom-Real-CH-4-HYD200-HYD200-Cpeak-2024-Hhigh,2967.332054,8086.633333,0.105650524,303.6424527,3489.813971,HYD200-HYD200
Mass,H1,Real,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-H1-Real-CH-4-HYD200-HYD200-Cpeak-2024-Hhigh,1513.241757,4341.774733,0.048010807,155.4662408,3081.780882,HYD200-HYD200
Mod,Nom,Ideal,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-Nom-Ideal-AK-5-HYD200-HYD200-Cpeak-2024-Hhigh,1868.237188,6373.833333,0.072892719,168.42086750000001,3698.655882,HYD200-HYD200
Mod,H1,Ideal,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-H1-Ideal-AK-5-HYD200-HYD200-Cpeak-2024-Hhigh,1778.963758,5243.366667,0.058588504,157.7880639,3101.313971,HYD200-HYD200
Mod,Nom,Real,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-Nom-Real-AK-5-HYD200-HYD200-Cpeak-2024-Hhigh,1753.841838,6056.5,0.074788801,160.1335853,3698.655882,HYD200-HYD200
Mod,H1,Real,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-H1-Real-AK-5-HYD200-HYD200-Cpeak-2024-Hhigh,1748.066111,5165.733333,0.059643413,155.7534544,3101.313971,HYD200-HYD200
Mod,Nom,Ideal,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-Nom-Ideal-CH-5-HYD200-HYD200-Cpeak-2024-Hhigh,5262.584525,13954.73333,0.181035472,511.8063516,4008.251471,HYD200-HYD200
Mod,H1,Ideal,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-H1-Ideal-CH-5-HYD200-HYD200-Cpeak-2024-Hhigh,4270.388201,11486.7954,0.155954934,416.0095804,3698.655882,HYD200-HYD200
Mod,Nom,Real,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-Nom-Real-CH-5-HYD200-HYD200-Cpeak-2024-Hhigh,4400.498364,11950.63333,0.190454584,436.1366805,4008.251471,HYD200-HYD200
Mod,H1,Real,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mod-H1-Real-CH-5-HYD200-HYD200-Cpeak-2024-Hhigh,3759.340512,10384.69293,0.165993774,371.6323005,3698.655882,HYD200-HYD200
Mass,Nom,Ideal,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-Nom-Ideal-AK-5-HYD200-HYD200-Cpeak-2024-Hhigh,1572.800313,5434.5,0.043716035,146.0733532,3121.155882,HYD200-HYD200
Mass,H1,Ideal,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-H1-Ideal-AK-5-HYD200-HYD200-Cpeak-2024-Hhigh,1127.596531,3515.458333,0.013197407,100.3691631,2622.251471,HYD200-HYD200
Mass,Nom,Real,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-Nom-Real-AK-5-HYD200-HYD200-Cpeak-2024-Hhigh,1463.528062,5135.333333,0.045841383,137.4367714,3121.155882,HYD200-HYD200
Mass,H1,Real,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-H1-Real-AK-5-HYD200-HYD200-Cpeak-2024-Hhigh,1124.070651,3506.675,0.013192721,100.1224149,2622.251471,HYD200-HYD200
Mass,Nom,Ideal,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-Nom-Ideal-CH-5-HYD200-HYD200-Cpeak-2024-Hhigh,3651.117702,9790.2,0.094499247,364.5522619,3489.813971,HYD200-HYD200
Mass,H1,Ideal,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-H1-Ideal-CH-5-HYD200-HYD200-Cpeak-2024-Hhigh,1717.170709,4940.5332,0.044458756,173.1504209,3081.780882,HYD200-HYD200
Mass,Nom,Real,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-Nom-Real-CH-5-HYD200-HYD200-Cpeak-2024-Hhigh,3112.273127,8562.4,0.105650524,316.2542514,3489.813971,HYD200-HYD200
Mass,H1,Real,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Cpeak,NA,NA,NA,NA,NA,Mass-H1-Real-CH-5-HYD200-HYD200-Cpeak-2024-Hhigh,1652.600715,4818.441,0.048010807,167.6875446,3081.780882,HYD200-HYD200
Mod,Nom,Ideal,AK,2024,Hhigh,HYD500,8.5,NA,NA,NA,NA,NA,NA,3,HYD500,500,Cpeak,NA,NA,NA,NA,NA,Mod-Nom-Ideal-AK-3-HYD500-HYD500-Cpeak-2024-Hhigh,1994.778482,5629.55,0.072892719,180.0831024,3734.535561,HYD500-HYD500
Mod,H1,Ideal,AK,2024,Hhigh,HYD500,6,NA,NA,NA,NA,NA,NA,3,HYD500,500,Cpeak,NA,NA,NA,NA,NA,Mod-H1-Ideal-AK-3-HYD500-HYD500-Cpeak-2024-Hhigh,1485.274395,4499.2,0.058588504,132.3169794,3596.723061,HYD500-HYD500
Mod,Nom,Real,AK,2024,Hhigh,HYD500,8.5,NA,NA,NA,NA,NA,NA,3,HYD500,500,Cpeak,NA,NA,NA,NA,NA,Mod-Nom-Real-AK-3-HYD500-HYD500-Cpeak-2024-Hhigh,1869.598339,5312.641667,0.074788801,171.1261213,3734.535561,HYD500-HYD500
Mod,H1,Real,AK,2024,Hhigh,HYD500,6,NA,NA,NA,NA,NA,NA,3,HYD500,500,Cpeak,NA,NA,NA,NA,NA,Mod-H1-Real-AK-3-HYD500-HYD500-Cpeak-2024-Hhigh,1455.857943,4421.7,0.059643413,130.4231722,3596.723061,HYD500-HYD500
Mod,Nom,Ideal,CH,2024,Hhigh,HYD500,14,NA,NA,NA,NA,NA,NA,3,HYD500,500,Cpeak,NA,NA,NA,NA,NA,Mod-Nom-Ideal-CH-3-HYD500-HYD500-Cpeak-2024-Hhigh,5062.842265,13237.93333,0.181035472,495.027473,4503.660561,HYD500-HYD500
