house_type,insulation,schedule,Loc_code,Grid_year,Hydro_resource,SH_code,HP_cap,R_cap,P_annual_kWh_SH,Q_annual_kWh_SH,kgCO2_SH,P_avg_peak_kW_SH,Embodied_SH,Occ_code,DW_code,Tank_Volume (L),CS_code,P_annual_kWh_WH,Q_annual_kWh_WH,kgCO2_WH,P_avg_peak_kW_WH,Embodied_WH,scenario,P_annual_kWh_total,Q_annual_kWh_total,P_avg_peak_kW_total,kgCO2_total,Embodied,SH_DW_code
Mod,Nom,Ideal,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Ideal-AK-3-HYD200-HYD200-Crenew-2024-Hhigh,1635.509293,5435,0.717665263,146.6949671,3698.655882,HYD200-HYD200
Mod,H1,Ideal,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-H1-Ideal-AK-3-HYD200-HYD200-Crenew-2024-Hhigh,1492.515333,4304.683333,0.719479613,131.0571124,3101.313971,HYD200-HYD200
Mod,Nom,Real,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Real-AK-3-HYD200-HYD200-Crenew-2024-Hhigh,1520.986262,5118.333333,0.737547198,138.1568957,3698.655882,HYD200-HYD200
Mod,H1,Real,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-H1-Real-AK-3-HYD200-HYD200-Crenew-2024-Hhigh,1461.732227,4227.475,0.735051288,128.904683,3101.313971,HYD200-HYD200
Mod,Nom,Ideal,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Ideal-CH-3-HYD200-HYD200-Crenew-2024-Hhigh,4981.049032,13015.8,1.992582719,485.7456618,4008.251471,HYD200-HYD200
Mod,H1,Ideal,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-H1-Ideal-CH-3-HYD200-HYD200-Crenew-2024-Hhigh,3996.997634,10548.7728,1.7295984,390.2899477,3698.655882,HYD200-HYD200
Mod,Nom,Real,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Real-CH-3-HYD200-HYD200-Crenew-2024-Hhigh,4120.570355,11013.56667,2.106900693,409.9015592,4008.251471,HYD200-HYD200
Mod,H1,Real,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-H1-Real-CH-3-HYD200-HYD200-Crenew-2024-Hhigh,3487.694257,9448.008667,1.8496065799999999,345.9554239,3698.655882,HYD200-HYD200
Mass,Nom,Ideal,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Ideal-AK-3-HYD200-HYD200-Crenew-2024-Hhigh,1339.190912,4495.833333,0.472032013,124.2016625,3121.155882,HYD200-HYD200
Mass,H1,Ideal,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-H1-Ideal-AK-3-HYD200-HYD200-Crenew-2024-Hhigh,840.7490805,2578.475,0.246904983,73.43798419,2622.251471,HYD200-HYD200
Mass,Nom,Real,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Real-AK-3-HYD200-HYD200-Crenew-2024-Hhigh,1229.946956,4197.166667,0.500492774,115.2929623,3121.155882,HYD200-HYD200
Mass,H1,Real,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-H1-Real-AK-3-HYD200-HYD200-Crenew-2024-Hhigh,837.1846813,2569.833333,0.257809458,73.05721551,2622.251471,HYD200-HYD200
Mass,Nom,Ideal,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Ideal-CH-3-HYD200-HYD200-Crenew-2024-Hhigh,3367.161409,8848.466667,1.139588469,338.0359992,3489.813971,HYD200-HYD200
Mass,H1,Ideal,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-H1-Ideal-CH-3-HYD200-HYD200-Crenew-2024-Hhigh,1441.497526,4001.178467,0.616763173,146.6497182,3081.780882,HYD200-HYD200
Mass,Nom,Real,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Real-CH-3-HYD200-HYD200-Crenew-2024-Hhigh,2830.01593,7622.533333,1.288130642,289.3883191,3489.813971,HYD200-HYD200
Mass,H1,Real,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,3,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-H1-Real-CH-3-HYD200-HYD200-Crenew-2024-Hhigh,1378.130154,3879.588467,0.666925348,140.9228963,3081.780882,HYD200-HYD200
Mod,Nom,Ideal,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Ideal-AK-4-HYD200-HYD200-Crenew-2024-Hhigh,1750.130922,5913.333333,0.701938818,157.3933643,3698.655882,HYD200-HYD200
