house_type,insulation,schedule,Loc_code,Grid_year,Hydro_resource,SH_code,HP_cap,R_cap,P_annual_kWh_SH,Q_annual_kWh_SH,kgCO2_SH,P_avg_peak_kW_SH,Embodied_SH,Occ_code,DW_code,Tank_Volume (L),CS_code,P_annual_kWh_WH,Q_annual_kWh_WH,kgCO2_WH,P_avg_peak_kW_WH,Embodied_WH,scenario,P_annual_kWh_total,Q_annual_kWh_total,P_avg_peak_kW_total,kgCO2_total,Embodied,SH_DW_code
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,291.3731268,1.822317984,1586.117647,1,HP,135,C0,234.3015847,996.6101491,18.71503486,0.053704028,494.1176471,Mod-Nom-Ideal-AK-1-R-HP-C0-2024-Hhigh,3624.8123687,4387.1209331,1.876022012,310.08816166,2080.2352941,R-HP
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,291.3731268,1.822317984,1586.117647,1,HPo,162,C0,243.1903742,1034.464362,19.45153578,0.05320211,555.8823529,Mod-Nom-Ideal-AK-1-R-HPo-C0-2024-Hhigh,3633.7011582,4424.975146,1.8755200939999999,310.82466258,2141.9999999,R-HPo
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,291.3731268,1.822317984,1586.117647,2,HP,135,C0,346.2037848,1473.307538,27.9296035,0.096266879,494.1176471,Mod-Nom-Ideal-AK-2-R-HP-C0-2024-Hhigh,3736.7145688,4863.818322,1.918584863,319.3027303,2080.2352941,R-HP
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,291.3731268,1.822317984,1586.117647,2,HPo,162,C0,355.2147967,1511.447369,28.63369249,0.095305414,555.8823529,Mod-Nom-Ideal-AK-2-R-HPo-C0-2024-Hhigh,3745.7255807,4901.958153,1.917623398,320.00681929,2141.9999999,R-HPo
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,291.3731268,1.822317984,1586.117647,3,HP,180,C0,473.6227091,2014.038439,38.66629753,0.123087459,617.6470588,Mod-Nom-Ideal-AK-3-R-HP-C0-2024-Hhigh,3864.1334931,5404.549223,1.9454054429999998,330.03942433000003,2203.7647058000002,R-HP
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,291.3731268,1.822317984,1586.117647,3,HPo,216,C0,488.2653678,2076.177865,39.85223166,0.126466521,648.5294118,Mod-Nom-Ideal-AK-3-R-HPo-C0-2024-Hhigh,3878.7761518,5466.688649,1.948784505,331.22535846000005,2234.6470588,R-HPo
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,291.3731268,1.822317984,1586.117647,4,HP,300,C0,635.1496666,2708.608941,53.04283307,0.135525193,802.9411765,Mod-Nom-Ideal-AK-4-R-HP-C0-2024-Hhigh,4025.6604506000003,6099.1197250000005,1.957843177,344.41595987000005,2389.0588235,R-HP
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,291.3731268,1.822317984,1586.117647,4,HPo,360,C0,661.2466487,2819.645139,55.19404156,0.148237232,864.7058824,Mod-Nom-Ideal-AK-4-R-HPo-C0-2024-Hhigh,4051.7574327,6210.155923,1.970555216,346.56716836000004,2450.8235294,R-HPo
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,291.3731268,1.822317984,1586.117647,5,HP,300,C0,747.760984,3186.809617,62.65340571,0.173343892,802.9411765,Mod-Nom-Ideal-AK-5-R-HP-C0-2024-Hhigh,4138.2717680000005,6577.320401,1.9956618759999998,354.02653251000004,2389.0588235,R-HP
Mod,Nom,Ideal,AK,2024,Hhigh,R,NA,12,3390.510784,3390.510784,291.3731268,1.822317984,1586.117647,5,HPo,360,C0,773.8495193,3297.56996,64.83956026,0.181698996,864.7058824,Mod-Nom-Ideal-AK-5-R-HPo-C0-2024-Hhigh,4164.3603033,6688.080744,2.00401698,356.21268706,2450.8235294,R-HPo
Mod,Nom,Ideal,AK,2024,Hlow,R,NA,12,3390.510784,3390.510784,518.6797632,1.822317984,1586.117647,1,HP,135,C0,234.3015847,996.6101491,25.15990233,0.053704028,494.1176471,Mod-Nom-Ideal-AK-1-R-HP-C0-2024-Hlow,3624.8123687,4387.1209331,1.876022012,543.83966553,2080.2352941,R-HP
Mod,Nom,Ideal,AK,2024,Hlow,R,NA,12,3390.510784,3390.510784,518.6797632,1.822317984,1586.117647,1,HPo,162,C0,243.1903742,1034.464362,26.12574011,0.05320211,555.8823529,Mod-Nom-Ideal-AK-1-R-HPo-C0-2024-Hlow,3633.7011582,4424.975146,1.8755200939999999,544.8055033100001,2141.9999999,R-HPo
Mod,Nom,Ideal,AK,2024,Hlow,R,NA,12,3390.510784,3390.510784,518.6797632,1.822317984,1586.117647,2,HP,135,C0,346.2037848,1473.307538,37.356501539999996,0.096266879,494.1176471,Mod-Nom-Ideal-AK-2-R-HP-C0-2024-Hlow,3736.7145688,4863.818322,1.918584863,556.03626474,2080.2352941,R-HP
Mod,Nom,Ideal,AK,2024,Hlow,R,NA,12,3390.510784,3390.510784,518.6797632,1.822317984,1586.117647,2,HPo,162,C0,355.2147967,1511.447369,38.33638905,0.095305414,555.8823529,Mod-Nom-Ideal-AK-2-R-HPo-C0-2024-Hlow,3745.7255807,4901.958153,1.917623398,557.01615225,2141.9999999,R-HPo
