house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,kgCO2_SH_life,kgCO2_WH_life,P_annual_kWh_life,kgCO2_op_life,Embodied_SH,Embodied_WH,Embodied,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,253.48286669,262.34730493,8145.644685200001,515.83017162,858.0044118,494.1176471,1352.1220589,1867.9522305199998
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,253.48286669,388.65379477,10607.4930874,642.13666146,858.0044118,494.1176471,1352.1220589,1994.25872036
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,253.48286669,544.25663454,13410.709422000002,797.73950123,858.0044118,617.6470588,1475.6514705999998,2273.3909718299997
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,253.48286669,724.37414396,16964.302487,977.85701065,858.0044118,802.9411765,1660.9455883,2638.80259895
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,253.48286669,864.11879228,19441.7514698,1117.60165897,858.0044118,802.9411765,1660.9455883,2778.5472472700003
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,253.48286669,273.05792178999997,8341.198054200002,526.54078848,858.0044118,555.8823529,1413.8867647,1940.42755318
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,253.48286669,399.39819532,10805.735349200002,652.8810620099999,858.0044118,555.8823529,1413.8867647,2066.76782671
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,253.48286669,562.03124157,13732.8479134,815.5141082600001,858.0044118,648.5294118,1506.5338236,2322.04793186
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,253.48286669,755.2306354899999,17538.4360932,1008.71350218,858.0044118,864.7058824,1722.7102942,2731.4237963799997
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,253.48286669,896.50412935,20015.6992464,1149.98699604,858.0044118,864.7058824,1722.7102942,2872.69729024
Mass,H1,Ideal,AK,Hhigh,HP-R,1,253.48286669,1109.0985507999999,25206.6098218,1362.58141749,858.0044118,308.8235294,1166.8279412,2529.40935869
Mass,H1,Ideal,AK,Hhigh,HP-R,2,253.48286669,1641.43353946,35689.609821800004,1894.91640615,858.0044118,308.8235294,1166.8279412,3061.7443473499998
Mass,H1,Ideal,AK,Hhigh,HP-R,3,253.48286669,2296.2689032,47618.009821800006,2549.75176989,858.0044118,395.2941176,1253.2985294,3803.05029929
Mass,H1,Ideal,AK,Hhigh,HP-R,4,253.48286669,3059.0651384000003,63077.4098218,3312.54800509,858.0044118,617.6470588,1475.6514705999998,4788.19947569
Mass,H1,Ideal,AK,Hhigh,HP-R,5,253.48286669,3654.8247219,73581.30982180001,3908.30758859,858.0044118,617.6470588,1475.6514705999998,5383.95905919
Mass,H1,Ideal,AK,Hhigh,HP-Ro,1,253.48286669,1156.84317299,26075.6098218,1410.3260396800001,858.0044118,370.5882353,1228.5926471,2638.91868678
Mass,H1,Ideal,AK,Hhigh,HP-Ro,2,253.48286669,1685.61986393,36543.2098218,1939.10273062,858.0044118,370.5882353,1228.5926471,3167.69537772
Mass,H1,Ideal,AK,Hhigh,HP-Ro,3,253.48286669,2371.2111473,49034.8098218,2624.69401399,858.0044118,494.1176471,1352.1220589,3976.8160728899998
Mass,H1,Ideal,AK,Hhigh,HP-Ro,4,253.48286669,3196.4449752,65629.4098218,3449.92784189,858.0044118,642.3529412,1500.3573529999999,4950.28519489
Mass,H1,Ideal,AK,Hhigh,HP-Ro,5,253.48286669,3791.0008338999996,76122.30982180001,4044.48370059,858.0044118,642.3529412,1500.3573529999999,5544.84105359
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HP,1,398.148823477,262.34730493,9705.242878100002,660.496128407,1269.882353,494.1176471,1764.0000000999999,2424.496128507
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HP,2,398.148823477,388.65379477,12167.0912803,786.8026182469999,1269.882353,494.1176471,1764.0000000999999,2550.8026183469997
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HP,3,398.148823477,544.25663454,14970.307614899999,942.4054580169999,1269.882353,617.6470588,1887.5294118,2829.9348698169997
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HP,4,398.148823477,724.37414396,18523.9006799,1122.522967437,1269.882353,802.9411765,2072.8235295,3195.3464969369998
