house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,kgCO2_SH_life,kgCO2_WH_life,P_annual_kWh_life,kgCO2_op_life,Embodied_SH,Embodied_WH,Embodied,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HYD1000-HYD1000,3,NA,NA,20870.302941399998,1265.2023463,NA,NA,3742.887834,5008.0901803
Mass,H1,Ideal,AK,Hhigh,HYD1000-HYD1000,4,NA,NA,23906.396976000004,1420.0637517,NA,NA,3742.887834,5162.951585700001
Mass,H1,Ideal,AK,Hhigh,HYD1000-HYD1000,5,NA,NA,26983.411003999998,1599.1445729499999,NA,NA,3742.887834,5342.03240695
Mass,H1,Ideal,AK,Hhigh,HYD200-HYD200,3,NA,NA,18438.6843564,1118.96591532,NA,NA,2622.251471,3741.21738632
Mass,H1,Ideal,AK,Hhigh,HYD200-HYD200,4,NA,NA,21563.774485,1270.6147593,NA,NA,2622.251471,3892.8662303
Mass,H1,Ideal,AK,Hhigh,HYD200-HYD200,5,NA,NA,24807.123681999998,1452.3681667600001,NA,NA,2622.251471,4074.61963776
Mass,H1,Ideal,AK,Hhigh,HYD500-HYD500,3,NA,NA,18831.8866538,1145.02244766,NA,NA,3117.660561,4262.68300866
Mass,H1,Ideal,AK,Hhigh,HYD500-HYD500,4,NA,NA,21885.651788,1295.48998594,NA,NA,3117.660561,4413.15054694
Mass,H1,Ideal,AK,Hhigh,HYD500-HYD500,5,NA,NA,24978.867122,1470.82069239,NA,NA,3117.660561,4588.48125339
Mass,H1,Ideal,AK,Hlow,HYD1000-HYD1000,3,NA,NA,20870.302941399998,1658.58613832,NA,NA,3742.887834,5401.47397232
Mass,H1,Ideal,AK,Hlow,HYD1000-HYD1000,4,NA,NA,23906.396976000004,1831.38839265,NA,NA,3742.887834,5574.27622665
Mass,H1,Ideal,AK,Hlow,HYD1000-HYD1000,5,NA,NA,26983.411003999998,2031.68346421,NA,NA,3742.887834,5774.57129821
Mass,H1,Ideal,AK,Hlow,HYD200-HYD200,3,NA,NA,18438.6843564,1496.2139615899998,NA,NA,2622.251471,4118.46543259
Mass,H1,Ideal,AK,Hlow,HYD200-HYD200,4,NA,NA,21563.774485,1670.07980848,NA,NA,2622.251471,4292.33127948
Mass,H1,Ideal,AK,Hlow,HYD200-HYD200,5,NA,NA,24807.123681999998,1880.933528,NA,NA,2622.251471,4503.184999
Mass,H1,Ideal,AK,Hlow,HYD500-HYD500,3,NA,NA,18831.8866538,1507.4043897000001,NA,NA,3117.660561,4625.0649507
Mass,H1,Ideal,AK,Hlow,HYD500-HYD500,4,NA,NA,21885.651788,1676.97482074,NA,NA,3117.660561,4794.63538174
Mass,H1,Ideal,AK,Hlow,HYD500-HYD500,5,NA,NA,24978.867122,1873.94586593,NA,NA,3117.660561,4991.60642693
Mass,H1,Ideal,CH,Hhigh,HYD1000-HYD1000,3,NA,NA,37243.553622,2595.6297134,NA,NA,3742.887834,6338.517547400001
Mass,H1,Ideal,CH,Hhigh,HYD1000-HYD1000,4,NA,NA,40544.987428,2776.0117442,NA,NA,3742.887834,6518.8995782
Mass,H1,Ideal,CH,Hhigh,HYD1000-HYD1000,5,NA,NA,43843.919856,2971.7815981999997,NA,NA,3742.887834,6714.6694322
Mass,H1,Ideal,CH,Hhigh,HYD200-HYD200,3,NA,NA,31736.532806,2245.4423912,NA,NA,3081.780882,5327.2232732
Mass,H1,Ideal,CH,Hhigh,HYD200-HYD200,4,NA,NA,34703.950006,2399.2288967,NA,NA,3081.780882,5481.0097786999995
Mass,H1,Ideal,CH,Hhigh,HYD200-HYD200,5,NA,NA,37777.755598,2573.6704293000003,NA,NA,3081.780882,5655.4513113
Mass,H1,Ideal,CH,Hhigh,HYD500-HYD500,3,NA,NA,33544.158802,2316.88753295,NA,NA,3117.660561,5434.54809395
Mass,H1,Ideal,CH,Hhigh,HYD500-HYD500,4,NA,NA,36793.867924000006,2484.9005078,NA,NA,3117.660561,5602.5610688
Mass,H1,Ideal,CH,Hhigh,HYD500-HYD500,5,NA,NA,40164.271598,2677.610071,NA,NA,3117.660561,5795.270632
Mass,H1,Ideal,CH,Hlow,HYD1000-HYD1000,3,NA,NA,37243.553622,3458.6744036,NA,NA,3742.887834,7201.5622376
Mass,H1,Ideal,CH,Hlow,HYD1000-HYD1000,4,NA,NA,40544.987428,3663.0552129,NA,NA,3742.887834,7405.9430469
Mass,H1,Ideal,CH,Hlow,HYD1000-HYD1000,5,NA,NA,43843.919856,3879.8094157,NA,NA,3742.887834,7622.697249700001
Mass,H1,Ideal,CH,Hlow,HYD200-HYD200,3,NA,NA,31736.532806,3042.6578902,NA,NA,3081.780882,6124.4387722
Mass,H1,Ideal,CH,Hlow,HYD200-HYD200,4,NA,NA,34703.950006,3222.569403,NA,NA,3081.780882,6304.350285
Mass,H1,Ideal,CH,Hlow,HYD200-HYD200,5,NA,NA,37777.755598,3423.5890014,NA,NA,3081.780882,6505.369883400001
Mass,H1,Ideal,CH,Hlow,HYD500-HYD500,3,NA,NA,33544.158802,3091.9710148,NA,NA,3117.660561,6209.6315758
Mass,H1,Ideal,CH,Hlow,HYD500-HYD500,4,NA,NA,36793.867924000006,3283.9965419,NA,NA,3117.660561,6401.657102900001
Mass,H1,Ideal,CH,Hlow,HYD500-HYD500,5,NA,NA,40164.271598,3500.1071902,NA,NA,3117.660561,6617.7677512
Mass,H1,Real,AK,Hhigh,HYD1000-HYD1000,3,NA,NA,20788.8732524,1258.87768791,NA,NA,3742.887834,5001.76552191
Mass,H1,Real,AK,Hhigh,HYD1000-HYD1000,4,NA,NA,23821.718866000003,1413.0682311,NA,NA,3742.887834,5155.9560651
Mass,H1,Real,AK,Hhigh,HYD1000-HYD1000,5,NA,NA,26898.356474,1592.3474021299999,NA,NA,3742.887834,5335.23523613
Mass,H1,Real,AK,Hhigh,HYD200-HYD200,3,NA,NA,18361.2971454,1113.8869289,NA,NA,2622.251471,3736.1383999
Mass,H1,Real,AK,Hhigh,HYD200-HYD200,4,NA,NA,21484.1963776,1265.74550782,NA,NA,2622.251471,3887.99697882
Mass,H1,Real,AK,Hhigh,HYD200-HYD200,5,NA,NA,24729.554322,1447.58583295,NA,NA,2622.251471,4069.83730395
Mass,H1,Real,AK,Hhigh,HYD500-HYD500,3,NA,NA,18757.2566192,1139.98436801,NA,NA,3117.660561,4257.64492901
Mass,H1,Real,AK,Hhigh,HYD500-HYD500,4,NA,NA,21808.8445564,1290.54595468,NA,NA,3117.660561,4408.20651568
Mass,H1,Real,AK,Hhigh,HYD500-HYD500,5,NA,NA,24901.08995,1465.59844787,NA,NA,3117.660561,4583.25900887
Mass,H1,Real,AK,Hlow,HYD1000-HYD1000,3,NA,NA,20788.8732524,1646.0660972,NA,NA,3742.887834,5388.9539312
Mass,H1,Real,AK,Hlow,HYD1000-HYD1000,4,NA,NA,23821.718866000003,1817.50521109,NA,NA,3742.887834,5560.393045090001
Mass,H1,Real,AK,Hlow,HYD1000-HYD1000,5,NA,NA,26898.356474,2018.19601547,NA,NA,3742.887834,5761.08384947
Mass,H1,Real,AK,Hlow,HYD200-HYD200,3,NA,NA,18361.2971454,1485.15017006,NA,NA,2622.251471,4107.40164106
Mass,H1,Real,AK,Hlow,HYD200-HYD200,4,NA,NA,21484.1963776,1659.04723263,NA,NA,2622.251471,4281.29870363
Mass,H1,Real,AK,Hlow,HYD200-HYD200,5,NA,NA,24729.554322,1870.12443728,NA,NA,2622.251471,4492.37590828
Mass,H1,Real,AK,Hlow,HYD500-HYD500,3,NA,NA,18757.2566192,1496.48411179,NA,NA,3117.660561,4614.14467279
Mass,H1,Real,AK,Hlow,HYD500-HYD500,4,NA,NA,21808.8445564,1665.8777880300001,NA,NA,3117.660561,4783.53834903
Mass,H1,Real,AK,Hlow,HYD500-HYD500,5,NA,NA,24901.08995,1862.57897413,NA,NA,3117.660561,4980.23953513
Mass,H1,Real,CH,Hhigh,HYD1000-HYD1000,3,NA,NA,35792.82102,2497.4983297,NA,NA,3742.887834,6240.3861637
Mass,H1,Real,CH,Hhigh,HYD1000-HYD1000,4,NA,NA,39079.33029,2675.9226468,NA,NA,3742.887834,6418.810480800001
Mass,H1,Real,CH,Hhigh,HYD1000-HYD1000,5,NA,NA,42382.727794,2872.5082824,NA,NA,3742.887834,6615.3961164
Mass,H1,Real,CH,Hhigh,HYD200-HYD200,3,NA,NA,30326.20833,2149.9304736,NA,NA,3081.780882,5231.7113556
Mass,H1,Real,CH,Hhigh,HYD200-HYD200,4,NA,NA,33291.318654,2303.63530255,NA,NA,3081.780882,5385.41618455
Mass,H1,Real,CH,Hhigh,HYD200-HYD200,5,NA,NA,36357.21573,2478.1371196,NA,NA,3081.780882,5559.9180016
Mass,H1,Real,CH,Hhigh,HYD500-HYD500,3,NA,NA,32329.996160000002,2236.7037365,NA,NA,3117.660561,5354.3642975
Mass,H1,Real,CH,Hhigh,HYD500-HYD500,4,NA,NA,35577.81656,2405.26443025,NA,NA,3117.660561,5522.92499125
Mass,H1,Real,CH,Hhigh,HYD500-HYD500,5,NA,NA,38949.22438,2598.4703091,NA,NA,3117.660561,5716.1308701
Mass,H1,Real,CH,Hlow,HYD1000-HYD1000,3,NA,NA,35792.82102,3280.2095406999997,NA,NA,3742.887834,7023.0973747
Mass,H1,Real,CH,Hlow,HYD1000-HYD1000,4,NA,NA,39079.33029,3480.6825108,NA,NA,3742.887834,7223.5703448
Mass,H1,Real,CH,Hlow,HYD1000-HYD1000,5,NA,NA,42382.727794,3699.4066444,NA,NA,3742.887834,7442.2944784
Mass,H1,Real,CH,Hlow,HYD200-HYD200,3,NA,NA,30326.20833,2870.6732124,NA,NA,3081.780882,5952.4540944
Mass,H1,Real,CH,Hlow,HYD200-HYD200,4,NA,NA,33291.318654,3050.4200259,NA,NA,3081.780882,6132.2009079
Mass,H1,Real,CH,Hlow,HYD200-HYD200,5,NA,NA,36357.21573,3250.7024772,NA,NA,3081.780882,6332.4833591999995
Mass,H1,Real,CH,Hlow,HYD500-HYD500,3,NA,NA,32329.996160000002,2943.355238,NA,NA,3117.660561,6061.015799000001
Mass,H1,Real,CH,Hlow,HYD500-HYD500,4,NA,NA,35577.81656,3135.3402829,NA,NA,3117.660561,6253.0008439
Mass,H1,Real,CH,Hlow,HYD500-HYD500,5,NA,NA,38949.22438,3352.7132917,NA,NA,3117.660561,6470.3738527000005
Mass,Nom,Ideal,AK,Hhigh,HYD1000-HYD1000,3,NA,NA,36533.080848,2437.0892164,NA,NA,3782.262834,6219.352050400001
Mass,Nom,Ideal,AK,Hhigh,HYD1000-HYD1000,4,NA,NA,39480.895476000005,2595.6025574,NA,NA,3782.262834,6377.865391400001
Mass,Nom,Ideal,AK,Hhigh,HYD1000-HYD1000,5,NA,NA,42573.501255999996,2779.9529595,NA,NA,3782.262834,6562.2157935
Mass,Nom,Ideal,AK,Hhigh,HYD200-HYD200,3,NA,NA,29440.653616,1963.6911359399999,NA,NA,3121.155882,5084.84701794
Mass,Nom,Ideal,AK,Hhigh,HYD200-HYD200,4,NA,NA,31966.367928,2088.15704925,NA,NA,3121.155882,5209.3129312500005
Mass,Nom,Ideal,AK,Hhigh,HYD200-HYD200,5,NA,NA,34601.606886,2236.20157225,NA,NA,3121.155882,5357.35745425
Mass,Nom,Ideal,AK,Hhigh,HYD500-HYD500,3,NA,NA,36178.810998,2412.64933935,NA,NA,3157.035561,5569.68490035
Mass,Nom,Ideal,AK,Hhigh,HYD500-HYD500,4,NA,NA,39292.773740000004,2572.1118909,NA,NA,3157.035561,5729.1474519
Mass,Nom,Ideal,AK,Hhigh,HYD500-HYD500,5,NA,NA,42546.029548,2757.1663264,NA,NA,3157.035561,5914.2018874000005
Mass,Nom,Ideal,AK,Hlow,HYD1000-HYD1000,3,NA,NA,36533.080848,3410.7859485999998,NA,NA,3782.262834,7193.0487826
Mass,Nom,Ideal,AK,Hlow,HYD1000-HYD1000,4,NA,NA,39480.895476000005,3590.9770101,NA,NA,3782.262834,7373.2398441000005
Mass,Nom,Ideal,AK,Hlow,HYD1000-HYD1000,5,NA,NA,42573.501255999996,3799.959127,NA,NA,3782.262834,7582.221961
Mass,Nom,Ideal,AK,Hlow,HYD200-HYD200,3,NA,NA,29440.653616,2804.2808839,NA,NA,3121.155882,5925.4367659
Mass,Nom,Ideal,AK,Hlow,HYD200-HYD200,4,NA,NA,31966.367928,2948.0264929,NA,NA,3121.155882,6069.1823749
Mass,Nom,Ideal,AK,Hlow,HYD200-HYD200,5,NA,NA,34601.606886,3121.2210016,NA,NA,3121.155882,6242.3768836
Mass,Nom,Ideal,AK,Hlow,HYD500-HYD500,3,NA,NA,36178.810998,3396.3157646,NA,NA,3157.035561,6553.351325600001
Mass,Nom,Ideal,AK,Hlow,HYD500-HYD500,4,NA,NA,39292.773740000004,3577.4123406999997,NA,NA,3157.035561,6734.447901699999
Mass,Nom,Ideal,AK,Hlow,HYD500-HYD500,5,NA,NA,42546.029548,3790.5114339,NA,NA,3157.035561,6947.5469949
Mass,Nom,Ideal,CH,Hhigh,HYD1000-HYD1000,3,NA,NA,79894.20003400001,5725.2458601,NA,NA,4418.979746,10144.2256061
Mass,Nom,Ideal,CH,Hhigh,HYD1000-HYD1000,4,NA,NA,82910.707352,5896.0250234000005,NA,NA,4418.979746,10315.0047694
Mass,Nom,Ideal,CH,Hhigh,HYD1000-HYD1000,5,NA,NA,86017.16173600001,6087.7472682,NA,NA,4418.979746,10506.7270142
Mass,Nom,Ideal,CH,Hhigh,HYD200-HYD200,3,NA,NA,74080.561126,5225.5317297,NA,NA,3489.813971,8715.3457007
Mass,Nom,Ideal,CH,Hhigh,HYD200-HYD200,4,NA,NA,77128.533944,5378.5126445,NA,NA,3489.813971,8868.3266155
Mass,Nom,Ideal,CH,Hhigh,HYD200-HYD200,5,NA,NA,80324.589444,5558.8326914,NA,NA,3489.813971,9048.6466624
Mass,Nom,Ideal,CH,Hhigh,HYD500-HYD500,3,NA,NA,76010.397782,5383.4209308,NA,NA,3985.223061,9368.6439918
Mass,Nom,Ideal,CH,Hhigh,HYD500-HYD500,4,NA,NA,79073.18894200001,5542.9546607,NA,NA,3985.223061,9528.1777217
Mass,Nom,Ideal,CH,Hhigh,HYD500-HYD500,5,NA,NA,82267.803376,5728.2210262,NA,NA,3985.223061,9713.4440872
Mass,Nom,Ideal,CH,Hlow,HYD1000-HYD1000,3,NA,NA,79894.20003400001,7731.1077106,NA,NA,4418.979746,12150.0874566
Mass,Nom,Ideal,CH,Hlow,HYD1000-HYD1000,4,NA,NA,82910.707352,7927.2878734,NA,NA,4418.979746,12346.2676194
Mass,Nom,Ideal,CH,Hlow,HYD1000-HYD1000,5,NA,NA,86017.16173600001,8139.468766399999,NA,NA,4418.979746,12558.448512399998
Mass,Nom,Ideal,CH,Hlow,HYD200-HYD200,3,NA,NA,74080.561126,7086.6522399,NA,NA,3489.813971,10576.4662109
