house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,kgCO2_SH_life,kgCO2_WH_life,P_annual_kWh_life,kgCO2_op_life,Embodied_SH,Embodied_WH,Embodied,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HYD1000-HYD1000,3,NA,NA,21216.7460492,896.85206136,NA,NA,3742.887834,4639.73989536
Mass,H1,Ideal,AK,Hhigh,HYD1000-HYD1000,4,NA,NA,24240.001829,1014.82598102,NA,NA,3742.887834,4757.71381502
Mass,H1,Ideal,AK,Hhigh,HYD1000-HYD1000,5,NA,NA,27279.363539,1166.43421602,NA,NA,3742.887834,4909.3220500200005
Mass,H1,Ideal,AK,Hhigh,HYD200-HYD200,3,NA,NA,18473.2657034,1055.9450269,NA,NA,2622.251471,3678.1964979
Mass,H1,Ideal,AK,Hhigh,HYD200-HYD200,4,NA,NA,21610.3302493,1214.18324759,NA,NA,2622.251471,3836.43471859
Mass,H1,Ideal,AK,Hhigh,HYD200-HYD200,5,NA,NA,24885.686811,1406.14265377,NA,NA,2622.251471,4028.39412477
Mass,H1,Ideal,AK,Hhigh,HYD500-HYD500,3,NA,NA,19054.075985,912.88119678,NA,NA,3117.660561,4030.54175778
Mass,H1,Ideal,AK,Hhigh,HYD500-HYD500,4,NA,NA,22105.819406,1047.43078304,NA,NA,3117.660561,4165.09134404
Mass,H1,Ideal,AK,Hhigh,HYD500-HYD500,5,NA,NA,25180.95038,1218.38777757,NA,NA,3117.660561,4336.04833857
Mass,H1,Ideal,AK,Hlow,HYD1000-HYD1000,3,NA,NA,21219.0114831,1280.19761331,NA,NA,3742.887834,5023.08544731
Mass,H1,Ideal,AK,Hlow,HYD1000-HYD1000,4,NA,NA,24244.06492,1416.05434279,NA,NA,3742.887834,5158.94217679
Mass,H1,Ideal,AK,Hlow,HYD1000-HYD1000,5,NA,NA,27284.155968,1599.57256319,NA,NA,3742.887834,5342.46039719
Mass,H1,Ideal,AK,Hlow,HYD200-HYD200,3,NA,NA,18474.0331182,1437.08687509,NA,NA,2622.251471,4059.33834609
Mass,H1,Ideal,AK,Hlow,HYD200-HYD200,4,NA,NA,21610.7098253,1619.91317799,NA,NA,2622.251471,4242.1646489899995
Mass,H1,Ideal,AK,Hlow,HYD200-HYD200,5,NA,NA,24885.664607000002,1837.31537318,NA,NA,2622.251471,4459.56684418
Mass,H1,Ideal,AK,Hlow,HYD500-HYD500,3,NA,NA,19055.1113904,1282.4539748500001,NA,NA,3117.660561,4400.11453585
Mass,H1,Ideal,AK,Hlow,HYD500-HYD500,4,NA,NA,22109.026572,1439.74425066,NA,NA,3117.660561,4557.404811660001
Mass,H1,Ideal,AK,Hlow,HYD500-HYD500,5,NA,NA,25183.615754,1635.92103409,NA,NA,3117.660561,4753.58159509
Mass,H1,Ideal,CH,Hhigh,HYD1000-HYD1000,3,NA,NA,36675.232337,2082.5311115599998,NA,NA,3742.887834,5825.41894556
Mass,H1,Ideal,CH,Hhigh,HYD1000-HYD1000,4,NA,NA,39982.539002,2228.22831256,NA,NA,3742.887834,5971.11614656
Mass,H1,Ideal,CH,Hhigh,HYD1000-HYD1000,5,NA,NA,43275.234549,2409.37337185,NA,NA,3742.887834,6152.26120585
Mass,H1,Ideal,CH,Hhigh,HYD200-HYD200,3,NA,NA,31731.334301,2194.7148412,NA,NA,3081.780882,5276.4957232
Mass,H1,Ideal,CH,Hhigh,HYD200-HYD200,4,NA,NA,34713.458281,2352.3973227,NA,NA,3081.780882,5434.1782047
Mass,H1,Ideal,CH,Hhigh,HYD200-HYD200,5,NA,NA,37831.433883,2536.7489433,NA,NA,3081.780882,5618.5298253
Mass,H1,Ideal,CH,Hhigh,HYD500-HYD500,3,NA,NA,33313.828564,2039.7613408299999,NA,NA,3117.660561,5157.42190183
Mass,H1,Ideal,CH,Hhigh,HYD500-HYD500,4,NA,NA,36552.788346,2198.1876211,NA,NA,3117.660561,5315.8481821000005
Mass,H1,Ideal,CH,Hhigh,HYD500-HYD500,5,NA,NA,39912.908129999996,2392.98504835,NA,NA,3117.660561,5510.64560935
