house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1265.2023463,20870.302941399998,4117.1766174,5382.378963700001
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1420.0637517,23906.396976000004,4117.1766174,5537.2403691
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1599.1445729499999,26983.411003999998,4117.1766174,5716.3211903500005
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1118.96591532,18438.6843564,2884.4766181,4003.44253342
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1270.6147593,21563.774485,2884.4766181,4155.0913774
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1452.3681667600001,24807.123681999998,2884.4766181,4336.84478486
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,1145.02244766,18831.8866538,3429.4266171,4574.44906476
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1295.48998594,21885.651788,3429.4266171,4724.91660304
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1470.82069239,24978.867122,3429.4266171,4900.24730949
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1658.58613832,20870.302941399998,4117.1766174,5775.76275572
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1831.38839265,23906.396976000004,4117.1766174,5948.565010050001
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,2031.68346421,26983.411003999998,4117.1766174,6148.860081610001
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1496.2139615899998,18438.6843564,2884.4766181,4380.69057969
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1670.07980848,21563.774485,2884.4766181,4554.55642658
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1880.933528,24807.123681999998,2884.4766181,4765.4101461
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,5,500,1507.4043897000001,18831.8866538,3429.4266171,4936.8310068
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,NA,5,500,1676.97482074,21885.651788,3429.4266171,5106.40143784
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,5,NA,5,500,1873.94586593,24978.867122,3429.4266171,5303.37248303
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2595.6297134,37243.553622,4117.1766174,6712.8063308
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2776.0117442,40544.987428,4117.1766174,6893.1883616000005
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2971.7815981999997,43843.919856,4117.1766174,7088.9582156
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2245.4423912,31736.532806,3389.9589702,5635.4013614
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2399.2288967,34703.950006,3389.9589702,5789.1878669
