house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,896.85206136,21216.7460492,4117.1766174,5014.028678760001
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1014.82598102,24240.001829,4117.1766174,5132.00259842
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1166.43421602,27279.363539,4117.1766174,5283.61083342
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1055.9450269,18473.2657034,2884.4766181,3940.421645
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1214.18324759,21610.3302493,2884.4766181,4098.6598656900005
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1406.14265377,24885.686811,2884.4766181,4290.61927187
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,912.88119678,19054.075985,3429.4266171,4342.30781388
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1047.43078304,22105.819406,3429.4266171,4476.85740014
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1218.38777757,25180.95038,3429.4266171,4647.81439467
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1280.19761331,21219.0114831,4117.1766174,5397.37423071
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1416.05434279,24244.06492,4117.1766174,5533.230960190001
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,1599.57256319,27284.155968,4117.1766174,5716.749180590001
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1437.08687509,18474.0331182,2884.4766181,4321.56349319
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1619.91317799,21610.7098253,2884.4766181,4504.389796089999
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1837.31537318,24885.664607000002,2884.4766181,4721.79199128
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,5,500,1282.4539748500001,19055.1113904,3429.4266171,4711.88059195
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,NA,5,500,1439.74425066,22109.026572,3429.4266171,4869.17086776
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,5,NA,5,500,1635.92103409,25183.615754,3429.4266171,5065.34765119
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2082.5311115599998,36675.232337,4117.1766174,6199.70772896
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2228.22831256,39982.539002,4117.1766174,6345.404929960001
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2409.37337185,43275.234549,4117.1766174,6526.54998925
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2194.7148412,31731.334301,3389.9589702,5584.6738114
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2352.3973227,34713.458281,3389.9589702,5742.3562929
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2536.7489433,37831.433883,3389.9589702,5926.7079135
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2039.7613408299999,33313.828564,3429.4266171,5469.18795793
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2198.1876211,36552.788346,3429.4266171,5627.6142382
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2392.98504835,39912.908129999996,3429.4266171,5822.411665449999
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,2947.3833357000003,36701.119804,4117.1766174,7064.559953100001
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,3124.0937551,40013.259268,4117.1766174,7241.270372500001
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3339.3678621,43302.406362,4117.1766174,7456.5444795
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2995.1962101,31736.000239,3389.9589702,6385.1551803
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,3181.3060495,34719.543882,3389.9589702,6571.2650197
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,3388.1968954,37835.117622,3389.9589702,6778.1558656
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,2832.823229,33322.378744,3429.4266171,6262.2498461
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,6,500,3019.1209168,36561.957844,3429.4266171,6448.5475339
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,6,500,3237.055177,39922.134681999996,3429.4266171,6666.4817941
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,889.53221766,21136.4174517,4117.1766174,5006.708835060001
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1007.22680087,24160.95191,4117.1766174,5124.403418270001
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1158.96783347,27198.486913,4117.1766174,5276.144450870001
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1050.1911671999999,18395.2016999,2884.4766181,3934.6677853
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1207.94698703,21532.1121815,2884.4766181,4092.42360513
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1399.81874613,24805.680311,2884.4766181,4284.29536423
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,3,NA,5,500,906.9918642499999,18979.2104966,3429.4266171,4336.41848135
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1041.63931188,22030.015917,3429.4266171,4471.06592898
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1212.10068974,25102.841178,3429.4266171,4641.52730684
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1268.977192,21138.9070765,4117.1766174,5386.153809400001
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1404.17557755,24164.467694,4117.1766174,5521.352194950001
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,1588.28639831,27203.440384999998,4117.1766174,5705.46301571
Mass,H1,Real,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1425.74248288,18395.911283999998,2884.4766181,4310.21910098
Mass,H1,Real,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1609.0209489,21533.671548000002,2884.4766181,4493.497567
Mass,H1,Real,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1825.8249250000001,24805.933988,2884.4766181,4710.3015431
Mass,H1,Real,AK,Hlow,HYD500,HYD500,3,NA,5,500,1271.88827644,18980.4855376,3429.4266171,4701.31489354
Mass,H1,Real,AK,Hlow,HYD500,HYD500,4,NA,5,500,1427.98677463,22032.953765000002,3429.4266171,4857.41339173
Mass,H1,Real,AK,Hlow,HYD500,HYD500,5,NA,5,500,1623.92582366,25105.369057,3429.4266171,5053.35244076
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1975.09266711,35264.614578,4117.1766174,6092.269284510001
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2118.77469421,38533.761311,4117.1766174,6235.951311610001
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2300.03745455,41842.197685,4117.1766174,6417.21407195
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2095.6793431,30326.246585,3389.9589702,5485.6383133
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2253.2913423,33305.812574,3389.9589702,5643.2503125
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2437.8640990999997,36421.909867,3389.9589702,5827.8230693
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,3,NA,6,500,1953.01663396,32105.88271,3429.4266171,5382.44325106
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2112.20730197,35344.150873,3429.4266171,5541.63391907
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2307.1501922,38705.373437,3429.4266171,5736.576809300001
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,2767.4569541,35288.090931,4117.1766174,6884.6335715000005
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,2938.7666091,38562.706164,4117.1766174,7055.9432265000005
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3156.4494145,41868.500369,4117.1766174,7273.6260319
Mass,H1,Real,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2821.8759611,30330.234464999998,3389.9589702,6211.8349313
Mass,H1,Real,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,3007.6895663,33309.286274,3389.9589702,6397.6485365
Mass,H1,Real,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,3215.8785063,36426.88369,3389.9589702,6605.8374765
