house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,253.48286669,2991.0098218000003,943.80485298,1197.28771967
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,5,NA,220.218458126,2649.8718884,815.29411766,1035.512575786
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1267.65228501,20874.3868828,4117.1766174,5384.82890241
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1423.00087614,23912.798448,4117.1766174,5540.177493540001
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1601.73278707,26988.571632,4117.1766174,5718.9094044700005
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1121.0568042099999,18443.208740000002,2884.4766181,4005.53342231
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1272.53109038,21567.951151999998,2884.4766181,4157.00770848
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1455.61764188,24824.748585999998,2884.4766181,4340.09425998
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,1147.22937561,18835.4603932,3429.4266171,4576.65599271
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1297.94804017,21890.1193104,3429.4266171,4727.37465727
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1472.99401643,24983.345552,3429.4266171,4902.4206335300005
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,1002.85173705,11856.54778,1163.1529415,2166.00467855
Mass,H1,Ideal,AK,Hhigh,Rb,NA,NA,2,NA,NA,177.930365351,1900.7361262999998,581.5764706399999,759.5068359909999
Mass,H1,Ideal,AK,Hhigh,Rl,NA,NA,5,NA,NA,824.92137168,9955.8116548,581.5764706399999,1406.49784232
Mass,H1,Ideal,AK,Hlow,HP,NA,NA,NA,6.5,NA,355.37692855,2991.0098218000003,943.80485298,1299.18178153
Mass,H1,Ideal,AK,Hlow,HPl,NA,NA,NA,5,NA,307.81454306,2649.8718884,815.29411766,1123.10866072
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1660.39367272,20874.3868828,4117.1766174,5777.57029012
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1833.76299534,23912.798448,4117.1766174,5950.9396127400005
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,2033.84344592,26988.571632,4117.1766174,6151.02006332
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1497.94197005,18443.208740000002,2884.4766181,4382.41858815
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1671.99729764,21567.951151999998,2884.4766181,4556.47391574
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1883.8527765800002,24824.748585999998,2884.4766181,4768.32939468
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,5,500,1509.25759634,18835.4603932,3429.4266171,4938.684213439999
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,NA,5,500,1679.03687218,21890.1193104,3429.4266171,5108.46348928
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,5,NA,5,500,1875.98547889,24983.345552,3429.4266171,5305.41209599
Mass,H1,Ideal,AK,Hlow,R,NA,NA,7,NA,NA,1404.16739653,11856.54778,1163.1529415,2567.32033803
Mass,H1,Ideal,AK,Hlow,Rb,NA,NA,2,NA,NA,252.17273278,1900.7361262999998,581.5764706399999,833.74920342
Mass,H1,Ideal,AK,Hlow,Rl,NA,NA,5,NA,NA,1151.99466375,9955.8116548,581.5764706399999,1733.5711343899998
Mass,H1,Ideal,CH,Hhigh,HP,NA,NA,NA,8.5,NA,1102.5135004200001,12855.5423128,1147.2006975,2249.71419792
Mass,H1,Ideal,CH,Hhigh,HPl,NA,NA,NA,5,NA,692.08321297,8341.1845242,815.29411766,1507.37733063
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2601.4553289,37267.617156,4117.1766174,6718.6319463
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2782.0540732,40566.653116,4117.1766174,6899.2306906
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2978.2726155,43868.670472,4117.1766174,7095.4492329
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2249.25360855,31749.620231999997,3389.9589702,5639.21257875
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2403.11316005,34716.252912,3389.9589702,5793.07213025
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2579.7006861,37804.169018,3389.9589702,5969.6596563
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2321.07349845,33555.788134,3429.4266171,5750.5001155499995
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2489.6643077,36805.057432,3429.4266171,5919.0909248
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2682.1506056,40174.331406,3429.4266171,6111.5772227
Mass,H1,Ideal,CH,Hhigh,R,NA,NA,8.5,NA,NA,3541.980606,42210.315576,1163.1529415,4705.1335475
Mass,H1,Ideal,CH,Hhigh,Rb,NA,NA,3.5,NA,NA,1316.88267442,14706.6724156,581.5764706399999,1898.45914506
Mass,H1,Ideal,CH,Hhigh,Rl,NA,NA,5,NA,NA,2225.09793125,27503.643156000002,581.5764706399999,2806.67440189
Mass,H1,Ideal,CH,Hlow,HP,NA,NA,NA,8.5,NA,1494.68322216,12855.5423128,1147.2006975,2641.88391966
Mass,H1,Ideal,CH,Hlow,HPl,NA,NA,NA,5,NA,916.57154355,8341.1845242,815.29411766,1731.8656612099999
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,3462.414696,37267.617156,4117.1766174,7579.5913134
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,3667.1045103,40566.653116,4117.1766174,7784.2811277
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3884.0299695,43868.670472,4117.1766174,8001.2065869
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,3045.7776174,31749.620231999997,3389.9589702,6435.7365876
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,3225.6361678000003,34716.252912,3389.9589702,6615.595138000001
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,3428.9169426999997,37804.169018,3389.9589702,6818.875912899999
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,3094.8462497,33555.788134,3429.4266171,6524.2728668
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,6,500,3287.3836089,36805.057432,3429.4266171,6716.810226
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,6,500,3503.2835064,40174.331406,3429.4266171,6932.7101235
Mass,H1,Ideal,CH,Hlow,R,NA,NA,8.5,NA,NA,4797.0508787,42210.315576,1163.1529415,5960.2038202
Mass,H1,Ideal,CH,Hlow,Rb,NA,NA,3.5,NA,NA,1846.13923602,14706.6724156,581.5764706399999,2427.71570666
Mass,H1,Ideal,CH,Hlow,Rl,NA,NA,5,NA,NA,2950.9116427,27503.643156000002,581.5764706399999,3532.48811334
