house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,2115,2024,948.6501337,3069.244422,3.310611956,861.4761897,0.013197407,83.77202883,0.088306559,0,0,0,0,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,83.77202883,187.1443917,948.6501337,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,2131,2024,1086.654408,3539.2608,3.322946774,852.1939799,0.013197407,96.57816073,0.088876611,0,0,0,0,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,96.57816073,187.1443917,1086.654408,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,2147,2024,1226.518682,4010.951244,3.328697087,845.62848,0.013197407,108.6803458,0.088608798,0,0,0,0,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,108.6803458,187.1443917,1226.518682,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2024,2019,2024,838.1220162,2560.058333,3.135156919,346.4230526,0.013197407,74.7437224,0.089180001,11.41574452,1,-1842.359214,334,Cpeak,9,1585.376471,0,1036.875,2622.251471,74.7437224,131.11257355,838.1220162,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2024,2035,2024,980.1715675,3038.608333,3.169792716,345.5698189,0.013197407,87.89884639,0.089677001,79.31229948,6,-1844.463768,287,Cpeak,9,1585.376471,0,1036.875,2622.251471,87.89884639,131.11257355,980.1715675,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2024,2051,2024,1127.596531,3515.458333,3.178421184,344.7750902,0.013197407,100.3691631,0.089011593,1604.215644,16,-2224.696692,316,Cpeak,9,1585.376471,0,1036.875,2622.251471,100.3691631,131.11257355,1127.596531,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,2024,2067,2024,855.9948479,2765.014644,3.313627064,554.1665909,0.013197407,75.93556815,0.08871031,0,0,-80.91344065,102,Cpeak,5,1585.376471,495.4090909,1036.875,3117.660561,75.93556815,155.88302805,855.9948479,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,2024,2083,2024,994.802354,3238.832356,3.327869523,548.6501756,0.013197407,88.75052076,0.089214225,0,0,-264.6854489,164,Cpeak,5,1585.376471,495.4090909,1036.875,3117.660561,88.75052076,155.88302805,994.802354,0.013197407
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,2024,2099,2024,1135.403051,3714.100544,3.334483917,545.3829219,0.013197407,100.784685,0.088765558,57.29049608,5,-271.95755810000003,151,Cpeak,5,1585.376471,495.4090909,1036.875,3117.660561,100.784685,155.88302805,1135.403051,0.013197407
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,2024,2259,2024,948.6501337,3069.244422,3.310611956,861.4761897,0.013197407,119.0476329,0.12549161,0,0,0,0,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,119.0476329,187.1443917,948.6501337,0.013197407
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,2024,2275,2024,1086.654408,3539.2608,3.322946774,852.1939799,0.013197407,132.4848357,0.121919936,0,0,0,0,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,132.4848357,187.1443917,1086.654408,0.013197407
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,2024,2291,2024,1226.518682,4010.951244,3.328697087,845.62848,0.013197407,147.7092996,0.120429718,0,0,0,0,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,147.7092996,187.1443917,1226.518682,0.013197407
