house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,3843,2024,966.5876217,3176.875667,3.36166554,964.9977048,0.101159976,76.89151819,0.079549455,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,76.89151819,187.1443917,966.5876217,0.101159976
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,3859,2024,1104.42593,3643.709689,3.364867896,953.0500214,0.130654475,88.92320053,0.080515314,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,88.92320053,187.1443917,1104.42593,0.130654475
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,3875,2024,1242.946831,4109.2966,3.3644441,942.3091413,0.125275421,100.7155882,0.081029683,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,100.7155882,187.1443917,1242.946831,0.125275421
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2024,3747,2024,840.7490805,2578.475,3.147584301,365.1380578,0.246904983,73.43798419,0.087348278,7.815668951,1,-383.8101563,74,Crenew,9,1585.376471,0,1036.875,2622.251471,73.43798419,131.11257355,840.7490805,0.246904983
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2024,3763,2024,983.0987267,3056.316667,3.178559728,363.4797132,0.256645984,86.61904118,0.088108182,74.86985041,4,-180.6739272,51,Crenew,9,1585.376471,0,1036.875,2622.251471,86.61904118,131.11257355,983.0987267,0.256645984
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2024,3779,2024,1131.611338,3535.15,3.184664951,362.6180261,0.363493353,99.33252912,0.087779722,12.51999803,2,-121.907254,48,Crenew,9,1585.376471,0,1036.875,2622.251471,99.33252912,131.11257355,1131.611338,0.363493353
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,2024,3795,2024,866.7385825,2826.214744,3.343915681,613.8917654,0.20771687,71.73127579,0.082759989,0,0,0,0,Crenew,5,1585.376471,495.4090909,1036.875,3117.660561,71.73127579,155.88302805,866.7385825,0.20771687
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,2024,3811,2024,1005.280939,3298.001156,3.352568979,606.8673799,0.171339525,84.3027185,0.08385986,0,0,0,0,Crenew,5,1585.376471,495.4090909,1036.875,3117.660561,84.3027185,155.88302805,1005.280939,0.171339525
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,2024,3827,2024,1145.246254,3769.816889,3.354858189,601.5497845,0.227602474,96.20239922,0.084001497,0,0,0,0,Crenew,5,1585.376471,495.4090909,1036.875,3117.660561,96.20239922,155.88302805,1145.246254,0.227602474
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,2024,3987,2024,966.5876217,3176.875667,3.36166554,964.9977048,0.101159976,112.9143978,0.11681755,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,112.9143978,187.1443917,966.5876217,0.101159976
