house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,2024,876,2024,135.9549919,538.93399,3.964061799,NA,0.081109541,13.591416,0.099969967,NA,NA,NA,NA,C0,NA,NA,NA,NA,858.0044118,13.591416,42.900220589999996,135.9549919,0.081109541
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,5,NA,2024,684,2024,120.4487222,452.5368934,3.757091691,NA,0.075788727,11.8669795,0.098523083,NA,NA,NA,NA,C0,NA,NA,NA,NA,741.1764706,11.8669795,37.05882353,120.4487222,0.075788727
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,5571,2024,948.8357674,3069.426833,3.310145915,861.6763056,0.342542197,83.82893149,0.088349253,0,0,0,0,C0,5,1585.376471,1120.636364,1036.875,3742.887834,83.82893149,187.1443917,948.8357674,0.342542197
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,5587,2024,1086.945384,3539.510667,3.322273749,852.3934213,0.364546486,96.66017677,0.088928274,0,0,0,0,C0,5,1585.376471,1120.636364,1036.875,3742.887834,96.66017677,187.1443917,1086.945384,0.364546486
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,5603,2024,1226.753256,4011.135156,3.328201803,845.8121611,0.412117376,108.7263555,0.08862936,0,0,0,0,C0,5,1585.376471,1120.636364,1036.875,3742.887834,108.7263555,187.1443917,1226.753256,0.412117376
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2024,5475,2024,838.32767,2560.2,3.134540969,346.5894433,0.314774422,74.76365204,0.089181897,8.239260984,1,-248.5284746,60,C0,9,1585.376471,0,1036.875,2622.251471,74.76365204,131.11257355,838.32767,0.314774422
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2024,5491,2024,980.361416,3038.75,3.169312833,345.7151234,0.289121497,87.92548889,0.089686811,79.37210867,6,-160.0313387,54,C0,9,1585.376471,0,1036.875,2622.251471,87.92548889,131.11257355,980.361416,0.289121497
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2024,5507,2024,1128.397663,3517.441667,3.177912529,344.9700602,0.406085421,100.4911924,0.089056541,142.8093685,6,-189.7438122,68,C0,9,1585.376471,0,1036.875,2622.251471,100.4911924,131.11257355,1128.397663,0.406085421
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,2024,5523,2024,856.1572906,2765.215656,3.313222962,554.375552,0.316619626,75.99295279,0.088760504,0,0,0,0,C0,5,1585.376471,495.4090909,1036.875,3117.660561,75.99295279,155.88302805,856.1572906,0.316619626
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,2024,5539,2024,995.0054232,3239.093111,3.327443171,548.8548898,0.329118596,88.80216174,0.089247917,0,0,0,0,C0,5,1585.376471,495.4090909,1036.875,3117.660561,88.80216174,155.88302805,995.0054232,0.329118596
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,2024,5555,2024,1135.606616,3714.364622,3.334111665,545.5916777,0.379981414,100.8258932,0.088785933,0,0,0,0,C0,5,1585.376471,495.4090909,1036.875,3117.660561,100.8258932,155.88302805,1135.606616,0.379981414
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,2024,348,2024,538.93399,538.93399,NA,NA,0.329935168,53.87944197,0.099974103,NA,NA,NA,NA,C0,NA,NA,NA,NA,1057.411765,53.87944197,52.870588250000004,538.93399,0.329935168
Mass,H1,Ideal,AK,Hhigh,Rb,NA,NA,2,NA,NA,2024,336,2024,86.39709665,86.39709665,NA,NA,0.03777853,9.346432536,0.108179938,NA,NA,NA,NA,C0,NA,NA,NA,NA,528.7058824,9.346432536,26.43529412,86.39709665,0.03777853
Mass,H1,Ideal,AK,Hhigh,Rl,NA,NA,5,NA,NA,2024,324,2024,452.5368934,452.5368934,NA,NA,0.292156638,44.53300944,0.098407467,NA,NA,NA,NA,C0,NA,NA,NA,NA,528.7058824,44.53300944,26.43529412,452.5368934,0.292156638
Mass,H1,Ideal,AK,Hlow,HP,NA,NA,NA,6.5,NA,2024,877,2024,135.9549919,538.93399,3.964061799,NA,0.081109541,21.36152908,0.157122065,NA,NA,NA,NA,C0,NA,NA,NA,NA,858.0044118,21.36152908,42.900220589999996,135.9549919,0.081109541
